,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,132.5,117.5,40.0,10.429,125.0,0.4955
2,2015-01-05,131.5,121.5,40.0,10.531,126.5,0.5105
3,2015-01-06,136.5,124.0,40.0,10.821,130.25,0.45
4,2015-01-07,130.333,120.333,40.0,10.429,125.333,0.4685
5,2015-01-08,126.0,116.0,40.0,10.082,121.0,0.5105
6,2015-01-09,127.333,117.333,40.0,10.183,122.333,0.4785
7,2015-01-12,126.333,116.333,40.0,10.089,121.333,0.4775
8,2015-01-13,126.0,116.0,40.0,10.058,121.0,0.4745
9,2015-01-14,127.0,117.0,40.0,10.131,122.0,0.4295
10,2015-01-15,123.5,113.5,40.0,9.851,118.5,0.4125
11,2015-01-16,122.333,112.333,40.0,9.754,117.333,0.455
12,2015-01-19,121.5,111.5,40.0,9.674,116.5,0.4385
13,2015-01-20,118.0,108.0,40.0,9.392,113.0,0.4485
14,2015-01-21,113.5,103.5,40.0,9.07,108.5,0.5165
15,2015-01-22,113.333,103.333,40.0,8.867,108.333,0.4475
16,2015-01-26,103.0,93.0,40.0,8.173,98.0,0.3915
17,2015-01-27,102.667,92.667,40.0,8.116,97.667,0.3825
18,2015-01-28,101.5,91.5,40.0,8.045,96.5,0.3535
19,2015-01-29,99.667,89.667,40.0,7.894,94.667,0.355
20,2015-01-30,104.667,91.333,40.0,8.157,98.0,0.3115
21,2015-02-02,100.333,90.333,40.0,7.931,95.333,0.3065
22,2015-02-03,97.333,88.0,40.0,7.714,92.6665,0.3455
23,2015-02-04,102.0,93.333,40.0,8.109,97.6665,0.3635
24,2015-02-05,102.333,94.667,40.0,8.171,98.5,0.37
25,2015-02-06,104.5,97.0,40.0,8.345,100.75,0.3725
26,2015-02-09,108.0,98.0,40.0,8.51,103.0,0.353
27,2015-02-10,115.667,106.667,40.0,9.149,111.167,0.368
28,2015-02-11,120.333,111.0,40.0,9.496,115.6665,0.3565
29,2015-02-12,119.667,109.667,40.0,9.414,114.667,0.3235
30,2015-02-13,119.0,109.5,40.0,9.376,114.25,0.3415
31,2015-02-16,119.0,110.0,40.0,9.381,114.5,0.345
32,2015-02-17,121.0,111.667,40.0,9.519,116.3335,0.368
33,2015-02-18,115.5,106.5,40.0,9.098,111.0,0.3815
34,2015-02-19,118.5,108.5,40.0,9.289,113.5,0.3795
35,2015-02-20,119.0,109.0,40.0,9.323,114.0,0.3705
36,2015-02-23,115.333,106.333,40.0,9.062,110.833,0.3645
37,2015-02-24,110.667,103.0,40.0,8.745,106.8335,0.3725
38,2015-02-25,104.0,96.5,40.0,8.225,100.25,0.3305
39,2015-02-26,98.0,90.0,40.0,7.729,94.0,0.2995
40,2015-02-27,95.0,88.667,40.0,7.554,91.8335,0.3215
41,2015-03-02,95.0,85.667,40.0,7.423,90.3335,0.3535
42,2015-03-03,97.667,89.333,40.0,7.669,93.5,0.3635
43,2015-03-04,99.0,92.333,40.0,7.836,95.6665,0.379
44,2015-03-05,97.5,88.5,40.0,7.622,93.0,0.356
45,2015-03-06,96.5,89.0,40.0,7.598,92.75,0.398
46,2015-03-09,98.333,92.0,40.0,7.776,95.1665,0.3065
47,2015-03-10,102.0,93.333,40.0,7.968,97.6665,0.236
48,2015-03-11,99.0,90.667,40.0,7.742,94.8335,0.202
49,2015-03-12,100.5,93.5,40.0,7.908,97.0,0.246
50,2015-03-13,99.5,92.0,40.0,7.806,95.75,0.257
51,2015-03-16,101.667,92.333,40.0,7.891,97.0,0.2765
52,2015-03-17,102.5,96.0,40.0,8.062,99.25,0.279
53,2015-03-18,108.0,98.667,40.0,8.376,103.3335,0.193
54,2015-03-19,111.0,102.5,40.0,8.636,106.75,0.1865
55,2015-03-20,117.333,108.0,40.0,9.522,112.6665,0.1835
56,2015-03-23,117.0,109.333,40.0,9.548,113.1665,0.2175
57,2015-03-24,121.667,115.0,40.0,9.956,118.3335,0.2325
58,2015-03-25,124.0,115.0,40.0,10.045,119.5,0.218
59,2015-03-26,127.333,118.667,40.0,10.318,123.0,0.2165
60,2015-03-27,128.667,120.333,40.0,10.432,124.5,0.2075
61,2015-03-30,140.0,129.333,40.0,11.217,134.66649999999998,0.2125
62,2015-03-31,140.667,131.333,40.0,11.317,136.0,0.183
63,2015-04-01,145.0,134.0,40.0,11.585,139.5,0.17
64,2015-04-02,145.0,136.0,40.0,11.657,140.5,0.1815
65,2015-04-07,146.333,134.667,40.0,11.628,140.5,0.1855
66,2015-04-08,144.667,134.667,40.0,11.558,139.667,0.1655
67,2015-04-09,144.0,134.0,40.0,11.501,139.0,0.156
68,2015-04-10,140.5,132.0,40.0,11.281,136.25,0.1545
69,2015-04-13,140.0,130.0,40.0,11.167,135.0,0.1555
70,2015-04-14,139.5,131.0,40.0,11.181,135.25,0.138
71,2015-04-15,129.0,120.0,40.0,10.335,124.5,0.1075
72,2015-04-16,133.5,126.0,40.0,10.741,129.75,0.0835
73,2015-04-17,138.333,130.0,40.0,11.08,134.16649999999998,0.077
74,2015-04-20,142.0,133.667,40.0,11.348,137.83350000000002,0.075
75,2015-04-21,143.333,135.0,40.0,11.445,139.16649999999998,0.101
76,2015-04-22,142.333,131.667,40.0,11.272,137.0,0.1585
77,2015-04-23,141.0,131.0,40.0,11.189,136.0,0.16
78,2015-04-24,143.0,130.5,40.0,11.241,136.75,0.156
79,2015-04-27,140.0,131.5,40.0,11.147,135.75,0.162
80,2015-04-28,138.333,130.667,40.0,11.045,134.5,0.1615
81,2015-04-29,138.333,129.333,40.0,10.987,133.833,0.2825
82,2015-04-30,137.667,130.0,40.0,10.981,133.83350000000002,0.3615
84,2015-05-05,143.333,132.667,40.0,11.273,138.0,0.5165
85,2015-05-06,142.333,134.0,40.0,11.28,138.16649999999998,0.5845
86,2015-05-07,141.0,132.667,40.0,11.172,136.83350000000002,0.5935
87,2015-05-08,136.333,127.333,40.0,10.782,131.833,0.543
88,2015-05-11,138.5,126.0,40.0,10.797,132.25,0.597
89,2015-05-12,138.5,130.0,40.0,10.945,134.25,0.679
90,2015-05-13,136.0,125.333,40.0,10.664,130.66649999999998,0.7185
91,2015-05-14,137.5,125.0,40.0,10.703,131.25,0.698
92,2015-05-15,135.333,126.333,40.0,10.666,130.833,0.6375
93,2015-05-18,137.5,126.5,40.0,10.739,132.0,0.6465
94,2015-05-19,137.0,126.0,40.0,10.696,131.5,0.6105
95,2015-05-20,134.333,125.333,40.0,10.562,129.833,0.6245
96,2015-05-21,133.0,124.5,40.0,10.474,128.75,0.6325
97,2015-05-22,135.667,125.0,40.0,10.59,130.33350000000002,0.6015
98,2015-05-26,134.0,125.5,40.0,10.524,129.75,0.5505
99,2015-05-27,134.667,124.0,40.0,10.487,129.33350000000002,0.544
100,2015-05-28,136.0,124.333,40.0,10.545,130.16649999999998,0.533
101,2015-05-29,139.5,126.0,40.0,10.737,132.75,0.4835
102,2015-06-01,139.333,127.667,40.0,10.778,133.5,0.5295
103,2015-06-02,137.0,124.5,40.0,10.562,130.75,0.696
104,2015-06-03,134.0,124.0,40.0,10.422,129.0,0.8745
105,2015-06-04,138.5,126.0,40.0,10.665,132.25,0.83
