,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,37.0,33.0,39.952,3.034,35.0,0.4955
2,2015-01-05,39.0,35.0,39.952,3.2,37.0,0.5105
3,2015-01-06,39.667,36.0,39.952,3.269,37.8335,0.45
4,2015-01-07,39.0,35.667,39.95,3.225,37.3335,0.4685
5,2015-01-08,38.667,35.333,39.993,3.197,37.0,0.5105
6,2015-01-09,39.0,36.0,39.993,3.238,37.5,0.4785
7,2015-01-12,38.667,35.333,39.952,3.188,37.0,0.4775
8,2015-01-13,38.667,35.333,39.952,3.187,37.0,0.4745
9,2015-01-14,40.0,36.667,39.953,3.3,38.3335,0.4295
10,2015-01-15,40.0,36.667,39.944,3.296,38.3335,0.4125
11,2015-01-16,43.0,38.5,39.945,3.498,40.75,0.455
12,2015-01-19,44.5,40.0,39.959,3.62,42.25,0.4385
13,2015-01-20,43.0,39.0,40.0,3.529,41.0,0.4485
14,2015-01-21,46.5,42.5,39.996,3.828,44.5,0.5165
15,2015-01-22,40.75,36.75,39.996,3.357,38.75,0.4475
16,2015-01-26,36.667,33.0,39.964,2.983,34.8335,0.3915
17,2015-01-27,37.667,33.667,39.959,3.017,35.667,0.3825
18,2015-01-28,37.667,34.0,39.959,3.064,35.8335,0.3535
19,2015-01-29,37.75,34.0,39.959,3.066,35.875,0.355
20,2015-01-30,38.0,34.333,39.946,3.089,36.1665,0.3115
21,2015-02-02,37.667,34.0,39.954,3.056,35.8335,0.3065
22,2015-02-03,36.0,32.0,39.954,2.9,34.0,0.3455
23,2015-02-04,35.667,32.333,39.954,2.899,34.0,0.3635
24,2015-02-05,35.0,31.5,39.994,2.834,33.25,0.37
25,2015-02-06,34.333,31.0,39.994,2.786,32.6665,0.3725
26,2015-02-09,34.333,31.0,39.994,2.781,32.6665,0.353
27,2015-02-10,34.667,30.667,39.954,2.778,32.667,0.368
28,2015-02-11,35.0,31.25,39.996,2.817,33.125,0.3565
29,2015-02-12,34.667,31.333,39.996,2.805,33.0,0.3235
30,2015-02-13,34.5,31.5,39.946,2.801,33.0,0.3415
31,2015-02-16,34.667,31.333,39.946,2.797,33.0,0.345
32,2015-02-17,34.333,31.0,39.946,2.767,32.6665,0.368
