,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,48.5,44.5,39.857,4.005,46.5,0.4955
2,2015-01-05,50.5,46.5,39.857,4.167,48.5,0.5105
3,2015-01-06,51.667,48.0,39.857,4.277,49.8335,0.45
4,2015-01-07,51.333,47.667,39.857,4.247,49.5,0.4685
5,2015-01-08,52.5,49.5,39.889,4.373,51.0,0.5105
6,2015-01-09,52.5,49.5,39.98,4.377,51.0,0.4785
7,2015-01-12,52.333,49.0,39.889,4.336,50.6665,0.4775
8,2015-01-13,52.333,49.0,39.889,4.334,50.6665,0.4745
9,2015-01-14,53.667,50.333,39.889,4.443,52.0,0.4295
10,2015-01-15,53.0,49.667,39.833,4.381,51.3335,0.4125
11,2015-01-16,58.0,53.5,39.857,4.748,55.75,0.455
12,2015-01-19,62.0,57.5,39.889,5.075,59.75,0.4385
13,2015-01-20,59.667,55.0,39.889,4.872,57.3335,0.4485
14,2015-01-21,57.5,53.0,39.857,4.674,55.25,0.5165
15,2015-01-22,57.0,52.333,39.857,4.616,54.6665,0.4475
16,2015-01-26,55.0,50.333,39.982,4.477,52.6665,0.3915
17,2015-01-27,56.0,51.0,39.997,4.518,53.5,0.3825
18,2015-01-28,56.333,51.667,39.857,4.574,54.0,0.3535
19,2015-01-29,56.75,52.25,39.855,4.613,54.5,0.355
20,2015-01-30,57.333,53.0,39.857,4.666,55.1665,0.3115
21,2015-02-02,57.0,52.667,39.875,4.632,54.8335,0.3065
22,2015-02-03,52.5,48.0,39.875,4.251,50.25,0.3455
23,2015-02-04,51.0,47.333,39.889,4.16,49.1665,0.3635
24,2015-02-05,50.25,46.5,39.887,4.093,48.375,0.37
25,2015-02-06,49.333,45.667,39.887,4.018,47.5,0.3725
26,2015-02-09,49.667,46.0,39.857,4.037,47.8335,0.353
27,2015-02-10,48.667,44.667,40.0,3.948,46.667,0.368
28,2015-02-11,49.6,45.6,39.873,4.015,47.6,0.3565
29,2015-02-12,48.667,45.0,39.873,3.949,46.8335,0.3235
30,2015-02-13,48.5,45.0,39.857,3.939,46.75,0.3415
31,2015-02-16,47.333,44.0,39.857,3.844,45.6665,0.345
32,2015-02-17,47.0,43.667,40.0,3.823,45.3335,0.368
33,2015-02-18,45.0,41.5,39.875,3.641,43.25,0.3815
34,2015-02-19,45.0,41.667,39.875,3.646,43.3335,0.3795
35,2015-02-20,44.0,41.0,39.855,3.574,42.5,0.3705
36,2015-02-23,44.0,41.0,39.887,3.571,42.5,0.3645
