,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,79.558,72.892,40.0,6.502,76.225,1.5935
1,2015-01-02,78.5,73.5,40.0,6.477,76.0,1.5075
2,2015-01-05,83.333,78.0,40.0,6.85,80.6665,1.551
3,2015-01-06,91.0,86.0,40.0,7.486,88.5,1.6085
4,2015-01-07,91.0,86.0,40.0,7.483,88.5,1.7095
5,2015-01-08,89.0,84.0,40.0,7.316,86.5,1.668
6,2015-01-09,90.5,85.5,40.0,7.434,88.0,1.7145
7,2015-01-12,89.5,84.5,40.0,7.342,87.0,1.62
8,2015-01-13,87.667,83.0,40.0,7.203,85.3335,1.6155
9,2015-01-14,88.333,84.0,40.0,7.267,86.1665,1.5495
10,2015-01-15,87.667,83.0,40.0,7.196,85.3335,1.5785
11,2015-01-16,88.333,84.0,40.0,7.26,86.1665,1.5045
12,2015-01-19,88.667,84.0,40.0,7.262,86.3335,1.513
13,2015-01-20,84.0,79.667,40.0,6.894,81.8335,1.5255
14,2015-01-21,82.0,77.333,40.0,6.741,79.6665,1.532
15,2015-01-22,82.0,77.5,40.0,6.717,79.75,1.4
16,2015-01-26,75.0,70.667,40.0,6.14,72.8335,1.348
17,2015-01-27,76.5,72.0,40.0,6.253,74.25,1.3895
18,2015-01-28,81.0,76.0,40.0,6.595,78.5,1.4455
19,2015-01-29,86.5,82.0,40.0,7.057,84.25,1.4495
20,2015-01-30,89.333,84.333,40.0,7.262,86.833,1.453
21,2015-02-02,95.667,90.667,40.0,7.758,93.167,1.4775
22,2015-02-03,90.5,85.5,40.0,7.34,88.0,1.4705
23,2015-02-04,90.0,85.0,40.0,7.296,87.5,1.41
24,2015-02-05,89.5,85.0,40.0,7.273,87.25,1.454
25,2015-02-06,89.0,84.0,40.0,7.209,86.5,1.4855
26,2015-02-09,95.667,90.667,40.0,7.73,93.167,1.5705
27,2015-02-10,92.0,87.0,40.0,7.434,89.5,1.6105
28,2015-02-11,94.5,89.5,40.0,7.63,92.0,1.622
29,2015-02-12,92.333,87.333,40.0,7.453,89.833,1.6145
30,2015-02-13,87.5,83.0,40.0,7.083,85.25,1.562
31,2015-02-16,91.667,86.667,40.0,7.385,89.167,1.5735
32,2015-02-17,93.0,88.333,40.0,7.5,90.6665,1.5935
33,2015-02-18,89.0,84.333,40.0,7.177,86.6665,1.5915
34,2015-02-19,86.667,82.333,40.0,7.001,84.5,1.541
35,2015-02-20,86.667,81.667,40.0,6.971,84.167,1.489
36,2015-02-23,83.667,79.0,40.0,6.734,81.3335,1.407
37,2015-02-24,77.333,73.333,40.0,6.249,75.333,1.3765
38,2015-02-25,78.0,73.0,40.0,6.26,75.5,1.37
39,2015-02-26,73.667,69.333,40.0,5.935,71.5,1.2765
40,2015-02-27,73.667,69.333,40.0,5.932,71.5,1.251
41,2015-03-02,73.0,68.5,40.0,5.862,70.75,1.2615
42,2015-03-03,77.667,73.667,40.0,6.253,75.667,1.3015
43,2015-03-04,76.0,72.0,40.0,6.117,74.0,1.3665
44,2015-03-05,73.667,70.0,40.0,5.94,71.8335,1.3015
45,2015-03-06,73.333,69.333,40.0,5.896,71.333,1.2775
46,2015-03-09,75.333,71.0,40.0,6.034,73.1665,1.2835
47,2015-03-10,77.0,73.0,40.0,6.177,75.0,1.244
48,2015-03-11,75.0,72.0,40.0,6.055,73.5,1.134
49,2015-03-12,74.333,70.667,40.0,5.971,72.5,1.137
50,2015-03-13,73.0,68.333,40.0,5.822,70.6665,1.1505
51,2015-03-16,70.5,66.5,40.0,5.639,68.5,1.1525
52,2015-03-17,74.5,71.0,40.0,5.976,72.75,1.223
53,2015-03-18,77.5,72.5,40.0,6.152,75.0,1.3205
54,2015-03-19,83.333,78.0,40.0,6.597,80.6665,1.247
55,2015-03-20,83.0,78.0,40.0,6.9,80.5,1.175
56,2015-03-23,88.333,83.667,40.0,7.342,86.0,1.252
57,2015-03-24,89.0,83.5,40.0,7.359,86.25,1.2885
58,2015-03-25,89.333,84.667,40.0,7.417,87.0,1.274
59,2015-03-26,88.0,83.0,40.0,7.291,85.5,1.281
60,2015-03-27,86.5,82.5,40.0,7.205,84.5,1.3135
61,2015-03-30,86.0,82.0,40.0,7.153,84.0,1.271
62,2015-03-31,86.0,82.5,40.0,7.17,84.25,1.224
63,2015-04-01,88.0,84.5,40.0,7.33,86.25,1.197
64,2015-04-02,89.667,85.0,40.0,7.415,87.3335,1.2225
65,2015-04-07,87.333,82.333,40.0,7.192,84.833,1.1795
66,2015-04-08,85.5,81.5,40.0,7.08,83.5,1.1955
67,2015-04-09,84.0,80.0,40.0,6.954,82.0,1.2275
68,2015-04-10,82.5,78.0,40.0,6.807,80.25,1.224
69,2015-04-13,82.0,77.5,40.0,6.756,79.75,1.2525
70,2015-04-14,86.667,82.333,40.0,7.14,84.5,1.2965
71,2015-04-15,85.5,82.0,40.0,7.075,83.75,1.266
72,2015-04-16,93.0,88.0,40.0,7.619,90.5,1.349
73,2015-04-17,97.5,92.5,40.0,7.979,95.0,1.4305
74,2015-04-20,97.5,92.5,40.0,7.966,95.0,1.459
75,2015-04-21,98.0,93.0,40.0,8.003,95.5,1.467
76,2015-04-22,96.5,92.0,40.0,7.898,94.25,1.387
77,2015-04-23,95.0,90.333,40.0,7.767,92.6665,1.3625
78,2015-04-24,98.333,93.333,40.0,8.017,95.833,1.39
79,2015-04-27,94.0,89.333,40.0,7.67,91.6665,1.3185
80,2015-04-28,91.0,86.0,40.0,7.412,88.5,1.3215
81,2015-04-29,91.5,86.5,40.0,7.448,89.0,1.435
82,2015-04-30,92.0,87.0,40.0,7.484,89.5,1.4945
84,2015-05-05,97.0,93.0,40.0,7.904,95.0,1.785
85,2015-05-06,101.5,96.5,40.0,8.218,99.0,1.902
86,2015-05-07,98.0,93.0,40.0,7.936,95.5,1.7325
87,2015-05-08,97.0,91.0,40.0,7.812,94.0,1.655
88,2015-05-11,98.333,93.667,40.0,7.959,96.0,1.7375
89,2015-05-12,98.333,93.667,40.0,7.955,96.0,1.815
90,2015-05-13,93.5,88.5,40.0,7.553,91.0,1.818
91,2015-05-14,94.5,90.0,40.0,7.648,92.25,1.8325
