,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,55.665,49.915,40.0,4.549,52.79,1.754
1,2015-01-02,52.5,47.5,40.0,4.31,50.0,1.717
2,2015-01-05,55.333,50.333,40.0,4.541,52.833,1.662
3,2015-01-06,57.0,52.0,40.0,4.679,54.5,1.58
4,2015-01-07,56.0,51.0,40.0,4.593,53.5,1.6025
5,2015-01-08,54.5,49.5,40.0,4.465,52.0,1.642
6,2015-01-09,57.0,52.0,40.0,4.672,54.5,1.586
7,2015-01-12,55.667,50.667,40.0,4.553,53.167,1.575
8,2015-01-13,54.0,49.667,40.0,4.439,51.8335,1.591
9,2015-01-14,52.0,47.0,40.0,4.242,49.5,1.5165
10,2015-01-15,52.667,48.333,40.0,4.323,50.5,1.5175
11,2015-01-16,52.667,47.667,40.0,4.293,50.167,1.537
12,2015-01-19,53.667,48.667,40.0,4.37,51.167,1.5285
13,2015-01-20,50.333,46.0,40.0,4.117,48.1665,1.535
14,2015-01-21,51.0,46.667,40.0,4.17,48.8335,1.4835
15,2015-01-22,50.5,46.0,40.0,4.119,48.25,1.522
16,2015-01-26,48.0,43.333,40.0,3.895,45.6665,1.504
17,2015-01-27,52.0,48.0,40.0,4.255,50.0,1.4785
18,2015-01-28,54.0,49.0,40.0,4.377,51.5,1.458
19,2015-01-29,55.667,51.333,40.0,4.541,53.5,1.421
20,2015-01-30,57.333,52.667,40.0,4.663,55.0,1.339
21,2015-02-02,57.667,52.667,40.0,4.669,55.167,1.383
22,2015-02-03,55.0,50.5,40.0,4.467,52.75,1.469
23,2015-02-04,53.0,49.0,40.0,4.32,51.0,1.534
24,2015-02-05,52.667,48.667,40.0,4.29,50.667,1.55
25,2015-02-06,52.0,47.5,40.0,4.212,49.75,1.645
26,2015-02-09,56.667,52.0,40.0,4.584,54.3335,1.611
27,2015-02-10,54.333,50.0,40.0,4.403,52.1665,1.655
28,2015-02-11,55.5,51.0,40.0,4.49,53.25,1.671
29,2015-02-12,54.333,49.667,40.0,4.384,52.0,1.669
30,2015-02-13,51.5,47.0,40.0,4.155,49.25,1.6755
31,2015-02-16,54.0,49.667,40.0,4.361,51.8335,1.6945
32,2015-02-17,55.0,50.333,40.0,4.428,52.6665,1.7565
33,2015-02-18,53.0,49.0,40.0,4.288,51.0,1.849
34,2015-02-19,52.5,48.0,40.0,4.224,50.25,1.8235
35,2015-02-20,52.333,48.0,40.0,4.215,50.1665,1.7755
36,2015-02-23,51.0,46.333,40.0,4.085,48.6665,1.806
37,2015-02-24,47.0,43.0,40.0,3.781,45.0,1.761
38,2015-02-25,48.5,43.5,40.0,3.862,46.0,1.7235
39,2015-02-26,44.333,40.333,40.0,3.558,42.333,1.729
40,2015-02-27,45.0,41.0,40.0,3.611,43.0,1.7875
41,2015-03-02,47.0,42.5,40.0,3.708,44.75,1.786
42,2015-03-03,46.0,42.5,40.0,3.706,44.25,1.8405
43,2015-03-04,46.667,42.333,40.0,3.724,44.5,1.873
44,2015-03-05,44.5,41.0,40.0,3.579,42.75,1.863
45,2015-03-06,45.333,41.667,40.0,3.638,43.5,1.946
46,2015-03-09,48.667,45.0,40.0,3.905,46.8335,1.932
47,2015-03-10,50.667,46.333,40.0,4.04,48.5,1.801
48,2015-03-11,49.25,45.75,40.0,3.956,47.5,1.808
49,2015-03-12,49.0,45.5,40.0,3.933,47.25,1.7385
50,2015-03-13,49.0,45.333,40.0,3.924,47.1665,1.703
51,2015-03-16,49.0,44.667,40.0,3.891,46.8335,1.683
52,2015-03-17,51.5,48.0,40.0,4.126,49.75,1.677
53,2015-03-18,53.333,48.667,40.0,4.225,51.0,1.5935
54,2015-03-19,55.333,50.667,40.0,4.385,53.0,1.5305
55,2015-03-20,54.667,50.667,40.0,4.57,52.667,1.5185
56,2015-03-23,58.333,54.0,40.0,4.858,56.1665,1.512
57,2015-03-24,59.0,54.5,40.0,4.905,56.75,1.5085
58,2015-03-25,59.0,54.667,40.0,4.91,56.8335,1.4785
59,2015-03-26,59.667,55.333,40.0,4.963,57.5,1.587
60,2015-03-27,59.0,54.5,40.0,4.898,56.75,1.5395
61,2015-03-30,59.0,54.5,40.0,4.89,56.75,1.5795
62,2015-03-31,59.0,54.5,40.0,4.888,56.75,1.577
63,2015-04-01,59.0,54.5,40.0,4.885,56.75,1.5455
64,2015-04-02,60.333,56.0,40.0,5.001,58.1665,1.585
65,2015-04-07,59.667,55.0,40.0,4.919,57.3335,1.589
66,2015-04-08,57.667,53.667,40.0,4.777,55.667,1.5795
67,2015-04-09,58.667,54.333,40.0,4.845,56.5,1.572
68,2015-04-10,57.0,53.0,40.0,4.717,55.0,1.5835
69,2015-04-13,56.667,52.333,40.0,4.668,54.5,1.5965
70,2015-04-14,58.667,54.333,40.0,4.832,56.5,1.513
71,2015-04-15,58.5,55.167,40.0,4.858,56.8335,1.557
72,2015-04-16,61.5,57.5,40.0,5.077,59.5,1.603
73,2015-04-17,66.5,62.0,40.0,5.468,64.25,1.586
74,2015-04-20,67.0,62.0,40.0,5.481,64.5,1.5705
75,2015-04-21,67.0,62.0,40.0,5.478,64.5,1.567
76,2015-04-22,66.5,62.0,40.0,5.454,64.25,1.7085
77,2015-04-23,64.667,59.667,40.0,5.279,62.167,1.688
78,2015-04-24,65.667,61.0,40.0,5.373,63.3335,1.6495
79,2015-04-27,65.333,61.333,40.0,5.365,63.333,1.6955
80,2015-04-28,63.667,59.333,40.0,5.211,61.5,1.696
81,2015-04-29,65.667,60.667,40.0,5.345,63.167,1.83
82,2015-04-30,65.0,60.0,40.0,5.287,62.5,1.8335
83,2015-05-01,63.5,58.5,40.0,5.161,61.0,1.848
84,2015-05-05,67.667,62.333,40.0,5.478,65.0,1.9735
85,2015-05-06,67.667,63.0,40.0,5.502,65.3335,1.9805
86,2015-05-07,68.5,63.5,40.0,5.554,66.0,1.929
87,2015-05-08,65.333,60.667,40.0,5.306,63.0,1.875
88,2015-05-11,66.0,61.5,40.0,5.359,63.75,1.9395
89,2015-05-12,68.667,64.0,40.0,5.567,66.3335,1.995
90,2015-05-13,67.0,63.0,40.0,5.455,65.0,2.01
91,2015-05-14,66.333,61.667,40.0,5.37,64.0,1.988
92,2015-05-15,65.0,61.0,40.0,5.286,63.0,1.898
93,2015-05-18,69.0,64.667,40.0,5.59,66.8335,1.956
94,2015-05-19,67.333,63.0,40.0,5.452,65.1665,1.962
