,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,84.0,79.0,40.0,6.929,81.5,0.4955
2,2015-01-05,87.0,82.0,40.0,7.164,84.5,0.5105
3,2015-01-06,88.0,83.0,40.0,7.242,85.5,0.45
4,2015-01-07,87.5,82.5,40.0,7.198,85.0,0.4685
5,2015-01-08,84.0,79.0,40.0,6.908,81.5,0.5105
6,2015-01-09,85.0,80.0,40.0,6.986,82.5,0.4785
7,2015-01-12,84.667,79.667,40.0,6.949,82.167,0.4775
8,2015-01-13,83.0,78.333,40.0,6.823,80.6665,0.4745
9,2015-01-14,79.0,74.0,40.0,6.479,76.5,0.4295
10,2015-01-15,82.0,77.333,40.0,6.734,79.6665,0.4125
11,2015-01-16,80.667,75.667,40.0,6.609,78.167,0.455
12,2015-01-19,82.0,77.333,40.0,6.721,79.6665,0.4385
13,2015-01-20,79.0,74.333,40.0,6.473,76.6665,0.4485
14,2015-01-21,78.333,74.0,40.0,6.428,76.1665,0.5165
15,2015-01-22,75.5,70.5,40.0,6.391,73.0,0.4475
16,2015-01-26,73.333,68.667,40.0,5.99,71.0,0.3915
17,2015-01-27,76.0,71.5,40.0,6.212,73.75,0.3825
18,2015-01-28,78.5,73.5,40.0,6.392,76.0,0.3535
19,2015-01-29,79.667,75.0,40.0,6.497,77.3335,0.355
20,2015-01-30,81.333,76.667,40.0,6.629,79.0,0.3115
21,2015-02-02,82.0,77.0,40.0,6.659,79.5,0.3065
22,2015-02-03,78.5,74.0,40.0,6.392,76.25,0.3455
23,2015-02-04,78.5,74.0,40.0,6.389,76.25,0.3635
24,2015-02-05,78.0,73.333,40.0,6.338,75.6665,0.37
25,2015-02-06,76.0,71.5,40.0,6.18,73.75,0.3725
26,2015-02-09,80.0,75.0,40.0,6.473,77.5,0.353
27,2015-02-10,79.0,74.333,40.0,6.403,76.6665,0.368
28,2015-02-11,80.0,75.0,40.0,6.467,77.5,0.3565
29,2015-02-12,79.0,74.333,40.0,6.396,76.6665,0.3235
30,2015-02-13,76.5,72.0,40.0,6.198,74.25,0.3415
31,2015-02-16,79.667,75.0,40.0,6.437,77.3335,0.345
32,2015-02-17,81.333,76.667,40.0,6.567,79.0,0.368
33,2015-02-18,78.5,74.0,40.0,6.343,76.25,0.3815
34,2015-02-19,76.0,71.5,40.0,6.138,73.75,0.3795
35,2015-02-20,77.333,73.0,40.0,6.249,75.1665,0.3705
36,2015-02-23,76.333,71.333,40.0,6.132,73.833,0.3645
37,2015-02-24,73.0,69.0,40.0,5.901,71.0,0.3725
38,2015-02-25,73.5,68.5,40.0,5.898,71.0,0.3305
39,2015-02-26,69.0,64.667,40.0,5.559,66.8335,0.2995
40,2015-02-27,69.0,64.333,40.0,5.542,66.6665,0.3215
41,2015-03-02,69.5,65.0,40.0,5.581,67.25,0.3535
42,2015-03-03,71.0,67.0,40.0,5.719,69.0,0.3635
43,2015-03-04,71.333,66.667,40.0,5.715,69.0,0.379
44,2015-03-05,69.333,65.333,40.0,5.578,67.333,0.356
45,2015-03-06,69.0,64.333,40.0,5.521,66.6665,0.398
46,2015-03-09,71.0,67.0,40.0,5.7,69.0,0.3065
47,2015-03-10,74.25,70.25,40.0,5.958,72.25,0.236
48,2015-03-11,73.75,70.0,40.0,5.925,71.875,0.202
49,2015-03-12,73.5,70.0,40.0,5.912,71.75,0.246
50,2015-03-13,71.667,68.0,40.0,5.755,69.8335,0.257
51,2015-03-16,71.0,66.5,40.0,5.659,68.75,0.2765
52,2015-03-17,73.5,70.0,40.0,5.896,71.75,0.279
53,2015-03-18,77.0,72.667,40.0,6.138,74.8335,0.193
54,2015-03-19,79.333,75.0,40.0,6.32,77.1665,0.1865
55,2015-03-20,79.0,75.0,40.0,6.61,77.0,0.1835
56,2015-03-23,84.0,79.5,40.0,6.992,81.75,0.2175
57,2015-03-24,83.5,79.0,40.0,6.948,81.25,0.2325
58,2015-03-25,82.667,78.0,40.0,6.869,80.3335,0.218
59,2015-03-26,82.5,77.5,40.0,6.838,80.0,0.2165
60,2015-03-27,81.5,76.5,40.0,6.752,79.0,0.2075
61,2015-03-30,80.5,76.0,40.0,6.68,78.25,0.2125
62,2015-03-31,81.5,77.0,40.0,6.821,79.25,0.183
63,2015-04-01,81.5,77.0,40.0,6.756,79.25,0.17
64,2015-04-02,83.333,78.667,40.0,6.896,81.0,0.1815
65,2015-04-07,82.333,77.667,40.0,6.797,80.0,0.1855
66,2015-04-08,81.0,76.333,40.0,6.684,78.6665,0.1655
67,2015-04-09,80.333,75.667,40.0,6.626,78.0,0.156
68,2015-04-10,80.0,75.0,40.0,6.582,77.5,0.1545
69,2015-04-13,79.333,74.667,40.0,6.531,77.0,0.1555
70,2015-04-14,81.667,77.0,40.0,6.718,79.3335,0.138
71,2015-04-15,82.0,78.5,40.0,6.79,80.25,0.1075
72,2015-04-16,85.0,80.5,40.0,6.99,82.75,0.0835
73,2015-04-17,91.0,86.0,40.0,7.454,88.5,0.077
74,2015-04-20,91.5,86.5,40.0,7.483,89.0,0.075
75,2015-04-21,90.5,85.5,40.0,7.398,88.0,0.101
76,2015-04-22,88.0,83.5,40.0,7.212,85.75,0.1585
77,2015-04-23,86.667,81.667,40.0,7.08,84.167,0.16
78,2015-04-24,87.667,83.0,40.0,7.171,85.3335,0.156
79,2015-04-27,84.333,78.0,40.0,6.823,81.1665,0.162
80,2015-04-28,80.333,75.667,40.0,6.562,78.0,0.1615
81,2015-04-29,83.667,78.667,40.0,6.815,81.167,0.2825
82,2015-04-30,82.0,78.0,40.0,6.717,80.0,0.3615
84,2015-05-05,85.667,81.333,40.0,6.981,83.5,0.5165
85,2015-05-06,87.0,82.0,40.0,7.058,84.5,0.5845
86,2015-05-07,86.5,81.5,40.0,7.014,84.0,0.5935
87,2015-05-08,84.0,79.333,40.0,6.823,81.6665,0.543
88,2015-05-11,84.0,79.5,40.0,6.819,81.75,0.597
89,2015-05-12,86.667,82.0,40.0,7.023,84.3335,0.679
90,2015-05-13,86.5,82.5,40.0,7.032,84.5,0.7185
91,2015-05-14,86.333,81.667,40.0,6.989,84.0,0.698
92,2015-05-15,87.0,83.0,40.0,7.066,85.0,0.6375
93,2015-05-18,88.667,84.333,40.0,7.174,86.5,0.6465
94,2015-05-19,87.0,83.0,40.0,7.051,85.0,0.6105
95,2015-05-20,87.0,83.0,40.0,7.047,85.0,0.6245
96,2015-05-21,87.333,83.667,40.0,7.084,85.5,0.6325
97,2015-05-22,88.0,83.667,40.0,7.107,85.8335,0.6015
98,2015-05-26,89.5,85.5,40.0,7.284,87.5,0.5505
99,2015-05-27,87.667,83.333,40.0,7.062,85.5,0.544
100,2015-05-28,89.0,84.5,40.0,7.157,86.75,0.533
101,2015-05-29,89.667,85.333,40.0,7.214,87.5,0.4835
102,2015-06-01,93.667,89.667,40.0,7.532,91.667,0.5295
103,2015-06-02,91.0,87.667,40.0,7.343,89.3335,0.696
104,2015-06-03,91.333,87.667,40.0,7.351,89.5,0.8745
105,2015-06-04,93.5,90.0,40.0,7.525,91.75,0.83
106,2015-06-05,97.0,92.333,40.0,7.751,94.6665,0.8455
107,2015-06-08,95.333,90.333,40.0,7.595,92.833,0.8865
108,2015-06-09,97.0,92.5,40.0,7.741,94.75,0.9505
109,2015-06-10,95.0,91.0,40.0,7.599,93.0,0.987
110,2015-06-11,95.0,91.0,40.0,7.596,93.0,0.8975
111,2015-06-12,97.667,93.667,40.0,7.801,95.667,0.849
112,2015-06-15,102.5,98.0,40.0,8.146,100.25,0.8235
113,2015-06-16,104.667,101.0,40.0,8.343,102.8335,0.8025
114,2015-06-17,105.667,101.333,40.0,8.39,103.5,0.8105
115,2015-06-18,107.0,101.0,40.0,8.424,104.0,0.802
116,2015-06-19,106.0,101.0,40.0,8.382,103.5,0.759
117,2015-06-22,97.5,92.5,40.0,8.08,95.0,0.881
118,2015-06-23,92.5,87.0,40.0,7.647,89.75,0.8635
119,2015-06-24,97.0,93.0,40.0,8.072,95.0,0.841
120,2015-06-25,97.667,93.333,40.0,8.109,95.5,0.86
121,2015-06-26,96.0,91.0,40.0,7.942,93.5,0.919
122,2015-06-29,108.0,102.667,40.0,8.888,105.3335,0.799
123,2015-06-30,105.5,100.5,40.0,8.696,103.0,0.7675
124,2015-07-01,103.5,98.5,40.0,8.53,101.0,0.821
125,2015-07-02,104.5,99.5,40.0,8.606,102.0,0.8445
126,2015-07-03,108.0,103.0,40.0,8.884,105.5,0.7915
127,2015-07-06,114.667,109.333,40.0,9.391,112.0,0.7685
128,2015-07-07,117.0,112.0,40.0,9.585,114.5,0.6345
129,2015-07-08,115.0,111.0,40.0,9.461,113.0,0.6815
130,2015-07-09,111.5,107.0,40.0,9.157,109.25,0.727
131,2015-07-10,101.0,96.0,40.0,8.29,98.5,0.8935
132,2015-07-13,94.5,89.0,40.0,7.733,91.75,0.845
133,2015-07-14,94.333,89.0,40.0,7.722,91.6665,0.8415
