,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,72.096,66.762,40.0,5.94,69.429,0.83
1,2015-01-02,71.5,66.5,40.0,5.898,69.0,0.785
2,2015-01-05,75.667,70.667,40.0,6.234,73.167,0.7925
3,2015-01-06,77.333,72.333,40.0,6.368,74.833,0.742
4,2015-01-07,77.5,72.5,40.0,6.378,75.0,0.778
5,2015-01-08,75.0,69.5,40.0,6.149,72.25,0.7975
6,2015-01-09,78.5,73.5,40.0,6.454,76.0,0.7805
7,2015-01-12,76.333,71.333,40.0,6.266,73.833,0.7565
8,2015-01-13,73.0,68.667,40.0,6.017,70.8335,0.739
9,2015-01-14,70.5,65.5,40.0,5.78,68.0,0.655
10,2015-01-15,72.333,68.0,40.0,5.956,70.1665,0.673
11,2015-01-16,72.0,67.0,40.0,5.898,69.5,0.6435
12,2015-01-19,73.0,68.333,40.0,5.985,70.6665,0.636
13,2015-01-20,69.0,64.667,40.0,5.667,66.8335,0.637
14,2015-01-21,69.0,64.667,40.0,5.663,66.8335,0.684
15,2015-01-22,65.5,60.5,40.0,5.592,63.0,0.6105
16,2015-01-26,63.667,58.667,40.0,5.183,61.167,0.572
17,2015-01-27,66.0,61.5,40.0,5.393,63.75,0.5755
18,2015-01-28,70.5,65.5,40.0,5.739,68.0,0.578
19,2015-01-29,70.0,65.333,40.0,5.708,67.6665,0.589
20,2015-01-30,72.333,67.333,40.0,5.883,69.833,0.5535
21,2015-02-02,74.333,69.333,40.0,6.037,71.833,0.551
22,2015-02-03,70.5,66.0,40.0,5.741,68.25,0.5705
23,2015-02-04,70.5,66.0,40.0,5.738,68.25,0.59
24,2015-02-05,72.333,67.667,40.0,5.878,70.0,0.5855
25,2015-02-06,68.5,64.0,40.0,5.569,66.25,0.609
26,2015-02-09,72.333,67.333,40.0,5.852,69.833,0.605
27,2015-02-10,70.0,65.333,40.0,5.673,67.6665,0.6465
28,2015-02-11,72.0,67.5,40.0,5.839,69.75,0.625
29,2015-02-12,70.667,66.0,40.0,5.721,68.3335,0.585
30,2015-02-13,68.0,63.5,40.0,5.508,65.75,0.588
31,2015-02-16,70.667,66.0,40.0,5.71,68.3335,0.6015
32,2015-02-17,71.667,67.0,40.0,5.787,69.3335,0.6295
33,2015-02-18,67.0,62.5,40.0,5.413,64.75,0.6385
34,2015-02-19,66.5,62.0,40.0,5.369,64.25,0.6395
35,2015-02-20,67.333,62.667,40.0,5.427,65.0,0.615
36,2015-02-23,66.0,61.0,40.0,5.297,63.5,0.595
37,2015-02-24,62.5,58.5,40.0,5.051,60.5,0.5875
38,2015-02-25,63.0,58.0,40.0,5.048,60.5,0.54
39,2015-02-26,57.333,53.667,40.0,4.638,55.5,0.512
40,2015-02-27,56.667,52.0,40.0,4.541,54.3335,0.5235
41,2015-03-02,58.5,54.0,40.0,4.69,56.25,0.5695
42,2015-03-03,59.0,55.0,40.0,4.748,57.0,0.596
43,2015-03-04,59.0,54.667,40.0,4.732,56.8335,0.6065
44,2015-03-05,57.667,53.333,40.0,4.621,55.5,0.589
45,2015-03-06,57.667,52.667,40.0,4.591,55.167,0.626
46,2015-03-09,58.667,54.667,40.0,4.706,56.667,0.55
47,2015-03-10,60.0,56.333,40.0,4.825,58.1665,0.4625
48,2015-03-11,60.25,56.5,40.0,4.839,58.375,0.4055
49,2015-03-12,59.5,55.5,40.0,4.766,57.5,0.4325
50,2015-03-13,57.667,54.0,40.0,4.629,55.8335,0.4435
51,2015-03-16,58.0,53.5,40.0,4.614,55.75,0.451
52,2015-03-17,62.0,58.0,40.0,4.955,60.0,0.472
53,2015-03-18,63.667,58.667,40.0,5.046,61.167,0.423
54,2015-03-19,64.667,60.0,40.0,5.137,62.3335,0.454
55,2015-03-20,63.5,59.0,40.0,5.295,61.25,0.432
56,2015-03-23,68.5,63.5,40.0,5.684,66.0,0.4955
57,2015-03-24,68.5,64.0,40.0,5.702,66.25,0.5095
58,2015-03-25,66.667,62.0,40.0,5.539,64.3335,0.4995
59,2015-03-26,66.5,61.5,40.0,5.509,64.0,0.4985
60,2015-03-27,66.0,61.0,40.0,5.464,63.5,0.5005
61,2015-03-30,65.0,60.0,40.0,5.372,62.5,0.509
62,2015-03-31,65.5,61.0,40.0,5.432,63.25,0.472
63,2015-04-01,65.0,61.5,40.0,5.429,63.25,0.4535
64,2015-04-02,66.667,62.0,40.0,5.517,64.3335,0.4695
65,2015-04-07,65.0,60.0,40.0,5.35,62.5,0.4655
66,2015-04-08,64.333,60.0,40.0,5.32,62.1665,0.4445
67,2015-04-09,63.0,59.333,40.0,5.234,61.1665,0.449
68,2015-04-10,63.333,59.0,40.0,5.231,61.1665,0.4335
69,2015-04-13,63.333,58.333,40.0,5.196,60.833,0.4315
70,2015-04-14,65.667,61.0,40.0,5.401,63.3335,0.4085
71,2015-04-15,64.0,60.5,40.0,5.308,62.25,0.3555
72,2015-04-16,72.0,67.5,40.0,5.925,69.75,0.3585
73,2015-04-17,75.0,70.0,40.0,6.148,72.5,0.366
74,2015-04-20,74.0,69.0,40.0,6.057,71.5,0.363
75,2015-04-21,74.0,69.0,40.0,6.054,71.5,0.367
76,2015-04-22,70.5,66.0,40.0,5.784,68.25,0.404
77,2015-04-23,69.333,64.333,40.0,5.664,66.833,0.411
78,2015-04-24,69.333,64.667,40.0,5.675,67.0,0.415
79,2015-04-27,68.667,64.667,40.0,5.639,66.667,0.421
80,2015-04-28,66.667,62.333,40.0,5.458,64.5,0.4175
81,2015-04-29,68.333,63.667,40.0,5.578,66.0,0.551
82,2015-04-30,67.5,63.0,40.0,5.513,65.25,0.6465
84,2015-05-05,70.667,66.333,40.0,5.764,68.5,0.8185
85,2015-05-06,72.667,67.333,40.0,5.883,70.0,0.896
86,2015-05-07,74.0,68.5,40.0,5.982,71.25,0.8925
87,2015-05-08,72.0,67.333,40.0,5.85,69.6665,0.825
88,2015-05-11,71.5,67.0,40.0,5.807,69.25,0.8825
89,2015-05-12,73.0,68.333,40.0,5.919,70.6665,0.9725
90,2015-05-13,72.0,68.0,40.0,5.862,70.0,0.9545
91,2015-05-14,71.667,67.0,40.0,5.805,69.3335,0.972
92,2015-05-15,71.333,67.333,40.0,5.802,69.333,0.9165
93,2015-05-18,75.333,71.0,40.0,6.103,73.1665,0.944
94,2015-05-19,73.667,69.0,40.0,5.952,71.3335,0.8885
95,2015-05-20,73.667,69.333,40.0,5.962,71.5,0.8945
96,2015-05-21,73.0,69.333,40.0,5.932,71.1665,0.924
97,2015-05-22,73.0,68.667,40.0,5.902,70.8335,0.8925
98,2015-05-26,75.5,71.5,40.0,6.105,73.5,0.8595
99,2015-05-27,72.0,67.667,40.0,5.806,69.8335,0.8585
100,2015-05-28,71.5,68.0,40.0,5.796,69.75,0.8445
101,2015-05-29,73.0,69.333,40.0,5.908,71.1665,0.8065
102,2015-06-01,74.0,70.0,40.0,5.965,72.0,0.8195
103,2015-06-02,70.333,67.0,40.0,5.694,68.6665,0.9745
104,2015-06-03,70.333,66.667,40.0,5.676,68.5,1.1385
105,2015-06-04,73.0,69.5,40.0,5.895,71.25,1.1285
106,2015-06-05,75.667,71.333,40.0,6.072,73.5,1.1655
107,2015-06-08,76.0,71.333,40.0,6.075,73.6665,1.213
108,2015-06-09,75.5,71.0,40.0,6.039,73.25,1.2705
109,2015-06-10,73.5,69.0,40.0,5.875,71.25,1.3225
110,2015-06-11,73.5,70.0,40.0,5.913,71.75,1.215
111,2015-06-12,79.0,74.667,40.0,6.315,76.8335,1.2285
112,2015-06-15,82.0,77.5,40.0,6.536,79.75,1.2715
113,2015-06-16,86.333,80.667,40.0,6.829,83.5,1.2575
114,2015-06-17,89.0,84.0,40.0,7.062,86.5,1.2225
115,2015-06-18,91.333,85.667,40.0,7.215,88.5,1.1845
116,2015-06-19,90.667,86.0,40.0,7.199,88.3335,1.162
117,2015-06-22,82.5,76.5,40.0,6.808,79.5,1.2385
118,2015-06-23,77.0,72.0,40.0,6.39,74.5,1.223
