,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,78.0,73.0,40,6.436,75.5,0.4955
2,2015-01-05,80.333,75.333,40,6.618,77.833,0.5105
3,2015-01-06,80.0,75.0,40,6.587,77.5,0.45
4,2015-01-07,79.5,74.5,40,6.543,77.0,0.4685
5,2015-01-08,78.0,73.5,40,6.437,75.75,0.5105
6,2015-01-09,78.5,73.5,40,6.454,76.0,0.4785
7,2015-01-12,78.0,73.0,40,6.403,75.5,0.4775
8,2015-01-13,76.333,72.0,40,6.291,74.1665,0.4745
9,2015-01-14,74.0,69.0,40,6.068,71.5,0.4295
10,2015-01-15,76.667,72.333,40,6.312,74.5,0.4125
11,2015-01-16,75.0,70.0,40,6.145,72.5,0.455
12,2015-01-19,76.333,71.667,40,6.258,74.0,0.4385
13,2015-01-20,72.0,67.667,40,5.913,69.8335,0.4485
14,2015-01-21,72.333,68.0,40,5.937,70.1665,0.5165
15,2015-01-22,70.0,65.0,40,5.982,67.5,0.4475
16,2015-01-26,68.333,63.667,40,5.58,66.0,0.3915
17,2015-01-27,69.5,65.0,40,5.68,67.25,0.3825
18,2015-01-28,72.5,67.5,40,5.903,70.0,0.3535
19,2015-01-29,71.667,67.333,40,5.858,69.5,0.355
20,2015-01-30,72.667,68.0,40,5.924,70.3335,0.3115
21,2015-02-02,74.333,69.333,40,6.037,71.833,0.3065
22,2015-02-03,71.0,67.0,40,5.803,69.0,0.3455
23,2015-02-04,71.0,67.0,40,5.8,69.0,0.3635
24,2015-02-05,69.333,65.0,40,5.647,67.1665,0.37
25,2015-02-06,69.0,64.5,40,5.61,66.75,0.3725
26,2015-02-09,73.0,68.333,40,5.92,70.6665,0.353
27,2015-02-10,71.0,66.667,40,5.768,68.8335,0.368
28,2015-02-11,71.5,67.0,40,5.799,69.25,0.3565
29,2015-02-12,70.667,66.0,40,5.721,68.3335,0.3235
30,2015-02-13,68.5,64.0,40,5.549,66.25,0.3415
31,2015-02-16,71.333,67.0,40,5.777,69.1665,0.345
32,2015-02-17,72.333,67.667,40,5.841,70.0,0.368
33,2015-02-18,69.5,65.0,40,5.616,67.25,0.3815
34,2015-02-19,68.5,64.0,40,5.532,66.25,0.3795
35,2015-02-20,69.0,65.0,40,5.589,67.0,0.3705
36,2015-02-23,67.667,63.0,40,5.446,65.3335,0.3645
37,2015-02-24,66.5,62.5,40,5.375,64.5,0.3725
38,2015-02-25,65.5,61.0,40,5.271,63.25,0.3305
39,2015-02-26,60.333,56.667,40,4.883,58.5,0.2995
40,2015-02-27,61.0,56.667,40,4.907,58.8335,0.3215
41,2015-03-02,61.0,57.0,40,4.913,59.0,0.3535
42,2015-03-03,62.0,58.0,40,4.992,60.0,0.3635
43,2015-03-04,62.667,58.0,40,5.016,60.3335,0.379
44,2015-03-05,60.667,57.0,40,4.892,58.8335,0.356
45,2015-03-06,60.667,56.333,40,4.862,58.5,0.398
46,2015-03-10,62.64,58.84,40,5.033,60.74,0.236
47,2015-03-13,60.667,57.0,40,4.871,58.8335,0.257
48,2015-03-16,59.5,55.5,40,4.756,57.5,0.2765
49,2015-03-17,62.0,59.0,40,4.995,60.5,0.279
50,2015-03-18,65.333,61.333,40,5.22,63.333,0.193
51,2015-03-19,71.0,66.667,40,5.657,68.8335,0.1865
52,2015-03-20,69.0,66.0,40,5.819,67.5,0.1835
53,2015-03-23,73.0,68.5,40,6.081,70.75,0.2175
54,2015-03-24,73.0,68.5,40,6.078,70.75,0.2325
55,2015-03-25,73.0,68.333,40,6.068,70.6665,0.218
56,2015-03-26,71.5,66.5,40,5.926,69.0,0.2165
57,2015-03-27,71.5,67.5,40,5.965,69.5,0.2075
58,2015-03-30,70.5,67.0,40,5.893,68.75,0.2125
59,2015-03-31,71.5,68.0,40,5.973,69.75,0.183
60,2015-04-01,71.5,68.0,40,5.97,69.75,0.17
61,2015-04-02,73.0,68.667,40,6.057,70.8335,0.1815
62,2015-04-07,72.333,67.667,40,5.973,70.0,0.1855
63,2015-04-08,71.0,66.667,40,5.874,68.8335,0.1655
64,2015-04-09,70.0,66.333,40,5.815,68.1665,0.156
65,2015-04-10,69.0,64.667,40,5.702,66.8335,0.1545
66,2015-04-13,69.333,64.667,40,5.707,67.0,0.1555
67,2015-04-14,71.0,66.333,40,5.842,68.6665,0.138
68,2015-04-15,70.0,66.5,40,5.805,68.25,0.1075
69,2015-04-16,75.0,70.5,40,6.172,72.75,0.0835
70,2015-04-17,80.0,75.0,40,6.558,77.5,0.077
71,2015-04-20,80.0,75.0,40,6.548,77.5,0.075
72,2015-04-21,80.5,75.5,40,6.586,78.0,0.101
73,2015-04-22,77.5,73.0,40,6.357,75.25,0.1585
74,2015-04-23,76.333,71.333,40,6.238,73.833,0.16
75,2015-04-24,77.0,72.333,40,6.303,74.6665,0.156
76,2015-04-27,75.333,71.333,40,6.185,73.333,0.162
77,2015-04-28,73.0,68.667,40,5.977,70.8335,0.1615
78,2015-04-29,75.333,70.667,40,6.151,73.0,0.2825
79,2015-04-30,75.0,70.5,40,6.127,72.75,0.3615
81,2015-05-05,75.0,70.667,40,6.117,72.8335,0.5165
82,2015-05-06,77.333,72.333,40,6.277,74.833,0.5845
83,2015-05-07,77.0,72.0,40,6.246,74.5,0.5935
84,2015-05-08,75.0,70.333,40,6.095,72.6665,0.543
85,2015-05-11,74.5,70.0,40,6.051,72.25,0.597
86,2015-05-12,77.667,73.0,40,6.298,75.3335,0.679
87,2015-05-13,76.0,72.0,40,6.186,74.0,0.7185
88,2015-05-14,77.667,73.0,40,6.291,75.3335,0.698
89,2015-05-15,78.333,74.333,40,6.369,76.333,0.6375
90,2015-05-18,79.333,75.667,40,6.453,77.5,0.6465
91,2015-05-19,77.333,74.0,40,6.302,75.6665,0.6105
92,2015-05-20,77.333,74.0,40,6.298,75.6665,0.6245
93,2015-05-21,77.0,73.333,40,6.255,75.1665,0.6325
94,2015-05-22,78.0,74.333,40,6.332,76.1665,0.6015
95,2015-05-26,79.5,76.5,40,6.466,78.0,0.5505
96,2015-05-27,78.667,74.333,40,6.343,76.5,0.544
97,2015-05-28,79.0,75.5,40,6.399,77.25,0.533
98,2015-05-29,80.667,77.0,40,6.523,78.8335,0.4835
99,2015-06-01,83.0,79.667,40,6.712,81.3335,0.5295
100,2015-06-02,81.0,77.667,40,6.549,79.3335,0.696
101,2015-06-03,81.0,77.333,40,6.531,79.1665,0.8745
102,2015-06-04,82.0,78.5,40,6.614,80.25,0.83
103,2015-06-05,88.333,83.667,40,7.093,86.0,0.8455
104,2015-06-08,87.0,82.667,40,6.964,84.8335,0.8865
105,2015-06-09,87.5,83.0,40,6.992,85.25,0.9505
106,2015-06-10,85.0,80.5,40,6.791,82.75,0.987
107,2015-06-11,84.5,80.5,40,6.768,82.5,0.8975
108,2015-06-12,88.333,84.333,40,7.067,86.333,0.849
109,2015-06-15,95.0,90.5,40,7.56,92.75,0.8235
110,2015-06-16,100.333,96.667,40,8.006,98.5,0.8025
111,2015-06-17,101.667,98.0,40,8.105,99.8335,0.8105
112,2015-06-18,102.333,96.667,40,8.075,99.5,0.802
113,2015-06-19,101.333,97.0,40,8.045,99.1665,0.759
114,2015-06-22,93.0,88.5,40,7.733,90.75,0.881
115,2015-06-23,89.0,84.0,40,7.381,86.5,0.8635
116,2015-06-24,94.5,90.5,40,7.868,92.5,0.841
117,2015-06-25,93.833,89.5,40,7.796,91.6665,0.86
118,2015-06-26,93.0,88.0,40,7.697,90.5,0.919
119,2015-06-29,103.667,98.333,40,8.538,101.0,0.799
120,2015-06-30,101.5,96.5,40,8.373,99.0,0.7675
121,2015-07-01,98.5,93.5,40,8.125,96.0,0.821
122,2015-07-02,99.0,95.0,40,8.202,97.0,0.8445
123,2015-07-03,102.667,98.333,40,8.481,100.5,0.7915
124,2015-07-06,109.0,103.667,40,8.937,106.3335,0.7685
125,2015-07-07,111.667,107.0,40,9.173,109.3335,0.6345
126,2015-07-08,110.0,106.0,40,9.062,108.0,0.6815
127,2015-07-09,107.0,103.0,40,8.817,105.0,0.727
128,2015-07-10,96.25,91.75,40,7.926,94.0,0.8935
