,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
2,2015-01-05,48.0,43.333,40,3.938,45.6665,0.264
3,2015-01-06,50.333,45.0,40,4.105,47.6665,0.208
4,2015-01-07,50.5,44.5,40,4.088,47.5,0.18
5,2015-01-08,46.5,42.0,40,3.812,44.25,0.1945
6,2015-01-09,49.5,44.5,40,4.042,47.0,0.225
7,2015-01-12,48.0,43.333,40,3.924,45.6665,0.1885
8,2015-01-13,47.0,43.0,40,3.865,45.0,0.19
9,2015-01-14,47.333,43.667,40,3.906,45.5,0.1585
10,2015-01-15,48.0,44.0,40,3.946,46.0,0.048
11,2015-01-16,49.0,45.0,40,4.028,47.0,0.054
12,2015-01-19,50.0,45.333,40,4.077,47.6665,-0.082
13,2015-01-20,47.333,43.333,40,3.88,45.333,-0.1015
14,2015-01-21,45.333,41.0,40,3.695,43.1665,-0.195
15,2015-01-22,45.667,40.667,40,3.835,43.167,-0.2065
16,2015-01-26,42.333,37.667,40,3.42,40.0,-0.303
17,2015-01-27,43.5,39.5,40,3.544,41.5,-0.0685
18,2015-01-28,45.0,40.0,40,3.626,42.5,-0.032
19,2015-01-29,48.5,44.5,40,3.959,46.5,-0.064
20,2015-01-30,50.0,45.5,40,4.061,47.75,-0.067
21,2015-02-02,50.667,46.0,40,4.103,48.3335,-0.165
22,2015-02-03,49.0,44.5,40,3.969,46.75,-0.1565
23,2015-02-04,48.0,44.0,40,3.905,46.0,-0.141
24,2015-02-05,48.0,43.667,40,3.889,45.8335,-0.118
25,2015-02-06,46.5,42.0,40,3.755,44.25,-0.083
26,2015-02-09,50.0,45.333,40,4.033,47.6665,-0.089
27,2015-02-10,47.0,43.0,40,3.809,45.0,-0.0155
28,2015-02-11,49.0,44.5,40,3.953,46.75,0.0285
29,2015-02-12,47.667,43.0,40,3.833,45.3335,0.002
30,2015-02-13,45.667,41.333,40,3.679,43.5,0.0195
31,2015-02-16,46.667,42.0,40,3.742,44.3335,0.0675
32,2015-02-17,48.667,44.333,40,3.919,46.5,0.0685
33,2015-02-18,47.0,42.667,40,3.78,44.8335,0.069
34,2015-02-19,46.333,42.0,40,3.723,44.1665,0.037
35,2015-02-20,47.0,42.0,40,3.748,44.5,0.036
36,2015-02-23,46.0,40.667,40,3.646,43.3335,0.0835
