,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,91.5,86.5,40.0,7.542,89.0,1.756
2,2015-01-05,96.0,91.0,40.0,7.896,93.5,1.8035
3,2015-01-06,99.0,94.0,40.0,8.135,96.5,1.825
4,2015-01-07,101.0,96.0,40.0,8.292,98.5,1.927
5,2015-01-08,96.0,91.0,40.0,7.884,93.5,1.8485
6,2015-01-09,98.5,93.5,40.0,8.082,96.0,1.8815
7,2015-01-12,97.0,92.0,40.0,7.949,94.5,1.7975
8,2015-01-13,96.333,91.667,40.0,7.905,94.0,1.7865
9,2015-01-14,97.333,92.333,40.0,7.968,94.833,1.7375
10,2015-01-15,97.0,92.333,40.0,7.951,94.6665,1.7375
11,2015-01-16,99.0,94.333,40.0,8.108,96.6665,1.7335
12,2015-01-19,98.667,93.667,40.0,8.055,96.167,1.7385
13,2015-01-20,94.333,89.667,40.0,7.716,92.0,1.743
14,2015-01-21,90.0,85.5,40.0,7.349,87.75,1.753
15,2015-01-22,90.0,85.333,40.0,7.358,87.6665,1.6265
16,2015-01-26,82.667,77.667,40.0,6.737,80.167,1.5185
17,2015-01-27,83.667,79.0,40.0,6.828,81.3335,1.578
18,2015-01-28,88.667,83.667,40.0,7.216,86.167,1.6465
19,2015-01-29,93.0,88.0,40.0,7.56,90.5,1.6415
20,2015-01-30,95.0,90.0,40.0,7.717,92.5,1.667
21,2015-02-02,98.0,93.0,40.0,7.945,95.5,1.662
22,2015-02-03,94.5,89.5,40.0,7.661,92.0,1.633
23,2015-02-04,92.5,87.5,40.0,7.497,90.0,1.572
24,2015-02-05,90.667,85.667,40.0,7.346,88.167,1.584
25,2015-02-06,89.0,84.0,40.0,7.209,86.5,1.6045
26,2015-02-09,94.667,89.667,40.0,7.651,92.167,1.681
27,2015-02-10,92.0,87.0,40.0,7.434,89.5,1.69
28,2015-02-11,95.0,90.0,40.0,7.669,92.5,1.678
29,2015-02-12,93.0,88.0,40.0,7.506,90.5,1.671
30,2015-02-13,89.0,84.0,40.0,7.183,86.5,1.639
31,2015-02-16,93.667,88.667,40.0,7.544,91.167,1.656
32,2015-02-17,92.5,87.5,40.0,7.447,90.0,1.6695
33,2015-02-18,88.5,84.5,40.0,7.164,86.5,1.668
34,2015-02-19,87.333,82.667,40.0,7.041,85.0,1.6295
