,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,113.451,103.451,40.0,9.113,108.451,1.756
2,2015-01-05,115.0,105.0,40.0,9.223,110.0,1.8035
3,2015-01-06,120.0,110.0,40.0,9.617,115.0,1.825
4,2015-01-07,118.333,108.333,40.0,9.48,113.333,1.927
5,2015-01-08,117.5,107.5,40.0,9.409,112.5,1.8485
6,2015-01-09,120.0,110.0,40.0,9.603,115.0,1.8815
7,2015-01-12,118.0,108.0,40.0,9.43,113.0,1.7975
8,2015-01-13,117.5,107.5,40.0,9.385,112.5,1.7865
9,2015-01-14,112.0,102.0,40.0,8.943,107.0,1.7375
10,2015-01-15,115.0,105.0,40.0,9.178,110.0,1.7375
11,2015-01-16,115.0,105.0,40.0,9.173,110.0,1.7335
12,2015-01-19,114.0,104.0,40.0,9.08,109.0,1.7385
13,2015-01-20,112.667,102.667,40.0,8.969,107.667,1.743
14,2015-01-21,109.333,99.333,40.0,8.699,104.333,1.753
15,2015-01-22,110.0,100.0,40.0,8.65,105.0,1.6265
16,2015-01-26,101.0,91.0,40.0,8.013,96.0,1.5185
17,2015-01-27,102.5,92.5,40.0,8.249,97.5,1.578
18,2015-01-28,107.0,97.0,40.0,8.484,102.0,1.6465
19,2015-01-29,110.0,100.0,40.0,8.717,105.0,1.6415
20,2015-01-30,109.0,99.0,40.0,8.634,104.0,1.667
21,2015-02-02,117.5,107.5,40.0,9.291,112.5,1.662
22,2015-02-03,116.5,106.5,40.0,9.208,111.5,1.633
23,2015-02-04,115.0,105.0,40.0,9.085,110.0,1.572
24,2015-02-05,112.0,102.0,40.0,8.844,107.0,1.584
25,2015-02-06,106.5,96.5,40.0,8.405,101.5,1.6045
26,2015-02-09,114.667,104.667,40.0,9.036,109.667,1.681
27,2015-02-10,117.0,107.0,40.0,9.214,112.0,1.69
28,2015-02-11,119.0,109.0,40.0,9.366,114.0,1.678
29,2015-02-12,116.5,106.5,40.0,9.166,111.5,1.671
30,2015-02-13,115.333,103.667,40.0,9.004,109.5,1.639
31,2015-02-16,118.667,107.0,40.0,9.251,112.8335,1.656
32,2015-02-17,115.0,105.0,40.0,9.025,110.0,1.6695
33,2015-02-18,122.333,109.0,40.0,9.462,115.6665,1.668
34,2015-02-19,122.5,105.0,40.0,9.308,113.75,1.6295
35,2015-02-20,123.5,111.0,40.0,9.576,117.25,1.5925
36,2015-02-23,117.667,104.333,40.0,9.075,111.0,1.517
37,2015-02-24,118.5,101.0,40.0,8.973,109.75,1.491
38,2015-02-25,118.5,103.5,40.0,9.066,111.0,1.471
39,2015-02-26,112.333,97.333,40.0,8.581,104.833,1.3615
40,2015-02-27,105.5,97.0,40.0,8.295,101.25,1.3375
41,2015-03-02,103.5,95.0,40.0,8.126,99.25,1.351
42,2015-03-03,105.0,92.5,40.0,8.082,98.75,1.3955
43,2015-03-04,105.0,92.5,40.0,8.078,98.75,1.418
44,2015-03-05,106.667,96.0,40.0,8.276,101.3335,1.348
45,2015-03-06,103.5,95.0,40.0,8.108,99.25,1.3165
46,2015-03-09,104.5,96.0,40.0,8.174,100.25,1.3045
47,2015-03-10,105.971,95.971,40.0,8.226,100.971,1.234
48,2015-03-11,108.33,98.33,40.0,8.406,103.33,1.1215
49,2015-03-12,104.5,96.0,40.0,8.162,100.25,1.132
50,2015-03-13,104.246,94.246,40.0,8.079,99.246,1.157
51,2015-03-17,107.5,97.5,40.0,8.315,102.5,1.242
52,2015-03-18,111.0,102.0,40.0,8.621,106.5,1.358
53,2015-03-19,108.333,99.333,40.0,8.41,103.833,1.2585
54,2015-03-20,114.333,103.667,40.0,9.227,109.0,1.201
55,2015-03-23,125.0,112.5,40.0,9.994,118.75,1.299
56,2015-03-24,125.667,114.0,40.0,10.076,119.8335,1.3275
57,2015-03-25,125.667,114.0,40.0,10.071,119.8335,1.3265
58,2015-03-26,122.5,112.5,40.0,9.88,117.5,1.332
59,2015-03-27,125.0,113.333,40.0,10.008,119.1665,1.339
60,2015-03-30,124.0,111.5,40.0,9.88,117.75,1.31
61,2015-03-31,124.0,114.0,40.0,9.975,119.0,1.248
62,2015-04-01,123.333,111.667,40.0,9.851,117.5,1.231
63,2015-04-02,125.667,114.0,40.0,10.031,119.8335,1.261
64,2015-04-07,123.0,113.667,40.0,9.888,118.3335,1.2
65,2015-04-08,122.5,112.5,40.0,9.817,117.5,1.2095
66,2015-04-09,122.667,112.667,40.0,9.825,117.667,1.247
