,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,66.65,66.1,40,5.413,66.375,2.16945
1,2015-01-02,67.238,66.738,40,5.456,66.988,2.11315
2,2015-01-05,69.688,69.188,40,5.641,69.438,2.03285
3,2015-01-06,71.817,71.317,40,5.806,71.567,1.93755
4,2015-01-07,70.308,69.842,40,5.686,70.075,1.96855
5,2015-01-08,68.55,68.15,40,5.547,68.35,2.017
6,2015-01-09,69.627,69.127,40,5.625,69.377,1.9484
7,2015-01-12,70.966,70.486,40,5.722,70.726,1.90785
8,2015-01-13,71.724,71.224,40,5.778,71.474,1.90425
9,2015-01-14,71.738,71.238,40,5.776,71.488,1.85445
10,2015-01-15,73.197,72.697,40,5.779,72.947,1.72665
11,2015-01-16,72.218,71.718,40,5.779,71.968,1.82995
13,2015-01-20,72.406,71.919,40,5.779,72.1625,1.7897
14,2015-01-21,70.2,69.733,40,5.779,69.9665,1.87435
15,2015-01-22,68.233,67.767,40,5.478,68.0,1.8708
16,2015-01-23,68.115,67.632,40,5.466,67.8735,1.78825
17,2015-01-26,65.873,65.407,40,5.294,65.64,1.8275
18,2015-01-27,68.08,66.792,40,5.419,67.436,1.8265
19,2015-01-28,69.126,68.651,40,5.53,68.8885,1.71815
20,2015-01-29,68.163,67.837,40,5.458,68.0,1.75545
21,2015-01-30,70.805,70.305,40,5.655,70.555,1.63735
22,2015-02-02,68.953,68.47,40,5.502,68.7115,1.6726
23,2015-02-03,65.45,64.975,40,5.226,65.2125,1.79745
24,2015-02-04,67.98,67.41,40,5.416,67.695,1.74615
25,2015-02-05,66.083,65.595,40,5.269,65.839,1.81615
26,2015-02-06,66.283,65.783,40,5.28,66.033,1.95755
27,2015-02-09,66.668,66.178,40,5.301,66.423,1.97665
28,2015-02-10,66.345,65.878,40,5.274,66.1115,2.00195
29,2015-02-11,67.287,66.83,40,5.345,67.05850000000001,2.02025
30,2015-02-12,65.667,65.2,40,5.216,65.43350000000001,1.987
31,2015-02-13,64.958,64.458,40,5.157,64.708,2.046
32,2015-02-17,65.433,65.033,40,5.185,65.233,2.144
33,2015-02-18,64.275,63.825,40,5.091,64.05000000000001,2.0844
34,2015-02-19,64.525,64.059,40,5.107,64.292,2.1212
35,2015-02-20,63.715,63.215,40,5.04,63.465,2.1143
36,2015-02-23,63.797,63.351,40,5.041,63.574,2.06005
37,2015-02-24,62.113,61.625,40,4.907,61.869,1.97135
38,2015-02-25,61.977,61.5,40,4.894,61.7385,1.97135
39,2015-02-26,61.679,61.254,40,4.87,61.466499999999996,2.0304
40,2015-02-27,61.438,61.038,40,4.85,61.238,1.99475
41,2015-03-02,60.859,60.43,40,4.795,60.6445,2.08815
42,2015-03-03,61.895,61.512,40,4.874,61.703500000000005,2.12155
43,2015-03-04,61.913,61.473,40,4.871,61.693,2.11805
44,2015-03-05,60.293,59.857,40,4.743,60.075,2.1163
45,2015-03-06,62.291,61.831,40,4.893,62.061,2.24585
46,2015-03-09,63.767,63.3,40,4.998,63.533500000000004,2.1907
47,2015-03-10,65.25,64.8,40,5.11,65.025,2.12
48,2015-03-11,65.343,64.877,40,5.113,65.11,2.1077
49,2015-03-12,64.2,63.7,40,5.022,63.95,2.10945
50,2015-03-13,66.025,65.55,40,5.159,65.7875,2.1166
51,2015-03-16,65.508,65.042,40,5.112,65.275,2.0726
52,2015-03-17,65.3,64.817,40,5.093,65.0585,2.05155
53,2015-03-18,62.392,61.958,40,4.871,62.175,1.91735
54,2015-03-19,63.817,63.357,40,4.975,63.587,1.9694
55,2015-03-20,63.2,62.7,40,5.428,62.95,1.93115
56,2015-03-23,63.438,62.438,40,5.419,62.938,1.90855
