,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,60.942,60.025,40,4.948,60.4835,0.4955
2,2015-01-05,64.479,63.771,40,5.229,64.125,0.511
3,2015-01-06,67.108,66.408,40,5.435,66.75800000000001,0.45
4,2015-01-07,65.656,63.719,40,5.269,64.6875,0.4685
5,2015-01-08,62.271,61.129,40,5.029,61.7,0.5095
6,2015-01-09,63.771,62.221,40,5.129,62.995999999999995,0.4785
7,2015-01-12,62.75,61.583,40,5.055,62.1665,0.4785
8,2015-01-13,61.563,60.938,40,4.98,61.2505,0.4755
9,2015-01-14,62.688,61.438,40,5.041,62.063,0.429
10,2015-01-15,60.375,59.875,40,5.0,60.125,0.4125
11,2015-01-16,60.333,59.25,40,5.0,59.7915,0.4555
12,2015-01-19,58.813,58.188,40,5.0,58.5005,0.4385
13,2015-01-20,58.583,57.867,40,5.0,58.224999999999994,0.4485
14,2015-01-21,56.8,56.3,40,5.0,56.55,0.5165
15,2015-01-22,55.813,54.479,40,4.473,55.146,0.4475
16,2015-01-23,54.229,53.563,40,4.372,53.896,0.361
17,2015-01-26,53.417,51.65,40,4.256,52.533500000000004,0.3915
18,2015-01-27,54.333,53.667,40,4.37,54.0,0.3835
19,2015-01-28,56.188,54.375,40,4.469,55.2815,0.3555
20,2015-01-29,57.7,57.125,40,4.635,57.4125,0.3555
21,2015-01-30,60.275,59.608,40,4.831,59.9415,0.311
22,2015-02-02,59.208,58.083,40,4.721,58.6455,0.312
23,2015-02-03,56.863,55.325,40,4.518,56.094,0.3465
24,2015-02-04,56.667,55.667,40,4.521,56.167,0.3645
25,2015-02-05,57.188,55.0,40,4.513,56.094,0.37
26,2015-02-06,56.167,55.333,40,4.484,55.75,0.3725
27,2015-02-09,59.25,58.3,40,4.713,58.775,0.353
28,2015-02-10,59.0,57.625,40,4.675,58.3125,0.368
29,2015-02-11,59.663,58.688,40,4.74,59.1755,0.3575
30,2015-02-12,58.317,57.733,40,4.647,58.025,0.3225
31,2015-02-13,56.688,56.104,40,4.517,56.396,0.3415
32,2015-02-16,58.688,57.125,40,4.628,57.9065,0.345
33,2015-02-17,58.083,57.5,40,4.616,57.7915,0.368
34,2015-02-18,55.013,54.396,40,4.373,54.704499999999996,0.3835
35,2015-02-19,55.1,53.25,40,4.329,54.175,0.3795
36,2015-02-20,54.792,53.542,40,4.326,54.167,0.3705
37,2015-02-23,52.429,51.912,40,4.163,52.170500000000004,0.365
38,2015-02-24,51.275,50.517,40,4.061,50.896,0.373
39,2015-02-25,51.117,50.367,40,4.047,50.742,0.3305
40,2015-02-26,49.333,48.833,40,3.915,49.083,0.2995
41,2015-02-27,50.0,49.042,40,3.947,49.521,0.3225
42,2015-03-02,50.708,49.852,40,3.999,50.28,0.3525
43,2015-03-03,51.317,50.85,40,4.06,51.0835,0.3635
44,2015-03-04,50.371,49.691,40,3.975,50.031000000000006,0.378
45,2015-03-05,48.008,47.542,40,3.798,47.775000000000006,0.356
46,2015-03-06,49.213,48.663,40,3.886,48.938,0.398
47,2015-03-09,49.813,49.188,40,3.923,49.5005,0.3065
48,2015-03-10,50.604,50.088,40,3.987,50.346000000000004,0.2365
49,2015-03-11,49.647,49.103,40,3.909,49.375,0.202
50,2015-03-12,49.792,49.25,40,3.918,49.521,0.2465
51,2015-03-13,49.825,49.425,40,3.924,49.625,0.257
52,2015-03-16,50.209,49.792,40,3.947,50.0005,0.276
53,2015-03-17,50.671,50.171,40,3.977,50.421,0.279
54,2015-03-18,51.363,50.637,40,4.019,51.0,0.193
55,2015-03-19,52.521,52.146,40,4.12,52.3335,0.1855
56,2015-03-20,56.463,54.438,40,4.805,55.450500000000005,0.1835
