,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,63.904,55.154,40,,59.529,1.754
1,2015-01-02,63.986,55.236,40,,59.611,1.717
2,2015-01-05,65.5,55.5,40,,60.5,1.662
3,2015-01-06,67.5,57.5,40,,62.5,1.58
4,2015-01-07,67.5,57.5,40,,62.5,1.6025
5,2015-01-08,66.5,56.5,40,,61.5,1.642
6,2015-01-09,67.0,57.0,40,,62.0,1.586
7,2015-01-12,67.0,57.0,40,,62.0,1.575
8,2015-01-13,67.0,57.0,40,,62.0,1.591
9,2015-01-14,67.5,57.5,40,,62.5,1.5165
10,2015-01-15,67.0,57.0,40,,62.0,1.5175
11,2015-01-16,67.0,57.0,40,,62.0,1.537
12,2015-01-19,67.0,57.0,40,,62.0,1.5285
13,2015-01-20,66.0,56.0,40,,61.0,1.535
14,2015-01-21,66.0,56.0,40,,61.0,1.4835
15,2015-01-22,66.0,56.0,40,,61.0,1.522
16,2015-01-26,64.5,54.5,40,,59.5,1.504
17,2015-01-27,64.5,54.5,40,,59.5,1.4785
18,2015-01-28,66.0,56.0,40,,61.0,1.458
19,2015-01-29,66.0,56.0,40,,61.0,1.421
20,2015-01-30,68.0,58.0,40,,63.0,1.339
21,2015-02-02,69.5,59.5,40,,64.5,1.383
22,2015-02-03,69.0,59.0,40,,64.0,1.469
23,2015-02-04,68.0,58.0,40,,63.0,1.534
24,2015-02-05,68.0,58.0,40,,63.0,1.55
25,2015-02-06,68.0,58.0,40,,63.0,1.645
26,2015-02-10,69.0,59.0,40,,64.0,1.655
27,2015-02-11,69.0,59.0,40,,64.0,1.671
28,2015-02-12,67.0,57.0,40,,62.0,1.669
29,2015-02-13,67.0,57.0,40,,62.0,1.6755
30,2015-02-16,67.0,57.0,40,,62.0,1.6945
31,2015-02-17,67.0,57.0,40,,62.0,1.7565
32,2015-02-18,67.0,57.0,40,,62.0,1.849
33,2015-02-19,67.0,57.0,40,,62.0,1.8235
34,2015-02-20,67.0,57.0,40,,62.0,1.7755
35,2015-02-23,66.0,56.0,40,,61.0,1.806
36,2015-02-24,66.0,56.0,40,,61.0,1.761
37,2015-02-25,65.5,55.5,40,,60.5,1.7235
38,2015-02-26,65.0,55.0,40,,60.0,1.729
39,2015-02-27,65.0,55.0,40,,60.0,1.7875
40,2015-03-02,65.0,55.0,40,,60.0,1.786
41,2015-03-03,65.5,55.5,40,,60.5,1.8405
42,2015-03-04,64.0,54.0,40,,59.0,1.873
43,2015-03-05,64.5,54.5,40,,59.5,1.863
44,2015-03-06,64.0,54.0,40,,59.0,1.946
45,2015-03-09,64.5,54.5,40,,59.5,1.932
46,2015-03-10,65.0,55.0,40,,60.0,1.801
47,2015-03-11,66.0,56.0,40,,61.0,1.808
48,2015-03-12,65.758,55.758,40,,60.757999999999996,1.7385
49,2015-03-13,65.0,55.0,40,,60.0,1.703
50,2015-03-17,65.5,55.5,40,,60.5,1.677
51,2015-03-18,66.0,56.0,40,,61.0,1.5935
52,2015-03-19,66.0,56.0,40,,61.0,1.5305
53,2015-03-20,67.5,57.5,40,,62.5,1.5185
54,2015-03-23,67.5,57.5,40,,62.5,1.512
55,2015-03-24,68.5,58.5,40,,63.5,1.5085
56,2015-03-25,70.265,60.265,40,,65.265,1.4785
57,2015-03-26,68.0,58.0,40,,63.0,1.587
58,2015-03-27,67.5,57.5,40,,62.5,1.5395
59,2015-03-31,68.634,59.884,40,,64.259,1.577
60,2015-04-01,69.472,60.306,40,,64.889,1.5455
61,2015-04-02,70.497,60.497,40,,65.497,1.585
62,2015-04-07,67.5,57.5,40,,62.5,1.589
63,2015-04-08,67.0,57.0,40,,62.0,1.5795
64,2015-04-09,66.5,56.5,40,,61.5,1.572
65,2015-04-10,66.0,56.0,40,,61.0,1.5835
66,2015-04-13,66.0,56.0,40,,61.0,1.5965
67,2015-04-14,67.0,57.0,40,,62.0,1.513
68,2015-04-15,67.5,57.5,40,,62.5,1.557
69,2015-04-16,69.0,59.0,40,,64.0,1.603
70,2015-04-17,71.5,61.5,40,,66.5,1.586
71,2015-04-20,72.0,62.0,40,,67.0,1.5705
72,2015-04-21,72.0,62.0,40,,67.0,1.567
73,2015-04-22,71.0,61.0,40,,66.0,1.7085
74,2015-04-23,72.432,62.432,40,,67.432,1.688
75,2015-04-24,71.0,61.0,40,,66.0,1.6495
76,2015-04-28,71.0,56.0,40,,63.5,1.696
77,2015-04-29,72.943,62.943,40,,67.943,1.83
78,2015-04-30,72.59,63.424,40,,68.007,1.8335
79,2015-05-01,72.893,63.726,40,,68.3095,1.848
80,2015-05-05,73.868,65.118,40,,69.493,1.9735
81,2015-05-06,75.526,66.359,40,,70.9425,1.9805
82,2015-05-07,76.468,66.468,40,,71.468,1.929
83,2015-05-08,75.865,65.865,40,,70.865,1.875
84,2015-05-12,76.156,66.99,40,,71.57300000000001,1.995
85,2015-05-13,76.546,67.379,40,,71.9625,2.01
86,2015-05-14,76.565,67.398,40,,71.9815,1.988
87,2015-05-15,76.07,66.903,40,,71.4865,1.898
88,2015-05-19,75.962,66.795,40,,71.3785,1.962
89,2015-05-20,76.315,66.315,40,,71.315,1.972
90,2015-05-21,75.881,66.715,40,,71.298,1.968
91,2015-05-22,76.377,67.21,40,,71.7935,1.917
92,2015-05-26,77.956,68.789,40,,73.3725,1.876
93,2015-05-27,76.685,67.519,40,,72.102,1.877
94,2015-05-28,77.561,68.394,40,,72.9775,1.833
95,2015-05-29,78.144,68.977,40,,73.5605,1.802
96,2015-06-02,78.381,69.631,40,,74.006,1.962
97,2015-06-03,78.241,68.741,40,,73.491,2.071
98,2015-06-04,77.789,69.039,40,,73.414,2.018
99,2015-06-05,78.272,69.522,40,,73.897,2.075
100,2015-06-09,80.717,71.217,40,,75.967,2.104
101,2015-06-10,78.732,69.232,40,,73.982,2.131
102,2015-06-11,78.285,68.785,40,,73.535,2.06
103,2015-06-12,81.286,70.786,40,,76.036,1.993
104,2015-06-16,85.605,76.855,40,,81.23,1.995
105,2015-06-17,87.281,78.531,40,,82.906,2.061
106,2015-06-18,89.426,80.676,40,,85.051,2.041
107,2015-06-19,89.735,80.985,40,,85.36,2.01
108,2015-06-23,85.542,75.042,40,,80.292,2.107
109,2015-06-24,85.922,76.422,40,,81.172,2.128
110,2015-06-25,86.743,77.243,40,,81.993,2.146
111,2015-06-26,84.0,76.5,40,,80.25,2.187
112,2015-06-29,93.5,83.5,40,,88.5,2.077
113,2015-06-30,95.0,85.0,40,,90.0,2.028
114,2015-07-01,92.5,82.5,40,,87.5,2.105
115,2015-07-02,92.0,82.0,40,,87.0,2.078
116,2015-07-03,94.5,84.5,40,,89.5,1.997
117,2015-07-06,101.0,91.0,40,,96.0,2.01
118,2015-07-07,103.5,93.5,40,,98.5,1.816
119,2015-07-08,102.0,92.0,40,,97.0,1.898
120,2015-07-09,98.5,88.5,40,,93.5,1.958
121,2015-07-10,92.0,82.0,40,,87.0,2.072
122,2015-07-13,88.0,78.0,40,,83.0,2.116
123,2015-07-14,88.5,78.5,40,,83.5,2.126
124,2015-07-15,88.0,78.0,40,,83.0,2.128
125,2015-07-16,85.5,75.5,40,,80.5,2.087
126,2015-07-17,82.5,72.5,40,,77.5,2.077
127,2015-07-20,80.0,70.0,40,,75.0,2.0675
128,2015-07-21,85.5,70.5,40,,78.0,2.083
129,2015-07-22,82.5,72.5,40,,77.5,2.024
130,2015-07-23,82.5,72.5,40,,77.5,2.014
131,2015-07-24,83.0,73.0,40,,78.0,1.945
132,2015-07-27,84.5,74.5,40,,79.5,1.932
133,2015-07-28,83.5,73.5,40,,78.5,1.941
134,2015-07-29,80.0,70.0,40,,75.0,1.9745
135,2015-07-30,81.5,66.5,40,,74.0,1.968
136,2015-07-31,81.77,69.27,40,,75.52,1.88
137,2015-08-03,80.5,70.5,40,,75.5,1.873
138,2015-08-04,82.0,72.0,40,,77.0,1.868
139,2015-08-05,81.5,71.5,40,,76.5,1.98
140,2015-08-06,83.0,73.0,40,,78.0,1.918
141,2015-08-07,83.5,73.5,40,,78.5,1.846
142,2015-08-10,83.0,73.0,40,,78.0,1.92
143,2015-08-11,85.0,75.0,40,,80.0,1.822
144,2015-08-12,88.0,78.0,40,,83.0,1.793
145,2015-08-13,87.5,77.5,40,,82.5,1.833
146,2015-08-14,87.0,77.0,40,,82.0,1.877
147,2015-08-17,86.0,76.0,40,,81.0,1.819
148,2015-08-18,87.0,77.0,40,,82.0,1.871
149,2015-08-19,82.821,73.654,40,,78.2375,1.842
150,2015-08-20,89.5,79.5,40,,84.5,1.765
151,2015-08-21,92.0,82.0,40,,87.0,1.696
152,2015-08-24,97.5,87.5,40,,92.5,1.7925
153,2015-08-25,92.5,82.5,40,,87.5,1.905
154,2015-08-26,92.0,82.0,40,,87.0,1.9555
155,2015-08-27,87.0,77.0,40,,82.0,1.976
156,2015-08-28,84.898,74.898,40,,79.898,1.9425
157,2015-09-01,85.677,76.927,40,,81.302,1.935
158,2015-09-02,90.0,80.0,40,,85.0,1.94
159,2015-09-03,84.913,74.913,40,,79.913,1.908
160,2015-09-04,90.5,80.5,40,,85.5,1.826
161,2015-09-07,90.5,80.5,40,,85.5,1.8055
162,2015-09-08,89.0,79.0,40,,84.0,1.8345
163,2015-09-09,84.825,74.825,40,,79.825,1.8665
164,2015-09-10,89.5,79.5,40,,84.5,1.86
165,2015-09-11,86.368,76.368,40,,81.368,1.8245
166,2015-09-15,87.635,77.635,40,,82.635,1.907
167,2015-09-16,86.712,76.712,40,,81.712,1.945
168,2015-09-17,89.0,79.0,40,,84.0,1.956
169,2015-09-18,85.621,75.621,40,,80.621,1.836
170,2015-09-21,92.5,82.5,40,,87.5,1.879
171,2015-09-22,96.0,86.0,40,,91.0,1.7885
172,2015-09-23,95.0,85.0,40,,90.0,1.795
173,2015-09-24,100.5,90.5,40,,95.5,1.74
174,2015-09-25,98.5,88.5,40,,93.5,1.843
175,2015-09-29,102.5,92.5,40,,97.5,1.755
176,2015-09-30,93.021,83.021,40,,88.021,1.763
177,2015-10-01,101.5,91.5,40,,96.5,1.746
178,2015-10-02,100.5,90.5,40,,95.5,1.7005
179,2015-10-05,96.5,86.5,40,,91.5,1.781
180,2015-10-06,93.5,83.5,40,,88.5,1.807
181,2015-10-07,91.0,81.0,40,,86.0,1.819
182,2015-10-08,86.557,81.557,40,,84.057,1.824
183,2015-10-09,87.296,77.296,40,,82.296,1.859
184,2015-10-13,87.374,77.374,40,,82.374,1.8285
185,2015-10-14,89.5,79.5,40,,84.5,1.7595
186,2015-10-15,87.211,77.211,40,,82.211,1.772
187,2015-10-16,87.0,77.0,40,,82.0,1.7985
188,2015-10-19,86.0,76.0,40,,81.0,1.825
189,2015-10-20,86.0,76.0,40,,81.0,1.864
190,2015-10-21,86.0,76.0,40,,81.0,1.801
191,2015-10-22,84.5,74.5,40,,79.5,1.798
192,2015-10-23,80.0,70.0,40,,75.0,1.8595
193,2015-10-26,80.5,70.5,40,,75.5,1.828
194,2015-10-27,82.5,72.5,40,,77.5,1.761
195,2015-10-28,82.5,72.5,40,,77.5,1.7995
196,2015-10-29,84.387,74.387,40,,79.387,1.925
197,2015-10-30,83.5,73.5,40,,78.5,1.9235
198,2015-11-03,85.5,75.5,40,,80.5,1.9685
199,2015-11-04,85.5,75.5,40,,80.5,1.9965
200,2015-11-05,85.5,75.5,40,,80.5,1.9695
201,2015-11-06,86.611,76.611,40,,81.611,2.037
202,2015-11-09,86.5,76.5,40,,81.5,2.045
203,2015-11-10,87.0,77.0,40,,82.0,2.025
204,2015-11-11,87.253,76.92,40,,82.0865,2.047
205,2015-11-12,87.5,77.5,40,,82.5,2.008
206,2015-11-13,88.0,78.0,40,,83.0,1.975
207,2015-11-16,88.0,78.0,40,,83.0,1.9415
208,2015-11-17,86.5,76.5,40,,81.5,1.9785
209,2015-11-18,85.5,75.5,40,,80.5,1.9285
210,2015-11-19,86.5,76.5,40,,81.5,1.8865
211,2015-11-20,86.5,76.5,40,,81.5,1.8685
212,2015-11-23,86.0,76.0,40,,81.0,1.8765
213,2015-11-24,86.0,76.0,40,,81.0,1.863
214,2015-11-25,85.667,75.667,40,,80.667,1.892
215,2015-11-26,84.667,74.667,40,,79.667,1.833
216,2015-11-27,84.875,74.875,40,,79.875,1.8125
217,2015-11-30,85.833,75.833,40,,80.833,1.827
218,2015-12-01,84.75,74.75,40,,79.75,1.764
219,2015-12-02,82.667,72.667,40,,77.667,1.7465
220,2015-12-03,82.0,72.0,40,,77.0,1.8825
221,2015-12-04,83.333,73.333,40,,78.333,1.926
222,2015-12-07,84.5,74.5,40,,79.5,1.82
223,2015-12-08,81.667,71.667,40,,76.667,1.8155
224,2015-12-09,84.5,74.5,40,,79.5,1.886
225,2015-12-10,80.0,70.0,40,,75.0,1.867
226,2015-12-11,81.303,71.303,40,,76.303,1.812
227,2015-12-14,87.667,76.667,40,,82.167,1.8185
228,2015-12-15,85.0,75.0,40,,80.0,1.945
229,2015-12-16,85.0,75.0,40,,80.0,1.944
230,2015-12-17,82.75,72.75,40,,77.75,1.8495
231,2015-12-18,88.833,78.833,40,,83.833,1.8305
232,2015-12-21,90.5,83.0,40,,86.75,1.8145
233,2015-12-22,85.733,78.233,40,,81.983,1.875
234,2015-12-23,84.251,76.751,40,,80.501,1.941
235,2015-12-24,84.236,76.736,40,,80.486,1.9195
236,2015-12-30,85.946,78.446,40,,82.196,1.9865
237,2015-12-31,88.154,78.154,40,,83.154,1.958
238,2016-01-04,91.5,81.5,40,,86.5,1.875
239,2016-01-05,91.0,81.0,40,,86.0,1.8725
240,2016-01-06,91.0,81.0,40,,86.0,1.797
241,2016-01-07,92.0,82.0,40,,87.0,1.8015
242,2016-01-08,92.0,82.0,40,,87.0,1.77
243,2016-01-11,92.0,82.0,40,,87.0,1.7775
244,2016-01-12,92.0,82.0,40,,87.0,1.747
245,2016-01-13,92.0,82.0,40,,87.0,1.743
246,2016-01-14,93.0,83.0,40,,88.0,1.7335
247,2016-01-15,88.773,78.773,40,,83.773,1.6625
248,2016-01-18,98.667,88.667,40,,93.667,1.6935
249,2016-01-19,96.667,86.667,40,,91.667,1.6975
250,2016-01-20,99.5,89.5,40,,94.5,1.6205
251,2016-01-21,96.25,86.25,40,,91.25,1.6725
252,2016-01-25,96.167,85.167,40,,90.667,1.689
253,2016-01-26,96.667,86.667,40,,91.667,1.6925
254,2016-01-27,97.5,87.5,40,,92.5,1.712
255,2016-01-28,97.072,87.072,40,,92.072,1.6715
256,2016-01-29,98.0,87.0,40,,92.5,1.5595
257,2016-02-01,98.355,88.355,40,,93.355,1.6245
258,2016-02-02,101.833,90.833,40,,96.333,1.541
259,2016-02-03,103.667,93.667,40,,98.667,1.532
260,2016-02-04,102.75,92.75,40,,97.75,1.5645
261,2016-02-05,106.0,96.0,40,,101.0,1.5625
262,2016-02-08,118.0,107.0,40,,112.5,1.413
263,2016-02-09,144.0,134.0,40,,139.0,1.4165
264,2016-02-10,139.5,129.5,40,,134.5,1.4085
265,2016-02-11,137.624,127.624,40,,132.624,1.302
266,2016-02-12,119.0,109.0,40,,114.0,1.419
267,2016-02-15,144.0,134.0,40,,139.0,1.4285
268,2016-02-16,139.5,129.5,40,,134.5,1.438
269,2016-02-17,121.099,111.099,40,,116.099,1.477
270,2016-02-18,120.129,110.129,40,,115.129,1.445
271,2016-02-19,133.351,123.351,40,,128.351,1.416
272,2016-02-22,131.0,119.0,40,,125.0,1.3925
273,2016-02-23,124.083,116.583,40,,120.333,1.429
274,2016-02-24,128.0,118.0,40,,123.0,1.3635
275,2016-02-25,123.792,113.792,40,,118.792,1.3665
276,2016-02-26,125.0,114.0,40,,119.5,1.3965
277,2016-02-29,125.282,115.282,40,,120.282,1.3345
278,2016-03-01,121.5,110.5,40,,116.0,1.3955
279,2016-03-02,119.0,109.0,40,,114.0,1.462
280,2016-03-03,119.0,109.0,40,,114.0,1.4285
281,2016-03-04,117.5,107.5,40,,112.5,1.4855
282,2016-03-07,119.0,109.0,40,,114.0,1.4795
283,2016-03-08,119.0,109.0,40,,114.0,1.3835
284,2016-03-09,121.941,111.941,40,,116.941,1.4675
285,2016-03-10,115.5,104.5,40,,110.0,1.537
286,2016-03-11,117.435,107.435,40,,112.435,1.5765
287,2016-03-14,115.01,104.01,40,,109.51,1.5505
288,2016-03-15,108.5,97.5,40,,103.0,1.535
289,2016-03-16,108.5,98.5,40,,103.5,1.523
290,2016-03-17,107.0,97.0,40,,102.0,1.4535
291,2016-03-18,112.078,102.078,40,,107.078,1.449
292,2016-03-21,112.333,101.333,40,,106.833,1.4775
293,2016-03-22,113.505,103.505,40,,108.505,1.456
294,2016-03-23,112.667,101.667,40,,107.167,1.448
295,2016-03-24,113.621,103.621,40,,108.621,1.4545
296,2016-03-29,113.333,102.333,40,,107.833,1.409
297,2016-03-30,111.833,101.833,40,,106.833,1.4285
298,2016-03-31,111.833,101.833,40,,106.833,1.415
299,2016-04-01,109.645,99.645,40,,104.645,1.408
300,2016-04-04,110.742,99.742,40,,105.242,1.427
301,2016-04-05,109.636,98.636,40,,104.136,1.3775
302,2016-04-06,110.805,100.805,40,,105.805,1.381
303,2016-04-07,111.947,100.947,40,,106.447,1.3275
304,2016-04-08,114.875,103.875,40,,109.375,1.3635
305,2016-04-11,112.088,102.088,40,,107.088,1.3905
306,2016-04-12,114.167,104.167,40,,109.167,1.4415
307,2016-04-13,114.167,104.167,40,,109.167,1.4215
308,2016-04-14,113.5,103.5,40,,108.5,1.45
309,2016-04-15,113.833,103.833,40,,108.833,1.413
310,2016-04-18,115.662,105.662,40,,110.662,1.476
311,2016-04-19,115.858,104.858,40,,110.358,1.504
312,2016-04-20,115.91,104.91,40,,110.41,1.48
313,2016-04-21,106.5,95.5,40,,101.0,1.589
314,2016-04-22,110.159,100.159,40,,105.159,1.597
315,2016-04-25,109.725,97.725,40,,103.725,1.607
316,2016-04-26,107.383,98.882,40,,103.1325,1.6605
317,2016-04-27,107.882,95.882,40,,101.882,1.623
318,2016-04-28,109.119,98.119,40,,103.619,1.607
319,2016-04-29,110.294,98.294,40,,104.294,1.595
320,2016-05-03,110.167,100.167,40,,105.167,1.529
321,2016-05-04,112.833,102.833,40,,107.833,1.526
322,2016-05-05,112.5,102.5,40,,107.5,1.462
323,2016-05-06,110.796,100.796,40,,105.796,1.4185
324,2016-05-09,113.0,102.0,40,,107.5,1.413
325,2016-05-10,110.866,100.866,40,,105.866,1.408
326,2016-05-11,111.625,100.625,40,,106.125,1.39
327,2016-05-12,110.306,100.306,40,,105.306,1.401
328,2016-05-13,112.667,101.667,40,,107.167,1.375
329,2016-05-16,109.5,99.5,40,,104.5,1.3905
330,2016-05-17,112.176,102.176,40,,107.176,1.368
331,2016-05-18,106.262,98.762,40,,102.512,1.436
332,2016-05-19,110.5,99.5,40,,105.0,1.439
333,2016-05-20,111.167,99.167,40,,105.167,1.449
334,2016-05-23,109.833,99.833,40,,104.833,1.451
335,2016-05-24,109.5,99.5,40,,104.5,1.471
336,2016-05-25,105.167,95.167,40,,100.167,1.454
337,2016-05-26,105.19,95.19,40,,100.19,1.4135
338,2016-05-27,101.297,96.297,40,,98.797,1.4345
339,2016-05-31,101.5,96.5,40,,99.0,1.429
340,2016-06-01,106.167,94.167,40,,100.167,1.372
341,2016-06-02,107.049,97.049,40,,102.049,1.343
342,2016-06-03,107.447,96.448,40,,101.94749999999999,1.276
343,2016-06-06,106.436,98.936,40,,102.686,1.2785
344,2016-06-07,107.849,97.849,40,,102.849,1.266
345,2016-06-08,106.333,95.333,40,,100.833,1.2525
346,2016-06-09,106.0,96.0,40,,101.0,1.242
347,2016-06-10,106.0,96.0,40,,101.0,1.232
348,2016-06-13,108.031,97.031,40,,102.531,1.208
349,2016-06-14,111.583,104.083,40,,107.833,1.144
350,2016-06-15,112.833,102.833,40,,107.833,1.1195
351,2016-06-16,114.4,104.4,40,,109.4,1.1085
352,2016-06-17,113.255,103.255,40,,108.255,1.142
353,2016-06-20,112.136,102.136,40,,107.136,1.237
354,2016-06-21,112.627,101.627,40,,107.127,1.2865
355,2016-06-22,113.672,100.172,40,,106.922,1.311
356,2016-06-23,113.599,100.099,40,,106.849,1.373
357,2016-06-24,117.982,102.982,40,,110.482,1.085
358,2016-06-27,136.769,106.769,40,,121.769,0.933
359,2016-06-28,144.589,122.089,40,,133.339,0.9585
360,2016-06-29,135.517,120.517,40,,128.017,0.947
361,2016-06-30,139.638,117.138,40,,128.388,0.868
362,2016-07-01,137.838,115.338,40,,126.588,0.8615
363,2016-07-04,133.5,111.0,40,,122.25,0.8365
364,2016-07-05,135.829,120.829,40,,128.329,0.769
365,2016-07-06,135.852,120.852,40,,128.352,0.7645
366,2016-07-07,140.837,118.337,40,,129.587,0.7775
367,2016-07-08,142.583,120.083,40,,131.333,0.733
368,2016-07-11,138.833,123.833,40,,131.333,0.757
369,2016-07-12,135.833,120.833,40,,128.333,0.8255
370,2016-07-13,140.632,118.132,40,,129.382,0.7455
371,2016-07-14,136.583,114.083,40,,125.333,0.793
372,2016-07-15,130.263,115.263,40,,122.763,0.8315
373,2016-07-18,126.875,106.875,40,,116.875,0.824
374,2016-07-19,133.196,110.696,40,,121.946,0.7975
375,2016-07-20,131.917,109.417,40,,120.667,0.8335
376,2016-07-21,111.5,96.5,40,,104.0,0.833
377,2016-07-22,109.0,94.0,40,,101.5,0.797
