,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,73.592,68.592,40,6.078,71.092,0.677
1,2015-01-02,73.5,68.5,40,6.064,71.0,0.6235
2,2015-01-05,79.0,74.5,40,6.529,76.75,0.6295
3,2015-01-06,83.333,78.333,40,6.861,80.833,0.5705
4,2015-01-07,82.0,77.0,40,6.748,79.5,0.5885
5,2015-01-08,79.667,74.667,40,6.553,77.167,0.622
6,2015-01-09,78.667,73.667,40,6.468,76.167,0.6015
7,2015-01-12,79.333,74.667,40,6.526,77.0,0.5765
8,2015-01-13,80.0,75.333,40,6.577,77.6665,0.5615
9,2015-01-14,79.333,74.667,40,6.52,77.0,0.491
10,2015-01-15,78.0,73.5,40,6.414,75.75,0.4925
11,2015-01-16,78.0,73.5,40,6.411,75.75,0.472
12,2015-01-19,77.5,73.0,40,6.36,75.25,0.47
13,2015-01-20,73.0,68.0,40,5.968,70.5,0.4865
14,2015-01-21,71.333,66.667,40,5.924,69.0,0.548
15,2015-01-22,70.667,66.0,40,5.818,68.3335,0.474
16,2015-01-26,66.667,62.0,40,5.443,64.3335,0.427
17,2015-01-27,68.5,64.0,40,5.701,66.25,0.4315
18,2015-01-28,72.0,67.0,40,5.862,69.5,0.421
19,2015-01-29,75.0,70.333,40,6.117,72.6665,0.4235
20,2015-01-30,77.0,72.0,40,6.263,74.5,0.389
21,2015-02-02,78.0,73.0,40,6.335,75.5,0.373
22,2015-02-03,74.0,69.0,40,6.006,71.5,0.3855
23,2015-02-04,72.0,67.5,40,5.861,69.75,0.411
24,2015-02-05,73.0,68.0,40,5.919,70.5,0.411
25,2015-02-06,73.0,68.5,40,5.936,70.75,0.4355
26,2015-02-09,76.0,71.0,40,6.15,73.5,0.4165
27,2015-02-10,74.5,69.5,40,6.025,72.0,0.458
28,2015-02-11,75.333,70.333,40,6.09,72.833,0.4365
29,2015-02-12,75.667,70.667,40,6.114,73.167,0.398
30,2015-02-13,74.5,69.5,40,6.016,72.0,0.408
31,2015-02-16,77.0,72.0,40,6.208,74.5,0.416
32,2015-02-17,75.5,71.5,40,6.124,73.5,0.441
33,2015-02-18,74.0,70.333,40,6.014,72.1665,0.4555
34,2015-02-19,75.0,71.333,40,6.091,73.1665,0.4505
35,2015-02-20,74.0,69.5,40,5.974,71.75,0.4395
36,2015-02-23,72.0,68.333,40,5.837,70.1665,0.421
37,2015-02-24,70.0,66.0,40,5.659,68.0,0.4215
38,2015-02-25,68.0,64.5,40,5.514,66.25,0.374
39,2015-02-26,66.667,61.0,40,5.316,63.8335,0.35
40,2015-02-27,65.5,61.5,40,5.286,63.5,0.3635
41,2015-03-02,65.5,62.0,40,5.298,63.75,0.404
42,2015-03-03,66.667,63.0,40,5.383,64.8335,0.4235
43,2015-03-04,67.0,63.0,40,5.393,65.0,0.4335
44,2015-03-05,64.0,59.5,40,5.128,61.75,0.405
45,2015-03-06,62.5,59.0,40,5.044,60.75,0.436
46,2015-03-09,64.667,61.0,40,5.204,62.8335,0.3575
47,2015-03-10,67.5,63.5,40,5.417,65.5,0.2795
48,2015-03-11,66.333,62.333,40,5.32,64.333,0.2435
49,2015-03-12,65.5,60.5,40,5.21,63.0,0.2785
50,2015-03-13,65.0,61.0,40,5.207,63.0,0.297
51,2015-03-16,65.0,61.0,40,5.199,63.0,0.3085
52,2015-03-17,67.333,63.333,40,5.383,65.333,0.3265
53,2015-03-18,69.5,65.0,40,5.534,67.25,0.2735
54,2015-03-19,69.667,65.333,40,5.551,67.5,0.274
55,2015-03-20,69.333,65.0,40,5.791,67.1665,0.2625
56,2015-03-23,71.5,67.5,40,5.977,69.5,0.3185
57,2015-03-24,71.0,67.0,40,5.932,69.0,0.3205
58,2015-03-25,72.0,67.5,40,5.992,69.75,0.306
59,2015-03-26,71.5,67.0,40,5.947,69.25,0.3005
60,2015-03-27,70.0,65.5,40,5.819,67.75,0.299
61,2015-03-30,68.5,64.5,40,5.706,66.5,0.2905
62,2015-03-31,69.0,65.0,40,5.745,67.0,0.259
63,2015-04-01,70.0,66.0,40,5.825,68.0,0.2465
64,2015-04-02,70.5,67.0,40,5.884,68.75,0.2725
65,2015-04-07,69.5,65.0,40,5.745,67.25,0.272
66,2015-04-08,68.667,64.333,40,5.68,66.5,0.242
67,2015-04-09,68.0,64.0,40,5.636,66.0,0.237
68,2015-04-10,67.0,62.5,40,5.529,64.75,0.2275
69,2015-04-13,65.0,60.5,40,5.355,62.75,0.227
70,2015-04-14,67.0,62.667,40,5.525,64.8335,0.2735
71,2015-04-15,67.667,63.333,40,5.577,65.5,0.2355
72,2015-04-16,73.5,68.5,40,6.028,71.0,0.228
73,2015-04-17,75.0,70.0,40,6.148,72.5,0.222
74,2015-04-20,77.333,72.333,40,6.33,74.833,0.226
75,2015-04-21,78.0,73.0,40,6.381,75.5,0.2425
76,2015-04-22,76.0,71.0,40,6.214,73.5,0.296
77,2015-04-23,74.5,69.5,40,6.088,72.0,0.303
78,2015-04-24,75.5,70.5,40,6.167,73.0,0.2985
79,2015-04-27,73.0,69.0,40,5.994,71.0,0.3005
80,2015-04-28,73.0,69.333,40,6.005,71.1665,0.296
81,2015-04-29,74.0,70.0,40,6.069,72.0,0.4215
82,2015-04-30,74.5,71.0,40,6.127,72.75,0.508
84,2015-05-05,78.0,74.0,40,6.375,76.0,0.6085
85,2015-05-06,81.0,76.5,40,6.594,78.75,0.76
86,2015-05-07,83.0,77.5,40,6.712,80.25,0.764
87,2015-05-08,78.667,73.667,40,6.379,76.167,0.721
88,2015-05-11,79.0,74.0,40,6.395,76.5,0.774
89,2015-05-12,80.667,76.0,40,6.54,78.3335,0.8505
90,2015-05-13,80.0,75.0,40,6.469,77.5,0.8115
91,2015-05-14,79.5,75.0,40,6.446,77.25,0.8665
92,2015-05-15,78.667,74.333,40,6.382,76.5,0.8085
93,2015-05-18,80.333,76.0,40,6.506,78.1665,0.8305
94,2015-05-19,79.0,75.0,40,6.409,77.0,0.7775
95,2015-05-20,78.333,74.333,40,6.352,76.333,0.7915
96,2015-05-21,78.5,74.5,40,6.362,76.5,0.822
97,2015-05-22,78.667,74.333,40,6.359,76.5,0.79
98,2015-05-26,81.0,77.0,40,6.546,79.0,0.746
99,2015-05-27,79.0,75.0,40,6.383,77.0,0.7455
100,2015-05-28,79.5,75.5,40,6.419,77.5,0.729
101,2015-05-29,81.0,77.333,40,6.55,79.1665,0.683
102,2015-06-01,83.0,78.667,40,6.672,80.8335,0.692
103,2015-06-02,81.333,77.0,40,6.535,79.1665,0.851
104,2015-06-03,80.333,76.0,40,6.451,78.1665,0.918
105,2015-06-04,80.333,76.667,40,6.475,78.5,1.02
106,2015-06-05,81.5,77.5,40,6.551,79.5,1.0245
107,2015-06-08,82.667,78.333,40,6.62,80.5,1.0825
108,2015-06-09,83.0,79.5,40,6.676,81.25,1.155
109,2015-06-10,80.0,76.0,40,6.414,78.0,1.186
110,2015-06-11,79.5,75.0,40,6.351,77.25,1.083
111,2015-06-12,81.333,77.333,40,6.513,79.333,1.081
112,2015-06-15,87.333,81.667,40,6.912,84.5,1.0975
113,2015-06-16,91.0,84.667,40,7.171,87.8335,1.103
114,2015-06-17,92.0,86.5,40,7.278,89.25,1.0725
115,2015-06-18,95.0,90.333,40,7.542,92.6665,1.0395
116,2015-06-19,93.333,88.667,40,7.408,91.0,1.008
117,2015-06-22,86.0,81.0,40,7.138,83.5,1.1115
118,2015-06-23,82.5,78.0,40,6.866,80.25,1.0965
119,2015-06-24,84.667,80.333,40,7.048,82.5,1.0805
120,2015-06-25,85.0,80.0,40,7.045,82.5,1.111
121,2015-06-26,83.0,78.0,40,6.876,80.5,1.1475
122,2015-06-29,95.667,89.333,40,7.849,92.5,1.0675
123,2015-06-30,95.0,90.0,40,7.845,92.5,1.0465
124,2015-07-01,93.0,88.0,40,7.678,90.5,1.0855
125,2015-07-02,94.333,89.333,40,7.783,91.833,1.163
126,2015-07-03,97.0,92.0,40,7.996,94.5,1.096
127,2015-07-06,103.333,98.0,40,8.482,100.6665,1.0875
128,2015-07-07,106.5,100.5,40,8.706,103.5,0.961
129,2015-07-08,105.0,99.667,40,8.608,102.3335,0.991
130,2015-07-09,97.5,92.5,40,8.012,95.0,1.009
131,2015-07-10,89.0,84.5,40,7.338,86.75,1.1375
132,2015-07-13,84.5,79.5,40,6.94,82.0,1.1185
133,2015-07-14,85.333,80.333,40,7.005,82.833,1.0975
134,2015-07-15,83.667,79.0,40,6.879,81.3335,1.0245
135,2015-07-16,79.667,75.0,40,6.549,77.3335,1.0195
136,2015-07-17,76.0,71.333,40,6.245,73.6665,0.9625
137,2015-07-20,74.0,69.0,40,6.058,71.5,0.9185
138,2015-07-21,77.0,72.667,40,6.328,74.8335,0.961
139,2015-07-22,77.667,73.333,40,6.38,75.5,0.9245
140,2015-07-23,76.0,72.0,40,6.254,74.0,0.919
141,2015-07-24,77.5,73.0,40,6.353,75.25,0.857
142,2015-07-27,78.5,74.0,40,6.424,76.25,0.847
143,2015-07-28,77.333,72.667,40,6.319,75.0,0.8635
144,2015-07-29,76.0,72.667,40,6.262,74.3335,0.8895
145,2015-07-30,77.333,73.0,40,6.326,75.1665,0.833
146,2015-07-31,76.5,72.0,40,6.249,74.25,0.8215
147,2015-08-03,76.5,72.5,40,6.259,74.5,0.816
148,2015-08-04,77.0,73.5,40,6.317,75.25,0.8195
149,2015-08-05,77.0,73.0,40,6.293,75.0,0.924
150,2015-08-06,77.0,73.0,40,6.29,75.0,0.889
151,2015-08-07,78.5,74.5,40,6.409,76.5,0.832
152,2015-08-10,77.333,73.0,40,6.291,75.1665,0.8685
153,2015-08-11,83.333,78.667,40,6.759,81.0,0.793
154,2015-08-12,89.0,84.5,40,7.217,86.75,0.775
155,2015-08-13,88.5,84.5,40,7.193,86.5,0.809
156,2015-08-14,88.333,84.333,40,7.176,86.333,0.8295
157,2015-08-17,89.333,84.333,40,7.205,86.833,0.806
158,2015-08-18,89.0,84.5,40,7.195,86.75,0.833
159,2015-08-19,91.0,86.333,40,7.344,88.6665,0.826
160,2015-08-20,91.5,87.0,40,7.387,89.25,0.778
161,2015-08-21,95.0,90.333,40,7.654,92.6665,0.799
162,2015-08-24,99.0,94.0,40,7.946,96.5,0.795
163,2015-08-25,93.0,88.667,40,7.492,90.8335,0.945
164,2015-08-26,92.5,88.0,40,7.443,90.25,0.8995
165,2015-08-27,87.333,82.667,40,7.022,85.0,0.933
166,2015-08-28,89.5,85.0,40,7.197,87.25,0.9055
167,2015-09-01,92.667,88.667,40,7.452,90.667,0.997
168,2015-09-02,92.5,88.5,40,7.435,90.5,0.991
169,2015-09-03,90.0,86.0,40,7.234,88.0,0.931
170,2015-09-04,92.667,88.667,40,7.441,90.667,0.857
171,2015-09-07,93.5,89.0,40,7.475,91.25,0.864
172,2015-09-08,90.0,86.5,40,7.235,88.25,0.868
173,2015-09-09,88.0,84.0,40,7.053,86.0,0.884
174,2015-09-10,90.5,86.0,40,7.227,88.25,0.8715
175,2015-09-11,90.333,86.0,40,7.217,88.1665,0.836
176,2015-09-14,91.667,88.333,40,7.35,90.0,0.8305
177,2015-09-15,93.0,89.0,40,7.424,91.0,0.916
178,2015-09-16,89.5,86.0,40,7.165,87.75,0.9355
179,2015-09-17,88.0,85.5,40,7.082,86.75,0.944
180,2015-09-18,90.333,86.333,40,7.204,88.333,0.84
181,2015-09-21,93.0,89.0,40,7.755,91.0,0.86
182,2015-09-22,97.0,93.0,40,8.078,95.0,0.77
183,2015-09-23,95.5,92.0,40,7.972,93.75,0.786
