,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,88.0,84.333,40.0,,86.1665,2.16945
1,2015-01-02,88.0,84.5,40.0,,86.25,2.11315
2,2015-01-05,91.5,87.5,40.0,,89.5,2.03285
3,2015-01-06,92.0,88.5,40.0,,90.25,1.93755
4,2015-01-07,89.333,86.0,40.0,,87.6665,1.96855
5,2015-01-08,88.333,85.0,40.0,,86.6665,2.017
6,2015-01-09,90.0,86.5,40.0,,88.25,1.9484
7,2015-01-12,90.0,86.5,40.0,,88.25,1.90785
8,2015-01-13,91.0,87.5,40.0,,89.25,1.90425
9,2015-01-14,95.0,90.5,40.0,,92.75,1.85445
10,2015-01-15,97.5,94.0,40.0,,95.75,1.72665
11,2015-01-16,101.667,96.667,40.0,,99.167,1.82995
12,2015-01-20,99.0,95.5,40.0,,97.25,1.7897
13,2015-01-21,98.333,94.333,40.0,,96.333,1.87435
14,2015-01-22,96.5,93.0,40.0,,94.75,1.8708
15,2015-01-26,92.0,88.0,40.0,,90.0,1.8275
16,2015-01-27,96.0,91.5,40.0,,93.75,1.8265
17,2015-01-28,98.667,94.333,40.0,,96.5,1.71815
18,2015-01-29,95.75,92.25,40.0,,94.0,1.75545
19,2015-01-30,96.333,92.667,40.0,,94.5,1.63735
20,2015-02-02,95.0,91.667,40.0,,93.3335,1.6726
21,2015-02-03,91.0,87.333,40.0,,89.1665,1.79745
22,2015-02-04,91.667,88.333,40.0,,90.0,1.74615
23,2015-02-05,90.0,87.333,40.0,,88.6665,1.81615
24,2015-02-06,89.333,85.667,40.0,,87.5,1.95755
25,2015-02-09,89.667,86.0,40.0,,87.8335,1.97665
26,2015-02-10,86.667,83.0,40.0,,84.8335,2.00195
27,2015-02-11,89.0,86.0,40.0,,87.5,2.02025
28,2015-02-12,86.667,83.667,40.0,,85.167,1.987
29,2015-02-13,85.5,82.5,40.0,,84.0,2.046
