,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,84.333,80.667,40,,82.5,2.16945
1,2015-01-02,84.5,81.0,40,,82.75,2.11315
2,2015-01-05,87.5,83.5,40,,85.5,2.03285
3,2015-01-06,88.5,85.0,40,,86.75,1.93755
4,2015-01-07,86.667,83.333,40,,85.0,1.96855
5,2015-01-08,85.333,82.0,40,,83.6665,2.017
6,2015-01-09,88.0,84.5,40,,86.25,1.9484
7,2015-01-12,88.5,85.0,40,,86.75,1.90785
8,2015-01-13,87.0,83.5,40,,85.25,1.90425
9,2015-01-14,90.0,85.5,40,,87.75,1.85445
10,2015-01-15,91.0,87.5,40,,89.25,1.72665
11,2015-01-16,95.333,90.333,40,,92.833,1.82995
12,2015-01-20,93.5,90.0,40,,91.75,1.7897
13,2015-01-21,90.667,86.667,40,,88.667,1.87435
14,2015-01-22,90.5,87.0,40,,88.75,1.8708
15,2015-01-26,82.667,78.667,40,,80.667,1.8275
16,2015-01-27,86.0,81.5,40,,83.75,1.8265
17,2015-01-28,87.667,83.333,40,,85.5,1.71815
18,2015-01-29,84.5,81.0,40,,82.75,1.75545
19,2015-01-30,85.333,81.667,40,,83.5,1.63735
20,2015-02-02,84.333,81.0,40,,82.6665,1.6726
21,2015-02-03,80.667,77.0,40,,78.8335,1.79745
22,2015-02-04,81.667,78.333,40,,80.0,1.74615
23,2015-02-05,81.0,77.667,40,,79.3335,1.81615
24,2015-02-06,82.333,79.0,40,,80.6665,1.95755
25,2015-02-09,80.0,76.667,40,,78.3335,1.97665
26,2015-02-10,77.667,74.0,40,,75.8335,2.00195
27,2015-02-11,80.5,77.5,40,,79.0,2.02025
28,2015-02-12,78.667,75.333,40,,77.0,1.987
29,2015-02-13,76.5,73.5,40,,75.0,2.046
30,2015-02-17,76.667,73.0,40,,74.8335,2.144
31,2015-02-18,76.5,73.5,40,,75.0,2.0844
32,2015-02-19,77.333,74.0,40,,75.6665,2.1212
33,2015-02-20,76.5,73.5,40,,75.0,2.1143
34,2015-02-23,77.0,73.0,40,,75.0,2.06005
35,2015-02-24,75.0,72.0,40,,73.5,1.97135
36,2015-02-25,75.0,71.5,40,,73.25,1.97135
37,2015-02-26,75.5,71.5,40,,73.5,2.0304
38,2015-02-27,76.5,73.0,40,,74.75,1.99475
39,2015-03-02,76.0,73.0,40,,74.5,2.08815
40,2015-03-03,76.0,72.5,40,,74.25,2.12155
41,2015-03-04,75.5,71.5,40,,73.5,2.11805
42,2015-03-05,75.333,72.0,40,,73.6665,2.1163
43,2015-03-06,75.333,72.0,40,,73.6665,2.24585
44,2015-03-09,75.667,72.333,40,,74.0,2.1907
45,2015-03-10,79.667,76.333,40,,78.0,2.12
46,2015-03-11,78.5,75.0,40,,76.75,2.1077
47,2015-03-12,76.667,73.667,40,,75.167,2.10945
48,2015-03-13,77.5,74.0,40,,75.75,2.1166
49,2015-03-16,77.0,73.667,40,,75.3335,2.0726
50,2015-03-17,77.0,73.5,40,,75.25,2.05155
51,2015-03-18,76.0,72.5,40,,74.25,1.91735
52,2015-03-19,76.0,72.667,40,,74.3335,1.9694
53,2015-03-20,77.333,74.0,40,,75.6665,1.93115
54,2015-03-23,76.0,73.0,40,,74.5,1.90855
55,2015-03-24,78.0,73.5,40,,75.75,1.87225
56,2015-03-25,77.0,73.5,40,,75.25,1.92585
57,2015-03-26,77.5,73.0,40,,75.25,1.99555
58,2015-03-27,78.0,75.0,40,,76.5,1.95885
59,2015-03-30,76.0,72.333,40,,74.1665,1.95185
60,2015-03-31,76.0,72.5,40,,74.25,1.92575
61,2015-04-01,76.5,73.0,40,,74.75,1.85815
62,2015-04-02,76.5,73.0,40,,74.75,1.91175
63,2015-04-03,78.667,75.0,40,,76.8335,1.8407
64,2015-04-06,77.0,73.5,40,,75.25,1.8978
65,2015-04-07,77.0,73.5,40,,75.25,1.8856
66,2015-04-08,76.333,73.0,40,,74.6665,1.9047
67,2015-04-09,76.5,73.0,40,,74.75,1.9622
68,2015-04-10,75.0,71.667,40,,73.3335,1.9482
69,2015-04-13,75.5,71.5,40,,73.5,1.92895
70,2015-04-14,74.333,71.0,40,,72.6665,1.8993
71,2015-04-15,74.333,70.333,40,,72.333,1.88885
72,2015-04-16,73.0,70.0,40,,71.5,1.89405
73,2015-04-17,76.5,72.5,40,,74.5,1.8644
74,2015-04-20,75.0,71.667,40,,73.3335,1.88525
75,2015-04-21,75.667,72.333,40,,74.0,1.9096
76,2015-04-22,75.333,71.333,40,,73.333,1.9814
77,2015-04-23,75.5,72.0,40,,73.75,1.95245
78,2015-04-24,76.0,73.0,40,,74.5,1.913
79,2015-04-27,76.5,73.0,40,,74.75,1.9252
80,2015-04-28,76.333,72.667,40,,74.5,2.0025
81,2015-04-29,78.5,74.0,40,,76.25,2.04495
82,2015-04-30,79.0,75.0,40,,77.0,2.03435
83,2015-05-01,78.0,74.5,40,,76.25,2.1108
84,2015-05-04,78.667,75.333,40,,77.0,2.1449
85,2015-05-05,83.667,80.0,40,,81.8335,2.1808
86,2015-05-06,85.667,81.667,40,,83.667,2.2513
87,2015-05-07,88.0,83.667,40,,85.8335,2.1773
88,2015-05-08,84.5,81.0,40,,82.75,2.1415
89,2015-05-11,85.0,81.0,40,,83.0,2.2861
90,2015-05-12,83.333,79.667,40,,81.5,2.2462
91,2015-05-13,83.0,79.333,40,,81.1665,2.29355
92,2015-05-14,82.0,78.5,40,,80.25,2.2345
93,2015-05-15,82.0,78.0,40,,80.0,2.1468
94,2015-05-18,81.667,78.0,40,,79.8335,2.23285
95,2015-05-19,81.5,78.0,40,,79.75,2.28855
96,2015-05-20,82.0,78.0,40,,80.0,2.25585
97,2015-05-21,80.667,77.0,40,,78.8335,2.19415
98,2015-05-22,81.0,77.0,40,,79.0,2.2127
99,2015-05-26,83.5,79.5,40,,81.5,2.14155
100,2015-05-27,79.667,76.333,40,,78.0,2.12935
101,2015-05-28,80.0,76.333,40,,78.1665,2.13455
102,2015-05-29,79.0,76.0,40,,77.5,2.1223
103,2015-06-01,79.333,76.0,40,,77.6665,2.182
104,2015-06-02,79.333,75.667,40,,77.5,2.2651
105,2015-06-03,77.667,74.333,40,,76.0,2.3597
106,2015-06-04,78.333,74.667,40,,76.5,2.3079
107,2015-06-05,78.0,74.5,40,,76.25,2.4085
108,2015-06-08,79.0,75.0,40,,77.0,2.3815
109,2015-06-09,79.5,75.5,40,,77.5,2.4411
110,2015-06-10,78.0,74.5,40,,76.25,2.48475
111,2015-06-11,77.667,74.0,40,,75.8335,2.3799
112,2015-06-12,79.333,75.667,40,,77.5,2.3891
113,2015-06-15,80.5,76.5,40,,78.5,2.3586
114,2015-06-16,83.333,79.333,40,,81.333,2.3084
115,2015-06-17,84.667,80.667,40,,82.667,2.3192
116,2015-06-18,81.0,77.0,40,,79.0,2.3336
117,2015-06-19,81.333,77.667,40,,79.5,2.26035
118,2015-06-22,82.0,78.0,40,,80.0,2.3734
119,2015-06-23,80.5,77.0,40,,78.75,2.4132
120,2015-06-24,82.0,78.0,40,,80.0,2.3717
121,2015-06-25,83.0,79.333,40,,81.1665,2.4115
122,2015-06-26,83.0,79.333,40,,81.1665,2.4735
123,2015-06-29,87.0,82.667,40,,84.8335,2.3269
124,2015-06-30,86.667,82.333,40,,84.5,2.3486
125,2015-07-01,85.0,80.0,40,,82.5,2.4264
126,2015-07-02,84.333,80.0,40,,82.1665,2.385
128,2015-07-06,87.5,83.0,40,,85.25,2.2895
129,2015-07-07,86.5,83.0,40,,84.75,2.2537
130,2015-07-08,87.0,82.0,40,,84.5,2.19665
131,2015-07-09,86.333,81.667,40,,84.0,2.3166
132,2015-07-10,84.5,80.0,40,,82.25,2.39995
133,2015-07-13,84.0,79.5,40,,81.75,2.44555
134,2015-07-14,83.5,79.5,40,,81.5,2.3965
135,2015-07-15,84.5,80.25,40,,82.375,2.3548
136,2015-07-16,80.667,76.333,40,,78.5,2.3549
137,2015-07-17,81.0,77.333,40,,79.1665,2.346
138,2015-07-20,79.5,75.5,40,,77.5,2.3787
139,2015-07-21,79.333,75.333,40,,77.333,2.3298
140,2015-07-22,79.5,76.0,40,,77.75,2.3262
141,2015-07-23,80.667,76.333,40,,78.5,2.2686
142,2015-07-24,81.667,77.333,40,,79.5,2.2615
143,2015-07-27,83.0,79.0,40,,81.0,2.2149
144,2015-07-28,82.333,77.667,40,,80.0,2.249
145,2015-07-29,81.333,77.333,40,,79.333,2.2886
