,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,33.0,28.0,40,,30.5,1.717
2,2015-01-05,33.0,28.0,40,,30.5,1.662
3,2015-01-06,33.333,28.0,40,,30.6665,1.58
4,2015-01-07,33.333,28.0,40,,30.6665,1.6025
5,2015-01-08,33.333,28.0,40,,30.6665,1.642
6,2015-01-09,33.0,28.5,40,,30.75,1.586
7,2015-01-12,32.5,28.0,40,,30.25,1.575
8,2015-01-13,33.5,27.5,40,,30.5,1.591
9,2015-01-14,32.5,28.0,40,,30.25,1.5165
10,2015-01-15,33.5,27.5,40,,30.5,1.5175
11,2015-01-16,33.0,27.667,40,,30.3335,1.537
12,2015-01-19,33.0,27.333,40,,30.1665,1.5285
13,2015-01-20,32.333,27.0,40,,29.6665,1.535
14,2015-01-21,31.5,27.0,40,,29.25,1.4835
15,2015-01-22,30.0,26.5,40,,28.25,1.522
16,2015-01-26,29.5,25.5,40,,27.5,1.504
17,2015-01-27,29.5,25.5,40,,27.5,1.4785
18,2015-01-28,29.333,25.333,40,,27.333,1.458
19,2015-01-29,30.0,26.0,40,,28.0,1.421
20,2015-01-30,30.0,25.5,40,,27.75,1.339
21,2015-02-02,30.5,27.0,40,,28.75,1.383
22,2015-02-03,30.333,25.667,40,,28.0,1.469
23,2015-02-04,30.5,26.0,40,,28.25,1.534
24,2015-02-05,31.333,26.667,40,,29.0,1.55
25,2015-02-06,31.333,26.667,40,,29.0,1.645
26,2015-02-09,31.333,26.333,40,,28.833,1.611
27,2015-02-10,31.333,26.333,40,,28.833,1.655
28,2015-02-11,31.333,26.333,40,,28.833,1.671
29,2015-02-12,31.0,26.5,40,,28.75,1.669
30,2015-02-13,31.0,27.5,40,,29.25,1.6755
31,2015-02-16,30.667,26.333,40,,28.5,1.6945
32,2015-02-17,30.667,26.333,40,,28.5,1.7565
33,2015-02-18,30.5,26.0,40,,28.25,1.849
34,2015-02-19,30.5,26.0,40,,28.25,1.8235
35,2015-02-20,30.5,26.0,40,,28.25,1.7755
36,2015-02-23,29.0,24.333,40,,26.6665,1.806
