,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-30,34.047,28.047,40,2.703,31.046999999999997,0.5375
1,2015-01-02,33.0,27.5,40,2.63,30.25,0.4955
2,2015-01-05,32.0,27.0,40,2.562,29.5,0.5105
3,2015-01-06,34.0,29.0,40,2.71,31.5,0.45
4,2015-01-07,33.667,28.667,40,2.702,31.167,0.4685
5,2015-01-08,33.333,28.333,40,2.672,30.833,0.5105
6,2015-01-09,33.5,28.5,40,2.685,31.0,0.4785
7,2015-01-12,33.5,28.5,40,2.68,31.0,0.4775
8,2015-01-13,34.0,29.0,40,2.722,31.5,0.4745
9,2015-01-14,33.5,28.5,40,2.678,31.0,0.4295
10,2015-01-15,33.667,28.667,40,2.691,31.167,0.4125
11,2015-01-16,33.333,28.667,40,2.675,31.0,0.455
12,2015-01-19,32.667,27.667,40,2.6,30.167,0.4385
13,2015-01-20,32.333,27.333,40,2.57,29.833,0.4485
14,2015-01-21,31.667,27.0,40,2.526,29.3335,0.5165
15,2015-01-22,30.333,26.333,40,2.454,28.333,0.4475
16,2015-01-26,29.5,25.5,40,2.364,27.5,0.3915
17,2015-01-27,29.0,25.5,40,2.363,27.25,0.3825
18,2015-01-28,29.5,25.5,40,2.362,27.5,0.3535
19,2015-01-29,30.0,25.5,40,2.382,27.75,0.355
20,2015-01-30,29.5,25.5,40,2.359,27.5,0.3115
21,2015-02-02,29.5,25.5,40,2.356,27.5,0.3065
22,2015-02-03,30.0,25.0,40,2.354,27.5,0.3455
23,2015-02-04,30.0,25.0,40,2.353,27.5,0.3635
24,2015-02-05,29.667,25.333,40,2.352,27.5,0.37
25,2015-02-06,29.0,25.0,40,2.308,27.0,0.3725
26,2015-02-09,29.667,25.0,40,2.333,27.3335,0.353
27,2015-02-10,29.5,25.0,40,2.324,27.25,0.368
28,2015-02-11,29.5,25.5,40,2.344,27.5,0.3565
29,2015-02-12,30.0,25.667,40,2.371,27.8335,0.3235
30,2015-02-13,30.5,26.5,40,2.426,28.5,0.3415
31,2015-02-16,30.333,25.667,40,2.38,28.0,0.345
32,2015-02-17,30.0,25.5,40,2.358,27.75,0.368
33,2015-02-18,29.5,25.5,40,2.336,27.5,0.3815
34,2015-02-19,29.5,25.5,40,2.334,27.5,0.3795
35,2015-02-20,29.5,25.0,40,2.312,27.25,0.3705
36,2015-02-23,28.667,24.333,40,2.246,26.5,0.3645
37,2015-02-24,28.5,25.0,40,2.265,26.75,0.3725
38,2015-02-25,27.5,23.5,40,2.16,25.5,0.3305
39,2015-02-26,27.333,23.333,40,2.145,25.333,0.2995
40,2015-02-27,27.333,23.333,40,2.143,25.333,0.3215
41,2015-03-02,28.0,23.333,40,2.168,25.6665,0.3535
42,2015-03-03,27.0,23.0,40,2.111,25.0,0.3635
43,2015-03-04,28.0,23.5,40,2.172,25.75,0.379
44,2015-03-05,26.0,22.0,40,2.025,24.0,0.356
45,2015-03-06,26.0,22.0,40,2.024,24.0,0.398
46,2015-03-09,26.333,22.333,40,2.049,24.333,0.3065
47,2015-03-10,26.667,22.667,40,2.075,24.667,0.236
48,2015-03-11,26.333,22.333,40,2.046,24.333,0.202
49,2015-03-12,26.667,22.667,40,2.073,24.667,0.246
50,2015-03-13,29.0,24.0,40,2.224,26.5,0.257
51,2015-03-16,26.667,22.667,40,2.069,24.667,0.2765
52,2015-03-17,26.5,22.5,40,2.054,24.5,0.279
53,2015-03-18,27.0,23.5,40,2.115,25.25,0.193
54,2015-03-19,26.5,22.5,40,2.051,24.5,0.1865
55,2015-03-20,27.5,24.0,40,2.261,25.75,0.1835
56,2015-03-23,28.0,24.333,40,2.294,26.1665,0.2175
57,2015-03-24,27.5,24.0,40,2.256,25.75,0.2325
58,2015-03-25,28.0,24.0,40,2.277,26.0,0.218
59,2015-03-26,27.0,23.5,40,2.211,25.25,0.2165
60,2015-03-27,28.0,24.0,40,2.274,26.0,0.2075
61,2015-03-30,27.333,23.333,40,2.213,25.333,0.2125
62,2015-03-31,28.333,23.667,40,2.27,26.0,0.183
63,2015-04-01,27.0,23.0,40,2.182,25.0,0.17
64,2015-04-02,27.0,23.0,40,2.181,25.0,0.1815
65,2015-04-07,27.0,22.5,40,2.154,24.75,0.1855
66,2015-04-08,27.0,22.5,40,2.153,24.75,0.1655
67,2015-04-09,27.667,23.667,40,2.231,25.667,0.156
68,2015-04-10,28.5,24.0,40,2.28,26.25,0.1545
69,2015-04-13,28.5,24.0,40,2.276,26.25,0.1555
70,2015-04-14,29.0,25.0,40,2.339,27.0,0.138
71,2015-04-15,29.667,25.667,40,2.395,27.667,0.1075
72,2015-04-16,29.667,25.667,40,2.394,27.667,0.0835
73,2015-04-17,32.5,27.0,40,2.57,29.75,0.077
74,2015-04-20,32.5,28.0,40,2.609,30.25,0.075
75,2015-04-21,32.0,27.5,40,2.565,29.75,0.101
76,2015-04-22,32.0,27.5,40,2.563,29.75,0.1585
77,2015-04-23,32.0,27.5,40,2.562,29.75,0.16
78,2015-04-24,32.5,27.5,40,2.582,30.0,0.156
79,2015-04-27,30.0,25.5,40,2.387,27.75,0.162
80,2015-04-28,31.0,26.5,40,2.471,28.75,0.1615
81,2015-04-29,31.0,26.5,40,2.469,28.75,0.2825
82,2015-04-30,31.0,26.5,40,2.468,28.75,0.3615
84,2015-05-05,31.0,27.0,40,2.482,29.0,0.5165
85,2015-05-06,31.5,27.0,40,2.502,29.25,0.5845
86,2015-05-07,32.0,27.5,40,2.543,29.75,0.5935
87,2015-05-08,31.5,27.0,40,2.499,29.25,0.543
88,2015-05-11,31.5,27.0,40,2.495,29.25,0.597
89,2015-05-12,32.333,28.0,40,2.571,30.1665,0.679
90,2015-05-13,31.0,27.0,40,2.472,29.0,0.7185
91,2015-05-14,30.0,25.5,40,2.365,27.75,0.698
92,2015-05-15,29.0,25.0,40,2.301,27.0,0.6375
93,2015-05-18,30.0,26.0,40,2.381,28.0,0.6465
94,2015-05-19,30.667,26.667,40,2.436,28.667,0.6105
95,2015-05-20,31.333,27.0,40,2.476,29.1665,0.6245
96,2015-05-21,32.0,27.5,40,2.524,29.75,0.6325
97,2015-05-22,32.5,28.0,40,2.564,30.25,0.6015
98,2015-05-26,33.5,29.0,40,2.643,31.25,0.5505
99,2015-05-27,32.667,28.333,40,2.579,30.5,0.544
100,2015-05-28,33.333,28.667,40,2.619,31.0,0.533
101,2015-05-29,32.5,29.0,40,2.597,30.75,0.4835
102,2015-06-01,35.0,30.5,40,2.759,32.75,0.5295
103,2015-06-02,35.0,31.0,40,2.778,33.0,0.696
104,2015-06-03,35.5,32.0,40,2.838,33.75,0.8745
105,2015-06-04,35.0,30.5,40,2.754,32.75,0.83
106,2015-06-05,37.0,31.5,40,2.877,34.25,0.8455
107,2015-06-08,37.5,32.0,40,2.913,34.75,0.8865
108,2015-06-09,37.5,32.0,40,2.912,34.75,0.9505
109,2015-06-10,35.5,31.0,40,2.786,33.25,0.987
110,2015-06-11,37.0,29.5,40,2.785,33.25,0.8975
111,2015-06-12,36.5,32.5,40,2.886,34.5,0.849
112,2015-06-15,38.0,34.0,40,3.005,36.0,0.8235
113,2015-06-16,38.0,33.0,40,2.962,35.5,0.8025
114,2015-06-17,37.5,34.0,40,2.982,35.75,0.8105
115,2015-06-18,38.5,34.5,40,3.041,36.5,0.802
116,2015-06-19,38.0,34.5,40,3.019,36.25,0.759
117,2015-06-22,37.5,33.5,40,3.099,35.5,0.881
118,2015-06-23,38.0,32.5,40,3.076,35.25,0.8635
119,2015-06-24,37.5,34.0,40,3.118,35.75,0.841
120,2015-06-25,37.0,33.0,40,3.052,35.0,0.86
121,2015-06-26,37.5,34.0,40,3.114,35.75,0.919
122,2015-06-29,43.5,37.0,40,3.494,40.25,0.799
