,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,35.777,30.044,40,,32.9105,1.717
2,2015-01-05,36.0,31.0,40,,33.5,1.662
3,2015-01-06,35.667,29.333,40,,32.5,1.58
4,2015-01-07,35.667,29.667,40,,32.667,1.6025
5,2015-01-08,35.333,31.0,40,,33.1665,1.642
6,2015-01-09,35.5,31.0,40,,33.25,1.586
7,2015-01-12,35.0,30.5,40,,32.75,1.575
8,2015-01-13,35.0,30.0,40,,32.5,1.591
9,2015-01-14,35.0,30.5,40,,32.75,1.5165
10,2015-01-15,35.0,30.0,40,,32.5,1.5175
11,2015-01-16,35.0,30.667,40,,32.8335,1.537
12,2015-01-19,34.667,29.667,40,,32.167,1.5285
13,2015-01-20,34.333,29.333,40,,31.833,1.535
14,2015-01-21,34.0,29.5,40,,31.75,1.4835
15,2015-01-22,33.0,29.0,40,,31.0,1.522
16,2015-01-26,31.0,27.0,40,,29.0,1.504
17,2015-01-27,31.0,27.0,40,,29.0,1.4785
18,2015-01-28,31.333,27.333,40,,29.333,1.458
19,2015-01-29,32.5,28.5,40,,30.5,1.421
20,2015-01-30,32.0,27.5,40,,29.75,1.339
21,2015-02-02,31.0,27.0,40,,29.0,1.383
22,2015-02-03,32.667,28.0,40,,30.3335,1.469
23,2015-02-04,31.5,27.0,40,,29.25,1.534
24,2015-02-05,31.0,26.667,40,,28.8335,1.55
25,2015-02-06,30.667,26.667,40,,28.667,1.645
26,2015-02-09,31.333,27.0,40,,29.1665,1.611
27,2015-02-10,31.333,27.0,40,,29.1665,1.655
28,2015-02-11,31.0,27.0,40,,29.0,1.671
29,2015-02-12,31.0,26.5,40,,28.75,1.669
30,2015-02-13,30.5,26.5,40,,28.5,1.6755
31,2015-02-16,30.667,26.333,40,,28.5,1.6945
32,2015-02-17,30.0,26.0,40,,28.0,1.7565
33,2015-02-18,29.5,25.0,40,,27.25,1.849
34,2015-02-19,29.5,25.0,40,,27.25,1.8235
35,2015-02-20,30.0,25.5,40,,27.75,1.7755
36,2015-02-23,28.667,24.333,40,,26.5,1.806
37,2015-02-24,28.5,24.5,40,,26.5,1.761
38,2015-02-25,28.0,24.0,40,,26.0,1.7235
39,2015-02-26,27.5,23.5,40,,25.5,1.729
40,2015-02-27,27.5,23.5,40,,25.5,1.7875
41,2015-03-02,27.333,23.0,40,,25.1665,1.786
42,2015-03-03,26.5,22.5,40,,24.5,1.8405
43,2015-03-04,26.5,22.5,40,,24.5,1.873
44,2015-03-05,25.5,21.5,40,,23.5,1.863
45,2015-03-06,25.5,21.5,40,,23.5,1.946
46,2015-03-09,25.5,21.5,40,,23.5,1.932
47,2015-03-10,26.0,22.0,40,,24.0,1.801
48,2015-03-11,26.5,22.5,40,,24.5,1.808
49,2015-03-12,26.5,22.5,40,,24.5,1.7385
50,2015-03-13,26.0,23.5,40,,24.75,1.703
51,2015-03-16,26.5,22.5,40,,24.5,1.683
52,2015-03-17,27.0,23.0,40,,25.0,1.677
53,2015-03-18,27.0,23.0,40,,25.0,1.5935
54,2015-03-19,27.0,23.0,40,,25.0,1.5305
55,2015-03-20,26.0,23.5,40,,24.75,1.5185
56,2015-03-23,26.0,23.5,40,,24.75,1.512
57,2015-03-24,26.5,24.0,40,,25.25,1.5085
58,2015-03-25,26.5,24.0,40,,25.25,1.4785
59,2015-03-26,26.5,22.5,40,,24.5,1.587
60,2015-03-27,26.5,22.5,40,,24.5,1.5395
61,2015-03-30,26.5,22.5,40,,24.5,1.5795
62,2015-03-31,26.5,22.5,40,,24.5,1.577
63,2015-04-01,27.0,23.0,40,,25.0,1.5455
64,2015-04-02,27.0,23.0,40,,25.0,1.585
65,2015-04-07,27.0,22.5,40,,24.75,1.589
66,2015-04-08,27.0,22.5,40,,24.75,1.5795
67,2015-04-09,27.0,23.0,40,,25.0,1.572
68,2015-04-10,27.5,23.0,40,,25.25,1.5835
69,2015-04-13,27.5,23.0,40,,25.25,1.5965
70,2015-04-14,27.5,23.0,40,,25.25,1.513
71,2015-04-15,27.5,23.0,40,,25.25,1.557
72,2015-04-16,28.5,24.0,40,,26.25,1.603
73,2015-04-17,29.0,24.5,40,,26.75,1.586
74,2015-04-20,29.0,24.5,40,,26.75,1.5705
75,2015-04-21,29.0,24.5,40,,26.75,1.567
76,2015-04-22,29.0,24.5,40,,26.75,1.7085
77,2015-04-23,29.5,25.0,40,,27.25,1.688
78,2015-04-24,29.5,26.0,40,,27.75,1.6495
79,2015-04-27,28.0,23.5,40,,25.75,1.6955
80,2015-04-28,28.5,24.5,40,,26.5,1.696
81,2015-04-29,28.5,24.5,40,,26.5,1.83
82,2015-04-30,28.5,24.5,40,,26.5,1.8335
83,2015-05-01,28.5,24.5,40,,26.5,1.848
84,2015-05-05,28.5,26.0,40,,27.25,1.9735
85,2015-05-06,28.5,24.5,40,,26.5,1.9805
86,2015-05-07,29.5,25.0,40,,27.25,1.929
87,2015-05-08,29.0,24.5,40,,26.75,1.875
88,2015-05-11,29.0,24.5,40,,26.75,1.9395
89,2015-05-12,29.5,25.0,40,,27.25,1.995
90,2015-05-13,29.0,25.0,40,,27.0,2.01
91,2015-05-14,31.0,27.0,40,,29.0,1.988
92,2015-05-15,29.0,25.0,40,,27.0,1.898
93,2015-05-18,29.5,25.5,40,,27.5,1.956
94,2015-05-19,29.5,25.0,40,,27.25,1.962
95,2015-05-20,30.0,25.5,40,,27.75,1.972
96,2015-05-21,30.0,25.5,40,,27.75,1.968
97,2015-05-22,30.0,25.5,40,,27.75,1.917
98,2015-05-26,31.0,26.5,40,,28.75,1.876
99,2015-05-27,31.0,26.5,40,,28.75,1.877
100,2015-05-28,31.5,27.0,40,,29.25,1.833
101,2015-05-29,32.5,29.0,40,,30.75,1.802
102,2015-06-01,33.5,29.0,40,,31.25,1.843
103,2015-06-02,33.5,29.0,40,,31.25,1.962
104,2015-06-03,33.5,29.0,40,,31.25,2.071
105,2015-06-04,33.5,29.5,40,,31.5,2.018
106,2015-06-05,34.5,30.5,40,,32.5,2.075
107,2015-06-08,35.0,31.0,40,,33.0,2.0495
108,2015-06-09,35.5,31.5,40,,33.5,2.104
109,2015-06-10,34.5,30.0,40,,32.25,2.131
110,2015-06-11,34.5,30.0,40,,32.25,2.06
111,2015-06-12,34.5,30.5,40,,32.5,1.993
112,2015-06-15,35.5,31.5,40,,33.5,2.02
113,2015-06-16,35.5,31.5,40,,33.5,1.995
114,2015-06-17,35.5,31.5,40,,33.5,2.061
115,2015-06-18,35.5,31.5,40,,33.5,2.041
116,2015-06-19,35.0,31.0,40,,33.0,2.01
117,2015-06-22,34.0,29.5,40,,31.75,2.1
118,2015-06-23,35.5,31.0,40,,33.25,2.107
119,2015-06-24,34.5,30.5,40,,32.5,2.128
120,2015-06-25,36.0,31.5,40,,33.75,2.146
121,2015-06-26,35.0,31.0,40,,33.0,2.187
122,2015-06-29,39.5,33.0,40,,36.25,2.077
123,2015-06-30,37.5,33.0,40,,35.25,2.028
124,2015-07-01,37.0,32.5,40,,34.75,2.105
125,2015-07-02,37.0,32.5,40,,34.75,2.078
126,2015-07-03,37.5,32.5,40,,35.0,1.997
127,2015-07-06,38.5,34.0,40,,36.25,2.01
128,2015-07-07,39.5,35.0,40,,37.25,1.816
129,2015-07-08,39.5,35.0,40,,37.25,1.898
130,2015-07-09,38.0,33.5,40,,35.75,1.958
131,2015-07-10,37.0,32.667,40,,34.8335,2.072
132,2015-07-13,34.5,30.5,40,,32.5,2.116
133,2015-07-14,34.5,30.5,40,,32.5,2.126
134,2015-07-15,34.5,30.5,40,,32.5,2.128
135,2015-07-16,34.0,29.5,40,,31.75,2.087
136,2015-07-17,33.5,29.5,40,,31.5,2.077
137,2015-07-20,33.0,29.5,40,,31.25,2.0675
138,2015-07-21,33.0,29.5,40,,31.25,2.083
139,2015-07-22,33.5,29.5,40,,31.5,2.024
140,2015-07-23,33.5,29.5,40,,31.5,2.014
141,2015-07-24,34.333,30.333,40,,32.333,1.945
142,2015-07-27,36.0,31.5,40,,33.75,1.932
143,2015-07-28,34.0,30.0,40,,32.0,1.941
144,2015-07-29,34.0,30.0,40,,32.0,1.9745
145,2015-07-30,34.333,30.333,40,,32.333,1.968
146,2015-07-31,34.0,30.0,40,,32.0,1.88
147,2015-08-03,34.0,30.0,40,,32.0,1.873
148,2015-08-04,34.0,30.0,40,,32.0,1.868
149,2015-08-05,34.0,30.0,40,,32.0,1.98
150,2015-08-06,37.0,29.5,40,,33.25,1.918
151,2015-08-07,36.5,29.5,40,,33.0,1.846
152,2015-08-10,37.0,29.5,40,,33.25,1.92
153,2015-08-11,36.5,32.0,40,,34.25,1.822
154,2015-08-12,37.5,33.0,40,,35.25,1.793
155,2015-08-13,37.5,32.5,40,,35.0,1.833
156,2015-08-14,37.5,32.5,40,,35.0,1.877
157,2015-08-17,37.5,32.5,40,,35.0,1.819
158,2015-08-18,37.5,32.5,40,,35.0,1.871
159,2015-08-19,39.0,34.0,40,,36.5,1.842
160,2015-08-20,39.5,34.5,40,,37.0,1.765
161,2015-08-21,40.0,35.0,40,,37.5,1.696
162,2015-08-24,42.5,36.0,40,,39.25,1.7925
163,2015-08-25,41.0,34.5,40,,37.75,1.905
164,2015-08-26,40.5,35.5,40,,38.0,1.9555
165,2015-08-27,39.5,35.0,40,,37.25,1.976
166,2015-08-28,39.5,35.0,40,,37.25,1.9425
167,2015-09-01,39.5,35.0,40,,37.25,1.935
168,2015-09-02,39.5,35.0,40,,37.25,1.94
169,2015-09-03,38.0,34.0,40,,36.0,1.908
170,2015-09-04,38.0,34.0,40,,36.0,1.826
171,2015-09-07,38.5,34.0,40,,36.25,1.8055
172,2015-09-08,38.0,33.5,40,,35.75,1.8345
173,2015-09-09,36.5,32.0,40,,34.25,1.8665
174,2015-09-10,37.0,32.5,40,,34.75,1.86
175,2015-09-11,37.5,33.0,40,,35.25,1.8245
176,2015-09-14,37.5,33.0,40,,35.25,1.8535
177,2015-09-15,37.5,33.0,40,,35.25,1.907
178,2015-09-16,37.0,32.5,40,,34.75,1.945
179,2015-09-17,36.5,32.0,40,,34.25,1.956
180,2015-09-18,37.0,32.5,40,,34.75,1.836
181,2015-09-21,37.5,32.5,40,,35.0,1.879
182,2015-09-22,39.0,34.0,40,,36.5,1.7885
183,2015-09-23,38.5,33.5,40,,36.0,1.795
184,2015-09-24,40.0,35.0,40,,37.5,1.74
185,2015-09-25,40.0,34.5,40,,37.25,1.843
186,2015-09-28,43.5,38.0,40,,40.75,1.776
187,2015-09-29,43.0,38.0,40,,40.5,1.755
188,2015-09-30,43.0,38.5,40,,40.75,1.763
189,2015-10-01,44.5,40.0,40,,42.25,1.746
190,2015-10-02,42.5,38.0,40,,40.25,1.7005
191,2015-10-05,43.0,38.0,40,,40.5,1.781
192,2015-10-06,44.5,39.5,40,,42.0,1.807
193,2015-10-07,44.0,39.0,40,,41.5,1.819
194,2015-10-08,45.0,40.0,40,,42.5,1.824
195,2015-10-09,43.0,38.0,40,,40.5,1.859
196,2015-10-12,43.0,38.0,40,,40.5,1.8165
197,2015-10-13,44.0,39.0,40,,41.5,1.8285
198,2015-10-14,46.5,41.5,40,,44.0,1.7595
199,2015-10-15,46.5,41.5,40,,44.0,1.772
200,2015-10-16,47.0,41.0,40,,44.0,1.7985
201,2015-10-19,47.5,41.5,40,,44.5,1.825
202,2015-10-20,49.0,43.0,40,,46.0,1.864
203,2015-10-21,49.5,43.5,40,,46.5,1.801
204,2015-10-22,50.0,44.0,40,,47.0,1.798
205,2015-10-23,49.5,43.0,40,,46.25,1.8595
206,2015-10-26,49.0,43.5,40,,46.25,1.828
207,2015-10-27,52.5,47.0,40,,49.75,1.761
208,2015-10-28,52.0,47.0,40,,49.5,1.7995
209,2015-10-29,51.5,47.0,40,,49.25,1.925
210,2015-10-30,52.0,47.0,40,,49.5,1.9235
211,2015-11-02,51.5,46.0,40,,48.75,1.942
212,2015-11-03,49.5,44.0,40,,46.75,1.9685
213,2015-11-04,50.0,44.5,40,,47.25,1.9965
214,2015-11-05,50.0,44.5,40,,47.25,1.9695
215,2015-11-06,49.0,44.0,40,,46.5,2.037
216,2015-11-09,50.0,45.0,40,,47.5,2.045
217,2015-11-10,49.5,44.5,40,,47.0,2.025
218,2015-11-11,49.0,44.5,40,,46.75,2.047
219,2015-11-12,49.0,44.5,40,,46.75,2.008
220,2015-11-13,49.5,45.0,40,,47.25,1.975
221,2015-11-16,50.0,45.5,40,,47.75,1.9415
222,2015-11-17,49.0,44.5,40,,46.75,1.9785
223,2015-11-18,48.5,44.0,40,,46.25,1.9285
224,2015-11-19,48.0,43.5,40,,45.75,1.8865
225,2015-11-20,48.0,43.5,40,,45.75,1.8685
226,2015-11-23,48.875,43.875,40,,46.375,1.8765
227,2015-11-24,49.25,44.25,40,,46.75,1.863
228,2015-11-25,49.6,44.6,40,,47.1,1.892
229,2015-11-26,48.5,43.5,40,,46.0,1.833
230,2015-11-27,48.167,43.167,40,,45.667,1.8125
231,2015-11-30,48.167,43.167,40,,45.667,1.827
232,2015-12-01,48.25,43.25,40,,45.75,1.764
233,2015-12-02,47.583,43.083,40,,45.333,1.7465
234,2015-12-03,48.0,43.5,40,,45.75,1.8825
235,2015-12-04,48.5,43.5,40,,46.0,1.926
236,2015-12-07,47.583,43.083,40,,45.333,1.82
237,2015-12-08,48.375,43.375,40,,45.875,1.8155
238,2015-12-09,49.167,44.167,40,,46.667,1.886
239,2015-12-10,49.5,44.5,40,,47.0,1.867
240,2015-12-11,50.381,45.381,40,,47.881,1.812
241,2015-12-14,52.25,47.25,40,,49.75,1.8185
242,2015-12-15,52.349,47.349,40,,49.849,1.945
243,2015-12-16,53.0,46.5,40,,49.75,1.944
244,2015-12-17,52.564,47.564,40,,50.064,1.8495
245,2015-12-18,53.8,47.3,40,,50.55,1.8305
246,2015-12-21,53.378,46.878,40,,50.128,1.8145
247,2015-12-22,53.713,48.213,40,,50.963,1.875
248,2015-12-23,53.452,48.452,40,,50.952,1.941
249,2015-12-24,52.785,47.285,40,,50.035,1.9195
250,2015-12-30,52.663,47.663,40,,50.163,1.9865
251,2015-12-31,53.0,48.0,40,,50.5,1.958
252,2016-01-04,53.0,48.0,40,,50.5,1.875
253,2016-01-05,53.625,47.125,40,,50.375,1.8725
254,2016-01-06,53.875,47.875,40,,50.875,1.797
255,2016-01-07,54.9,48.9,40,,51.9,1.8015
256,2016-01-08,54.7,48.7,40,,51.7,1.77
257,2016-01-11,55.4,49.4,40,,52.4,1.7775
258,2016-01-12,54.9,48.9,40,,51.9,1.747
259,2016-01-13,55.625,49.625,40,,52.625,1.743
260,2016-01-14,56.75,50.75,40,,53.75,1.7335
261,2016-01-15,57.0,51.0,40,,54.0,1.6625
262,2016-01-18,57.333,51.333,40,,54.333,1.6935
263,2016-01-19,57.0,51.0,40,,54.0,1.6975
264,2016-01-20,58.667,52.667,40,,55.667,1.6205
265,2016-01-21,58.75,50.75,40,,54.75,1.6725
266,2016-01-22,57.0,49.0,40,,53.0,1.7105
267,2016-01-25,57.0,51.0,40,,54.0,1.689
268,2016-01-26,57.4,51.4,40,,54.4,1.6925
269,2016-01-27,58.125,52.125,40,,55.125,1.712
270,2016-01-28,57.9,51.9,40,,54.9,1.6715
271,2016-01-29,56.75,50.75,40,,53.75,1.5595
272,2016-02-01,56.95,51.45,40,,54.2,1.6245
273,2016-02-02,57.7,51.7,40,,54.7,1.541
274,2016-02-03,59.0,53.0,40,,56.0,1.532
275,2016-02-04,58.75,52.75,40,,55.75,1.5645
276,2016-02-05,59.5,53.5,40,,56.5,1.5625
277,2016-02-08,62.5,56.5,40,,59.5,1.413
278,2016-02-09,62.375,56.875,40,,59.625,1.4165
279,2016-02-10,61.6,55.6,40,,58.6,1.4085
280,2016-02-11,63.125,57.125,40,,60.125,1.302
281,2016-02-12,62.833,56.833,40,,59.833,1.419
282,2016-02-15,62.167,56.167,40,,59.167,1.4285
283,2016-02-16,59.667,53.667,40,,56.667,1.438
284,2016-02-17,58.625,53.125,40,,55.875,1.477
