,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,33.0,28.5,40,2.673,30.75,0.785
2,2015-01-05,33.0,28.0,40,2.647,30.5,0.7925
3,2015-01-06,34.0,28.25,40,2.7,31.125,0.742
4,2015-01-07,33.0,28.0,40,2.645,30.5,0.778
5,2015-01-08,32.667,27.667,40,2.615,30.167,0.7975
6,2015-01-09,31.5,27.0,40,2.535,29.25,0.7805
7,2015-01-12,31.5,27.0,40,2.531,29.25,0.7565
8,2015-01-13,32.0,26.5,40,2.53,29.25,0.739
9,2015-01-14,31.5,27.0,40,2.529,29.25,0.655
10,2015-01-15,32.0,26.5,40,2.527,29.25,0.673
11,2015-01-16,32.0,27.0,40,2.547,29.5,0.6435
12,2015-01-19,32.0,26.667,40,2.529,29.3335,0.636
13,2015-01-20,31.667,26.333,40,2.499,29.0,0.637
14,2015-01-21,31.0,26.0,40,2.477,28.5,0.684
15,2015-01-22,30.333,26.333,40,2.454,28.333,0.6105
16,2015-01-26,29.5,25.5,40,2.364,27.5,0.572
17,2015-01-27,29.5,26.0,40,2.363,27.75,0.5755
18,2015-01-28,29.667,25.667,40,2.376,27.667,0.578
19,2015-01-29,30.0,25.5,40,2.382,27.75,0.589
20,2015-01-30,30.0,25.5,40,2.38,27.75,0.5535
21,2015-02-02,29.5,26.0,40,2.377,27.75,0.551
22,2015-02-03,30.5,25.0,40,2.375,27.75,0.5705
23,2015-02-04,30.0,25.0,40,2.353,27.5,0.59
24,2015-02-05,30.0,25.333,40,2.352,27.6665,0.5855
25,2015-02-06,29.667,25.333,40,2.351,27.5,0.609
26,2015-02-09,30.0,25.333,40,2.361,27.6665,0.605
27,2015-02-10,30.0,25.0,40,2.346,27.5,0.6465
28,2015-02-11,29.5,25.5,40,2.344,27.5,0.625
29,2015-02-12,29.667,25.333,40,2.343,27.5,0.585
30,2015-02-13,29.5,25.0,40,2.321,27.25,0.588
31,2015-02-16,29.667,25.0,40,2.324,27.3335,0.6015
32,2015-02-17,29.667,25.0,40,2.323,27.3335,0.6295
33,2015-02-18,29.0,24.5,40,2.273,26.75,0.6385
34,2015-02-19,29.0,24.5,40,2.271,26.75,0.6395
35,2015-02-20,29.5,25.0,40,2.312,27.25,0.615
36,2015-02-23,29.0,24.333,40,2.26,26.6665,0.595
37,2015-02-24,28.333,24.0,40,2.217,26.1665,0.5875
38,2015-02-25,29.0,24.5,40,2.264,26.75,0.54
39,2015-02-26,27.667,23.0,40,2.145,25.3335,0.512
40,2015-02-27,27.333,22.667,40,2.115,25.0,0.5235
41,2015-03-02,27.667,22.667,40,2.126,25.167,0.5695
42,2015-03-03,27.0,23.0,40,2.111,25.0,0.596
43,2015-03-04,27.333,22.667,40,2.11,25.0,0.6065
44,2015-03-05,26.667,22.667,40,2.081,24.667,0.589
45,2015-03-06,26.0,22.0,40,2.024,24.0,0.626
46,2015-03-09,26.667,22.667,40,2.076,24.667,0.55
47,2015-03-10,28.0,22.5,40,2.124,25.25,0.4625
48,2015-03-11,27.0,23.0,40,2.102,25.0,0.4055
49,2015-03-12,26.5,22.5,40,2.059,24.5,0.4325
50,2015-03-13,28.5,23.5,40,2.183,26.0,0.4435
51,2015-03-16,27.333,22.667,40,2.096,25.0,0.451
52,2015-03-17,27.0,23.0,40,2.095,25.0,0.472
53,2015-03-18,28.0,23.333,40,2.149,25.6665,0.423
54,2015-03-19,27.0,23.0,40,2.093,25.0,0.454
55,2015-03-20,27.5,24.0,40,2.261,25.75,0.432
56,2015-03-23,27.5,23.5,40,2.236,25.5,0.4955
57,2015-03-24,27.5,24.0,40,2.256,25.75,0.5095
58,2015-03-25,27.5,23.5,40,2.234,25.5,0.4995
59,2015-03-26,27.5,24.0,40,2.254,25.75,0.4985
60,2015-03-27,28.0,24.0,40,2.274,26.0,0.5005
61,2015-03-30,27.333,23.0,40,2.199,25.1665,0.509
62,2015-03-31,27.333,23.0,40,2.198,25.1665,0.472
63,2015-04-01,27.0,23.0,40,2.182,25.0,0.4535
64,2015-04-02,27.0,23.0,40,2.181,25.0,0.4695
65,2015-04-07,27.0,22.5,40,2.154,24.75,0.4655
66,2015-04-08,27.0,22.5,40,2.153,24.75,0.4445
67,2015-04-09,28.0,24.0,40,2.259,26.0,0.449
68,2015-04-10,27.5,23.0,40,2.194,25.25,0.4335
69,2015-04-13,28.0,23.667,40,2.24,25.8335,0.4315
70,2015-04-14,28.0,23.667,40,2.239,25.8335,0.4085
71,2015-04-15,28.0,23.667,40,2.238,25.8335,0.3555
72,2015-04-16,28.333,24.0,40,2.265,26.1665,0.3585
73,2015-04-17,29.333,24.667,40,2.335,27.0,0.366
74,2015-04-20,29.0,24.667,40,2.318,26.8335,0.363
75,2015-04-21,29.0,24.667,40,2.316,26.8335,0.367
76,2015-04-22,29.0,24.667,40,2.315,26.8335,0.404
77,2015-04-23,29.0,25.0,40,2.328,27.0,0.411
78,2015-04-24,29.0,24.5,40,2.306,26.75,0.415
79,2015-04-27,28.333,24.0,40,2.252,26.1665,0.421
80,2015-04-28,28.667,24.667,40,2.294,26.667,0.4175
81,2015-04-29,28.5,25.0,40,2.299,26.75,0.551
82,2015-04-30,28.5,24.5,40,2.277,26.5,0.6465
84,2015-05-05,28.5,25.0,40,2.292,26.75,0.8185
85,2015-05-06,28.667,24.333,40,2.269,26.5,0.896
86,2015-05-07,29.333,24.667,40,2.311,27.0,0.8925
87,2015-05-08,29.0,24.333,40,2.281,26.6665,0.825
88,2015-05-11,28.5,24.0,40,2.242,26.25,0.8825
89,2015-05-12,29.333,25.0,40,2.318,27.1665,0.9725
90,2015-05-13,29.0,24.667,40,2.289,26.8335,0.9545
91,2015-05-14,29.667,25.333,40,2.344,27.5,0.972
92,2015-05-15,29.0,25.0,40,2.301,27.0,0.9165
93,2015-05-18,29.333,25.0,40,2.311,27.1665,0.944
94,2015-05-19,29.333,25.0,40,2.31,27.1665,0.8885
95,2015-05-20,29.0,24.667,40,2.281,26.8335,0.8945
96,2015-05-21,29.0,24.667,40,2.279,26.8335,0.924
97,2015-05-22,29.0,24.667,40,2.278,26.8335,0.8925
98,2015-05-26,29.0,24.667,40,2.273,26.8335,0.8595
