,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,57.614,48.967,40,,53.290499999999994,1.717
2,2015-01-05,57.0,48.0,40,,52.5,1.662
3,2015-01-06,59.0,50.0,40,,54.5,1.58
4,2015-01-07,59.5,49.5,40,,54.5,1.6025
5,2015-01-08,59.5,49.5,40,,54.5,1.642
6,2015-01-09,59.5,49.5,40,,54.5,1.586
7,2015-01-12,59.5,49.5,40,,54.5,1.575
8,2015-01-13,59.5,49.5,40,,54.5,1.591
9,2015-01-14,59.5,49.5,40,,54.5,1.5165
10,2015-01-15,59.5,49.5,40,,54.5,1.5175
11,2015-01-16,59.0,50.0,40,,54.5,1.537
12,2015-01-19,59.0,49.0,40,,54.0,1.5285
13,2015-01-20,58.5,49.5,40,,54.0,1.535
14,2015-01-21,56.0,47.0,40,,51.5,1.4835
15,2015-01-22,54.5,45.5,40,,50.0,1.522
16,2015-01-26,54.0,44.667,40,,49.3335,1.504
17,2015-01-27,54.333,45.0,40,,49.6665,1.4785
18,2015-01-28,52.5,43.5,40,,48.0,1.458
19,2015-01-29,54.667,45.333,40,,50.0,1.421
20,2015-01-30,52.5,44.5,40,,48.5,1.339
21,2015-02-02,52.5,44.5,40,,48.5,1.383
22,2015-02-03,53.0,44.333,40,,48.6665,1.469
23,2015-02-04,52.667,44.0,40,,48.3335,1.534
24,2015-02-05,52.5,44.5,40,,48.5,1.55
25,2015-02-06,53.0,45.0,40,,49.0,1.645
26,2015-02-09,53.333,44.667,40,,49.0,1.611
27,2015-02-10,54.5,44.5,40,,49.5,1.655
28,2015-02-11,54.5,44.5,40,,49.5,1.671
29,2015-02-12,52.5,44.5,40,,48.5,1.669
30,2015-02-13,50.667,42.667,40,,46.667,1.6755
31,2015-02-16,50.5,41.5,40,,46.0,1.6945
32,2015-02-17,49.5,41.5,40,,45.5,1.7565
33,2015-02-18,49.5,40.5,40,,45.0,1.849
34,2015-02-19,49.0,40.0,40,,44.5,1.8235
35,2015-02-20,47.5,39.5,40,,43.5,1.7755
36,2015-02-23,49.5,39.5,40,,44.5,1.806
37,2015-02-24,48.0,39.0,40,,43.5,1.761
38,2015-02-25,49.5,39.5,40,,44.5,1.7235
39,2015-02-26,46.0,38.5,40,,42.25,1.729
40,2015-02-27,46.5,37.5,40,,42.0,1.7875
41,2015-03-02,49.0,39.0,40,,44.0,1.786
42,2015-03-03,46.5,37.5,40,,42.0,1.8405
43,2015-03-04,46.5,37.5,40,,42.0,1.873
44,2015-03-05,46.0,37.0,40,,41.5,1.863
45,2015-03-06,45.5,36.5,40,,41.0,1.946
46,2015-03-09,45.5,36.5,40,,41.0,1.932
47,2015-03-10,45.5,36.5,40,,41.0,1.801
48,2015-03-11,45.5,36.5,40,,41.0,1.808
49,2015-03-12,45.5,36.5,40,,41.0,1.7385
50,2015-03-13,46.0,36.0,40,,41.0,1.703
51,2015-03-16,45.5,35.5,40,,40.5,1.683
52,2015-03-17,45.0,36.0,40,,40.5,1.677
53,2015-03-18,45.0,36.0,40,,40.5,1.5935
54,2015-03-19,45.0,36.0,40,,40.5,1.5305
55,2015-03-20,45.0,36.0,40,,40.5,1.5185
