,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,62.5,53.5,40.0,,58.0,0.785
2,2015-01-05,62.5,53.5,40.0,,58.0,0.7925
3,2015-01-06,60.0,51.5,40.0,,55.75,0.742
4,2015-01-07,62.333,53.0,40.0,,57.6665,0.778
5,2015-01-08,63.5,53.5,40.0,,58.5,0.7975
6,2015-01-09,61.333,52.0,40.0,,56.6665,0.7805
7,2015-01-12,62.5,52.5,40.0,,57.5,0.7565
8,2015-01-13,62.5,52.5,40.0,,57.5,0.739
9,2015-01-14,61.333,52.667,40.0,,57.0,0.655
10,2015-01-15,62.5,52.5,40.0,,57.5,0.673
11,2015-01-16,60.5,52.5,40.0,,56.5,0.6435
12,2015-01-19,61.5,51.5,40.0,,56.5,0.636
13,2015-01-20,59.5,51.5,40.0,,55.5,0.637
14,2015-01-21,59.0,51.0,40.0,,55.0,0.684
15,2015-01-22,57.667,50.667,40.0,,54.167,0.6105
16,2015-01-26,56.667,48.0,40.0,,52.3335,0.572
17,2015-01-27,56.333,47.667,40.0,,52.0,0.5755
18,2015-01-28,54.667,47.333,40.0,,51.0,0.578
19,2015-01-29,57.0,48.333,40.0,,52.6665,0.589
20,2015-01-30,56.0,48.0,40.0,,52.0,0.5535
21,2015-02-02,56.0,49.0,40.0,,52.5,0.551
22,2015-02-03,55.667,47.0,40.0,,51.3335,0.5705
23,2015-02-04,55.667,47.0,40.0,,51.3335,0.59
24,2015-02-05,55.5,47.5,40.0,,51.5,0.5855
25,2015-02-06,55.0,47.0,40.0,,51.0,0.609
26,2015-02-09,54.667,47.667,40.0,,51.167,0.605
27,2015-02-10,55.667,47.333,40.0,,51.5,0.6465
28,2015-02-11,57.0,47.0,40.0,,52.0,0.625
29,2015-02-12,55.0,47.5,40.0,,51.25,0.585
30,2015-02-13,53.0,48.0,40.0,,50.5,0.588
31,2015-02-16,54.5,47.0,40.0,,50.75,0.6015
32,2015-02-17,54.5,47.0,40.0,,50.75,0.6295
33,2015-02-18,53.667,46.667,40.0,,50.167,0.6385
34,2015-02-19,52.5,45.0,40.0,,48.75,0.6395
35,2015-02-20,53.0,46.0,40.0,,49.5,0.615
36,2015-02-23,51.667,43.333,40.0,,47.5,0.595
37,2015-02-24,51.0,43.5,40.0,,47.25,0.5875
38,2015-02-25,51.0,43.0,40.0,,47.0,0.54
39,2015-02-26,50.0,42.5,40.0,,46.25,0.512
40,2015-02-27,49.5,42.0,40.0,,45.75,0.5235
41,2015-03-02,50.0,41.667,40.0,,45.8335,0.5695
42,2015-03-03,49.5,42.0,40.0,,45.75,0.596
43,2015-03-04,49.5,42.0,40.0,,45.75,0.6065
44,2015-03-05,49.0,41.5,40.0,,45.25,0.589
45,2015-03-06,49.0,41.5,40.0,,45.25,0.626
46,2015-03-09,49.0,41.5,40.0,,45.25,0.55
47,2015-03-10,49.0,41.5,40.0,,45.25,0.4625
48,2015-03-11,49.0,41.5,40.0,,45.25,0.4055
49,2015-03-12,49.0,41.5,40.0,,45.25,0.4325
50,2015-03-13,48.0,42.5,40.0,,45.25,0.4435
51,2015-03-16,49.5,41.0,40.0,,45.25,0.451
52,2015-03-17,49.0,41.5,40.0,,45.25,0.472
53,2015-03-18,49.0,41.5,40.0,,45.25,0.423
54,2015-03-19,49.0,41.5,40.0,,45.25,0.454
55,2015-03-20,49.0,41.5,40.0,,45.25,0.432
56,2015-03-23,49.0,41.5,40.0,,45.25,0.4955
57,2015-03-24,48.0,43.0,40.0,,45.5,0.5095
