,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,14.895,11.395,40,,13.145,2.16945
1,2015-01-02,14.854,11.354,40,,13.104,2.11315
2,2015-01-05,15.5,12.0,40,,13.75,2.03285
3,2015-01-06,15.667,12.0,40,,13.8335,1.93755
4,2015-01-07,15.5,12.0,40,,13.75,1.96855
5,2015-01-08,14.5,11.0,40,,12.75,2.017
6,2015-01-09,14.5,11.0,40,,12.75,1.9484
7,2015-01-12,15.0,11.0,40,,13.0,1.90785
8,2015-01-13,15.0,11.0,40,,13.0,1.90425
9,2015-01-14,14.5,11.0,40,,12.75,1.85445
10,2015-01-15,14.0,10.5,40,,12.25,1.72665
11,2015-01-16,14.0,11.0,40,,12.5,1.82995
12,2015-01-20,14.667,11.0,40,,12.8335,1.7897
13,2015-01-21,14.0,10.333,40,,12.1665,1.87435
14,2015-01-26,13.0,9.667,40,,11.3335,1.8275
15,2015-01-27,13.0,8.5,40,,10.75,1.8265
16,2015-01-28,13.0,10.0,40,,11.5,1.71815
17,2015-01-29,13.5,10.0,40,,11.75,1.75545
18,2015-01-30,13.0,10.0,40,,11.5,1.63735
19,2015-02-02,13.333,10.0,40,,11.6665,1.6726
20,2015-02-03,13.0,9.5,40,,11.25,1.79745
21,2015-02-04,12.5,9.0,40,,10.75,1.74615
22,2015-02-05,13.0,8.333,40,,10.6665,1.81615
23,2015-02-06,14.0,10.5,40,,12.25,1.95755
24,2015-02-09,13.667,10.333,40,,12.0,1.97665
25,2015-02-10,13.5,10.0,40,,11.75,2.00195
26,2015-02-11,14.5,11.0,40,,12.75,2.02025
27,2015-02-12,16.0,11.5,40,,13.75,1.987
28,2015-02-13,16.0,11.5,40,,13.75,2.046
29,2015-02-17,15.5,12.0,40,,13.75,2.144
30,2015-02-18,15.0,11.667,40,,13.3335,2.0844
31,2015-02-19,15.5,12.0,40,,13.75,2.1212
32,2015-02-20,15.5,12.0,40,,13.75,2.1143
33,2015-02-23,16.0,12.0,40,,14.0,2.06005
34,2015-02-24,16.0,12.5,40,,14.25,1.97135
35,2015-02-25,16.0,12.0,40,,14.0,1.97135
36,2015-02-26,15.333,12.333,40,,13.833,2.0304
37,2015-02-27,15.0,12.0,40,,13.5,1.99475
38,2015-03-02,16.0,12.0,40,,14.0,2.08815
39,2015-03-03,16.0,11.333,40,,13.6665,2.12155
40,2015-03-04,16.0,12.5,40,,14.25,2.11805
41,2015-03-05,16.0,12.0,40,,14.0,2.1163
42,2015-03-06,16.0,12.5,40,,14.25,2.24585
43,2015-03-09,16.0,12.0,40,,14.0,2.1907
44,2015-03-10,17.5,13.0,40,,15.25,2.12
45,2015-03-11,17.5,13.0,40,,15.25,2.1077
46,2015-03-12,16.0,12.5,40,,14.25,2.10945
47,2015-03-13,16.5,12.5,40,,14.5,2.1166
48,2015-03-16,16.5,12.0,40,,14.25,2.0726
49,2015-03-17,16.0,12.0,40,,14.0,2.05155
50,2015-03-18,14.75,11.25,40,,13.0,1.91735
51,2015-03-19,15.667,11.667,40,,13.667,1.9694
52,2015-03-20,16.5,12.5,40,,14.5,1.93115
53,2015-03-23,16.0,12.5,40,,14.25,1.90855
54,2015-03-24,16.0,12.0,40,,14.0,1.87225
55,2015-03-25,16.5,12.5,40,,14.5,1.92585
56,2015-03-26,17.5,13.0,40,,15.25,1.99555
57,2015-03-27,17.0,12.5,40,,14.75,1.95885
58,2015-03-30,15.5,12.0,40,,13.75,1.95185
59,2015-03-31,15.667,12.333,40,,14.0,1.92575
60,2015-04-01,16.333,12.333,40,,14.332999999999998,1.85815
61,2015-04-02,15.0,12.0,40,,13.5,1.91175
62,2015-04-03,15.333,12.0,40,,13.6665,1.8407
63,2015-04-06,16.0,11.5,40,,13.75,1.8978
64,2015-04-07,14.75,12.25,40,,13.5,1.8856
65,2015-04-08,15.0,11.667,40,,13.3335,1.9047
66,2015-04-09,15.0,11.5,40,,13.25,1.9622
67,2015-04-10,16.0,12.5,40,,14.25,1.9482
68,2015-04-13,16.0,12.5,40,,14.25,1.92895
69,2015-04-14,16.0,12.5,40,,14.25,1.8993
70,2015-04-15,17.0,13.667,40,,15.3335,1.88885
71,2015-04-16,17.5,14.0,40,,15.75,1.89405
72,2015-04-17,18.5,15.0,40,,16.75,1.8644
73,2015-04-20,18.0,14.5,40,,16.25,1.88525
74,2015-04-21,19.0,10.0,40,,14.5,1.9096
75,2015-04-22,18.5,15.0,40,,16.75,1.9814
76,2015-04-23,18.0,14.5,40,,16.25,1.95245
77,2015-04-24,18.5,9.5,40,,14.0,1.913
78,2015-04-27,18.0,14.333,40,,16.1665,1.9252
79,2015-04-28,18.0,14.5,40,,16.25,2.0025
80,2015-04-29,18.5,15.0,40,,16.75,2.04495
81,2015-04-30,18.5,14.5,40,,16.5,2.03435
82,2015-05-01,18.5,10.0,40,,14.25,2.1108
83,2015-05-04,19.5,15.0,40,,17.25,2.1449
84,2015-05-05,18.5,14.5,40,,16.5,2.1808
85,2015-05-06,19.5,16.0,40,,17.75,2.2513
86,2015-05-07,20.0,15.5,40,,17.75,2.1773
87,2015-05-08,18.5,15.5,40,,17.0,2.1415
88,2015-05-11,19.333,15.333,40,,17.333,2.2861
89,2015-05-12,19.5,16.5,40,,18.0,2.2462
90,2015-05-13,20.0,15.5,40,,17.75,2.29355
91,2015-05-14,19.0,15.5,40,,17.25,2.2345
92,2015-05-15,19.5,15.0,40,,17.25,2.1468
