,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,91.0,83.5,40.0,,87.25,2.16945
1,2015-01-02,89.756,83.589,40.0,,86.6725,2.11315
2,2015-01-05,91.0,85.333,40.0,,88.1665,2.03285
3,2015-01-06,91.0,85.5,40.0,,88.25,1.93755
4,2015-01-07,88.0,82.667,40.0,,85.3335,1.96855
5,2015-01-08,87.5,81.5,40.0,,84.5,2.017
6,2015-01-09,85.5,79.5,40.0,,82.5,1.9484
7,2015-01-12,86.667,80.667,40.0,,83.667,1.90785
8,2015-01-13,83.0,77.0,40.0,,80.0,1.90425
9,2015-01-14,84.5,79.5,40.0,,82.0,1.85445
10,2015-01-15,82.5,76.5,40.0,,79.5,1.72665
11,2015-01-16,84.667,79.0,40.0,,81.8335,1.82995
12,2015-01-20,85.0,79.333,40.0,,82.1665,1.7897
13,2015-01-21,84.333,78.667,40.0,,81.5,1.87435
14,2015-01-26,80.333,74.667,40.0,,77.5,1.8275
15,2015-01-27,80.5,75.5,40.0,,78.0,1.8265
16,2015-01-28,81.333,76.333,40.0,,78.833,1.71815
17,2015-01-29,81.0,76.0,40.0,,78.5,1.75545
18,2015-01-30,80.5,75.5,40.0,,78.0,1.63735
19,2015-02-02,79.333,74.333,40.0,,76.833,1.6726
20,2015-02-03,77.0,72.0,40.0,,74.5,1.79745
21,2015-02-04,75.0,70.0,40.0,,72.5,1.74615
22,2015-02-05,75.0,69.667,40.0,,72.3335,1.81615
23,2015-02-06,76.5,71.5,40.0,,74.0,1.95755
24,2015-02-09,76.333,71.333,40.0,,73.833,1.97665
25,2015-02-10,78.5,73.5,40.0,,76.0,2.00195
26,2015-02-11,81.0,76.0,40.0,,78.5,2.02025
27,2015-02-12,80.5,75.5,40.0,,78.0,1.987
28,2015-02-13,79.5,74.5,40.0,,77.0,2.046
29,2015-02-17,80.667,74.0,40.0,,77.3335,2.144
30,2015-02-18,80.5,75.5,40.0,,78.0,2.0844
31,2015-02-19,80.667,74.0,40.0,,77.3335,2.1212
32,2015-02-20,81.0,76.0,40.0,,78.5,2.1143
33,2015-02-23,80.333,75.333,40.0,,77.833,2.06005
34,2015-02-24,78.5,73.5,40.0,,76.0,1.97135
35,2015-02-25,83.0,77.0,40.0,,80.0,1.97135
36,2015-02-26,82.0,77.0,40.0,,79.5,2.0304
37,2015-02-27,83.0,77.0,40.0,,80.0,1.99475
38,2015-03-02,80.0,75.0,40.0,,77.5,2.08815
39,2015-03-03,80.667,74.0,40.0,,77.3335,2.12155
40,2015-03-04,80.0,75.0,40.0,,77.5,2.11805
41,2015-03-05,80.333,75.333,40.0,,77.833,2.1163
42,2015-03-06,82.5,77.5,40.0,,80.0,2.24585
43,2015-03-09,82.0,74.5,40.0,,78.25,2.1907
44,2015-03-10,83.0,78.0,40.0,,80.5,2.12
45,2015-03-11,81.0,74.333,40.0,,77.6665,2.1077
46,2015-03-12,78.0,73.0,40.0,,75.5,2.10945
47,2015-03-13,79.0,74.0,40.0,,76.5,2.1166
48,2015-03-16,79.5,73.0,40.0,,76.25,2.0726
49,2015-03-17,77.5,72.5,40.0,,75.0,2.05155
50,2015-03-18,77.0,70.333,40.0,,73.6665,1.91735
51,2015-03-19,76.0,71.0,40.0,,73.5,1.9694
52,2015-03-20,79.0,74.0,40.0,,76.5,1.93115
53,2015-03-23,77.5,72.5,40.0,,75.0,1.90855
54,2015-03-24,77.0,72.0,40.0,,74.5,1.87225
55,2015-03-25,78.5,72.5,40.0,,75.5,1.92585
56,2015-03-26,79.0,73.0,40.0,,76.0,1.99555
57,2015-03-27,78.0,73.0,40.0,,75.5,1.95885
58,2015-03-30,79.0,72.333,40.0,,75.6665,1.95185
59,2015-03-31,77.0,72.0,40.0,,74.5,1.92575
60,2015-04-01,76.333,70.333,40.0,,73.333,1.85815
61,2015-04-02,74.0,69.0,40.0,,71.5,1.91175
62,2015-04-03,74.333,68.667,40.0,,71.5,1.8407
63,2015-04-06,73.0,68.0,40.0,,70.5,1.8978
64,2015-04-07,72.333,67.333,40.0,,69.833,1.8856
65,2015-04-08,72.0,67.0,40.0,,69.5,1.9047
66,2015-04-09,72.0,67.0,40.0,,69.5,1.9622
67,2015-04-10,71.5,66.5,40.0,,69.0,1.9482
68,2015-04-13,72.5,67.5,40.0,,70.0,1.92895
69,2015-04-14,73.333,66.667,40.0,,70.0,1.8993
70,2015-04-15,73.333,68.333,40.0,,70.833,1.88885
71,2015-04-16,74.5,69.5,40.0,,72.0,1.89405
72,2015-04-17,77.0,72.667,40.0,,74.8335,1.8644
73,2015-04-20,76.5,71.5,40.0,,74.0,1.88525
74,2015-04-21,78.0,74.333,40.0,,76.1665,1.9096
75,2015-04-22,77.5,72.5,40.0,,75.0,1.9814
76,2015-04-23,76.5,71.5,40.0,,74.0,1.95245
77,2015-04-24,77.0,72.0,40.0,,74.5,1.913
78,2015-04-27,77.0,71.0,40.0,,74.0,1.9252
79,2015-04-28,77.333,71.667,40.0,,74.5,2.0025
80,2015-04-29,84.5,74.5,40.0,,79.5,2.04495
81,2015-04-30,79.0,74.0,40.0,,76.5,2.03435
82,2015-05-01,79.0,74.0,40.0,,76.5,2.1108
83,2015-05-04,79.0,74.0,40.0,,76.5,2.1449
84,2015-05-05,79.5,74.5,40.0,,77.0,2.1808
85,2015-05-06,80.5,75.5,40.0,,78.0,2.2513
86,2015-05-07,81.0,76.0,40.0,,78.5,2.1773
87,2015-05-08,79.5,74.5,40.0,,77.0,2.1415
88,2015-05-11,83.0,78.0,40.0,,80.5,2.2861
89,2015-05-12,84.5,79.5,40.0,,82.0,2.2462
90,2015-05-13,87.5,82.5,40.0,,85.0,2.29355
91,2015-05-14,88.5,85.0,40.0,,86.75,2.2345
92,2015-05-15,90.333,85.667,40.0,,88.0,2.1468
93,2015-05-18,90.0,85.0,40.0,,87.5,2.23285
94,2015-05-19,90.5,85.5,40.0,,88.0,2.28855
95,2015-05-20,90.5,85.5,40.0,,88.0,2.25585
96,2015-05-21,90.0,85.0,40.0,,87.5,2.19415
97,2015-05-22,91.0,86.0,40.0,,88.5,2.2127
98,2015-05-26,91.5,86.5,40.0,,89.0,2.14155
99,2015-05-27,91.0,86.0,40.0,,88.5,2.12935
100,2015-05-28,93.5,88.5,40.0,,91.0,2.13455
101,2015-05-29,93.5,88.5,40.0,,91.0,2.1223
102,2015-06-01,94.5,89.5,40.0,,92.0,2.182
103,2015-06-02,95.0,90.0,40.0,,92.5,2.2651
104,2015-06-03,93.333,88.333,40.0,,90.833,2.3597
105,2015-06-04,94.5,89.5,40.0,,92.0,2.3079
106,2015-06-05,94.667,89.667,40.0,,92.167,2.4085
107,2015-06-08,94.0,89.0,40.0,,91.5,2.3815
108,2015-06-09,94.5,89.5,40.0,,92.0,2.4411
109,2015-06-10,94.5,87.0,40.0,,90.75,2.48475
110,2015-06-11,92.0,87.0,40.0,,89.5,2.3799
111,2015-06-12,94.0,89.0,40.0,,91.5,2.3891
112,2015-06-15,94.5,89.5,40.0,,92.0,2.3586
113,2015-06-16,94.0,89.0,40.0,,91.5,2.3084
114,2015-06-17,93.0,88.0,40.0,,90.5,2.3192
115,2015-06-18,91.667,86.667,40.0,,89.167,2.3336
116,2015-06-19,90.0,85.0,40.0,,87.5,2.26035
117,2015-06-22,93.0,88.0,40.0,,90.5,2.3734
118,2015-06-23,93.5,88.5,40.0,,91.0,2.4132
119,2015-06-24,93.5,88.5,40.0,,91.0,2.3717
120,2015-06-25,92.0,87.0,40.0,,89.5,2.4115
121,2015-06-26,93.0,88.0,40.0,,90.5,2.4735
122,2015-06-29,98.0,91.333,40.0,,94.6665,2.3269
123,2015-06-30,95.0,89.0,40.0,,92.0,2.3486
124,2015-07-01,93.0,87.5,40.0,,90.25,2.4264
125,2015-07-02,92.0,87.0,40.0,,89.5,2.385
127,2015-07-06,94.0,88.667,40.0,,91.3335,2.2895
128,2015-07-07,94.5,89.0,40.0,,91.75,2.2537
129,2015-07-08,95.5,90.0,40.0,,92.75,2.19665
130,2015-07-09,92.5,87.5,40.0,,90.0,2.3166
131,2015-07-10,91.0,85.5,40.0,,88.25,2.39995
132,2015-07-13,87.5,82.0,40.0,,84.75,2.44555
133,2015-07-14,88.667,83.333,40.0,,86.0,2.3965
134,2015-07-15,88.5,84.0,40.0,,86.25,2.3548
135,2015-07-16,86.0,80.333,40.0,,83.1665,2.3549
136,2015-07-17,86.5,81.5,40.0,,84.0,2.346
137,2015-07-20,85.5,80.5,40.0,,83.0,2.3787
138,2015-07-21,85.667,80.667,40.0,,83.167,2.3298
139,2015-07-22,86.5,81.5,40.0,,84.0,2.3262
140,2015-07-23,89.5,83.5,40.0,,86.5,2.2686
141,2015-07-24,89.5,84.0,40.0,,86.75,2.2615
142,2015-07-27,89.667,84.0,40.0,,86.8335,2.2149
143,2015-07-28,87.5,82.5,40.0,,85.0,2.249
144,2015-07-29,85.5,80.0,40.0,,82.75,2.2886
145,2015-07-30,86.0,80.667,40.0,,83.3335,2.2562
146,2015-07-31,86.5,81.0,40.0,,83.75,2.1863
147,2015-08-03,86.0,80.5,40.0,,83.25,2.1489
148,2015-08-04,86.5,81.5,40.0,,84.0,2.2222
149,2015-08-05,86.667,82.0,40.0,,84.3335,2.269
150,2015-08-06,88.5,83.5,40.0,,86.0,2.2259
151,2015-08-07,90.0,84.333,40.0,,87.1665,2.165
152,2015-08-10,91.0,85.667,40.0,,88.3335,2.2314
153,2015-08-11,93.667,89.0,40.0,,91.3335,2.1418
154,2015-08-12,96.5,91.5,40.0,,94.0,2.1471
155,2015-08-13,100.0,93.5,40.0,,96.75,2.188
156,2015-08-14,103.333,95.333,40.0,,99.333,2.2004
157,2015-08-17,106.333,99.0,40.0,,102.6665,2.16865
158,2015-08-18,107.5,100.0,40.0,,103.75,2.1916
159,2015-08-19,108.0,100.5,40.0,,104.25,2.12825
160,2015-08-20,104.0,97.5,40.0,,100.75,2.0722
161,2015-08-21,107.0,100.5,40.0,,103.75,2.04435
162,2015-08-24,115.0,105.0,40.0,,110.0,2.01125
163,2015-08-25,110.0,101.0,40.0,,105.5,2.07755
164,2015-08-26,106.333,98.0,40.0,,102.1665,2.1796
165,2015-08-27,100.667,92.0,40.0,,96.3335,2.19025
166,2015-08-28,101.0,92.0,40.0,,96.5,2.1833
167,2015-08-31,101.0,92.0,40.0,,96.5,2.2135
168,2015-09-01,104.0,94.0,40.0,,99.0,2.1586
169,2015-09-02,103.0,93.667,40.0,,98.3335,2.187
170,2015-09-03,102.667,93.667,40.0,,98.167,2.1622
171,2015-09-04,104.5,94.5,40.0,,99.5,2.13055
172,2015-09-08,104.5,97.0,40.0,,100.75,2.18545
173,2015-09-09,105.5,95.5,40.0,,100.5,2.1944
174,2015-09-10,103.5,94.5,40.0,,99.0,2.2265
175,2015-09-11,105.0,96.0,40.0,,100.5,2.1857
176,2015-09-14,110.0,101.0,40.0,,105.5,2.1822
177,2015-09-15,111.333,102.333,40.0,,106.833,2.2912
178,2015-09-16,114.5,104.5,40.0,,109.5,2.2949
179,2015-09-17,117.0,107.0,40.0,,112.0,2.1912
180,2015-09-18,119.5,109.5,40.0,,114.5,2.1327
181,2015-09-21,130.0,120.0,40.0,,125.0,2.1985
182,2015-09-22,127.5,117.5,40.0,,122.5,2.131
183,2015-09-23,130.0,121.0,40.0,,125.5,2.15055
184,2015-09-24,135.0,125.0,40.0,,130.0,2.1275
185,2015-09-25,134.5,124.5,40.0,,129.5,2.1649
186,2015-09-28,144.667,133.0,40.0,,138.83350000000002,2.09755
187,2015-09-29,139.5,129.5,40.0,,134.5,2.05875
188,2015-09-30,173.5,163.5,40.0,,168.5,2.0341
189,2015-10-01,188.333,178.333,40.0,,183.333,2.04115
190,2015-10-02,202.5,190.0,40.0,,196.25,1.99025
191,2015-10-05,187.5,172.5,40.0,,180.0,2.05705
192,2015-10-06,178.5,167.5,40.0,,173.0,2.03415
193,2015-10-07,174.0,164.0,40.0,,169.0,2.06415
194,2015-10-08,207.333,189.0,40.0,,198.16649999999998,2.1013
195,2015-10-09,203.5,191.0,40.0,,197.25,2.089
196,2015-10-13,205.0,192.5,40.0,,198.75,2.04125
197,2015-10-14,216.667,205.0,40.0,,210.83350000000002,1.9744
198,2015-10-15,218.333,205.0,40.0,,211.66649999999998,2.01835
199,2015-10-16,222.5,205.0,40.0,,213.75,2.03425
200,2015-10-19,226.667,215.0,40.0,,220.83350000000002,2.0219
201,2015-10-20,222.5,207.5,40.0,,215.0,2.0679
202,2015-10-21,216.0,202.667,40.0,,209.33350000000002,2.0272
203,2015-10-22,209.0,197.333,40.0,,203.16649999999998,2.0272
204,2015-10-23,206.0,191.0,40.0,,198.5,2.0857
205,2015-10-26,203.667,192.0,40.0,,197.83350000000002,2.0573
206,2015-10-27,202.333,190.667,40.0,,196.5,2.0361
207,2015-10-28,199.5,187.0,40.0,,193.25,2.1
208,2015-10-29,206.0,193.5,40.0,,199.75,2.1716
209,2015-10-30,204.0,192.333,40.0,,198.16649999999998,2.1448
210,2015-11-02,203.0,190.5,40.0,,196.75,2.1754
211,2015-11-03,198.5,181.0,40.0,,189.75,2.2168
212,2015-11-04,197.0,183.667,40.0,,190.33350000000002,2.2259
213,2015-11-05,195.333,182.0,40.0,,188.66649999999998,2.235
214,2015-11-06,197.5,185.0,40.0,,191.25,2.3243
215,2015-11-09,207.333,195.667,40.0,,201.5,2.34815
216,2015-11-10,219.0,205.667,40.0,,212.33350000000002,2.3355
217,2015-11-12,226.667,213.333,40.0,,220.0,2.3142
218,2015-11-13,248.5,233.5,40.0,,241.0,2.2737
219,2015-11-16,243.333,230.0,40.0,,236.66649999999998,2.2702
220,2015-11-17,244.0,231.5,40.0,,237.75,2.26665
221,2015-11-18,245.333,230.333,40.0,,237.833,2.27195
222,2015-11-19,252.5,237.5,40.0,,245.0,2.2456
223,2015-11-20,237.5,222.5,40.0,,230.0,2.26315
224,2015-11-23,236.5,221.5,40.0,,229.0,2.24205
225,2015-11-24,236.5,221.5,40.0,,229.0,2.23855
226,2015-11-25,235.8,220.8,40.0,,228.3,2.23325
227,2015-11-30,234.167,219.167,40.0,,226.667,2.2069
228,2015-12-01,223.125,208.125,40.0,,215.625,2.14395
229,2015-12-02,222.1,207.1,40.0,,214.6,2.1771
230,2015-12-03,227.75,212.75,40.0,,220.25,2.3198
231,2015-12-04,237.25,222.25,40.0,,229.75,2.272
232,2015-12-07,232.375,217.375,40.0,,224.875,2.23495
233,2015-12-08,221.5,206.5,40.0,,214.0,2.22085
234,2015-12-09,218.5,203.5,40.0,,211.0,2.2103
235,2015-12-10,218.333,203.333,40.0,,210.833,2.23315
236,2015-12-11,244.25,229.25,40.0,,236.75,2.1314
237,2015-12-14,247.2,232.2,40.0,,239.7,2.2243
238,2015-12-15,232.5,212.5,40.0,,222.5,2.2667
239,2015-12-16,230.125,210.125,40.0,,220.125,2.2968
240,2015-12-17,226.667,206.667,40.0,,216.667,2.2243
241,2015-12-18,230.875,210.875,40.0,,220.875,2.2031
242,2015-12-21,229.5,209.5,40.0,,219.5,2.1943
243,2015-12-22,227.083,209.583,40.0,,218.333,2.2366
244,2015-12-23,220.75,203.25,40.0,,212.0,2.25785
245,2015-12-24,216.531,199.031,40.0,,207.781,2.24105
246,2015-12-29,215.125,200.125,40.0,,207.625,2.30765
247,2015-12-30,216.0,201.0,40.0,,208.5,2.2934
248,2015-12-31,212.048,197.048,40.0,,204.548,2.2685
249,2016-01-04,238.667,221.167,40.0,,229.917,2.2419
250,2016-01-05,244.5,229.5,40.0,,237.0,2.2383
251,2016-01-06,255.5,240.5,40.0,,248.0,2.16935
252,2016-01-07,256.071,241.071,40.0,,248.57100000000003,2.1473
253,2016-01-08,298.583,278.583,40.0,,288.583,2.1147
254,2016-01-11,300.929,285.929,40.0,,293.429,2.1745
255,2016-01-12,298.4,278.4,40.0,,288.4,2.1041
256,2016-01-13,299.375,279.375,40.0,,289.375,2.09005
257,2016-01-14,299.8,279.8,40.0,,289.8,2.09
258,2016-01-15,306.0,286.0,40.0,,296.0,2.0356
259,2016-01-19,303.071,283.071,40.0,,293.071,2.05475
260,2016-01-20,306.25,286.25,40.0,,296.25,1.98675
261,2016-01-21,294.167,274.167,40.0,,284.167,2.0267
262,2016-01-22,278.333,258.333,40.0,,268.333,2.0563
263,2016-01-25,277.4,257.4,40.0,,267.4,2.00555
264,2016-01-26,278.0,258.0,40.0,,268.0,2.002
265,2016-01-27,280.5,260.5,40.0,,270.5,2.00195
266,2016-01-28,269.9,249.9,40.0,,259.9,1.981
267,2016-01-29,261.875,241.875,40.0,,251.875,1.92175
268,2016-02-01,266.083,246.083,40.0,,256.083,1.9494
