,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,70.814,61.314,40,,66.064,0.677
1,2015-01-02,68.0,61.5,40,,64.75,0.6235
2,2015-01-05,69.0,64.0,40,,66.5,0.6295
3,2015-01-06,71.0,64.667,40,,67.8335,0.5705
4,2015-01-07,70.0,64.333,40,,67.1665,0.5885
5,2015-01-08,70.5,65.0,40,,67.75,0.622
6,2015-01-09,70.333,64.667,40,,67.5,0.6015
7,2015-01-12,70.333,64.0,40,,67.1665,0.5765
8,2015-01-13,70.0,64.0,40,,67.0,0.5615
9,2015-01-14,70.0,63.667,40,,66.8335,0.491
10,2015-01-15,69.5,64.0,40,,66.75,0.4925
11,2015-01-16,70.5,64.0,40,,67.25,0.472
12,2015-01-19,69.5,63.5,40,,66.5,0.47
13,2015-01-20,68.5,63.0,40,,65.75,0.4865
14,2015-01-21,68.0,62.0,40,,65.0,0.548
15,2015-01-22,67.333,61.667,40,,64.5,0.474
16,2015-01-26,63.667,58.667,40,,61.167,0.427
17,2015-01-27,63.5,58.5,40,,61.0,0.4315
18,2015-01-28,63.5,58.5,40,,61.0,0.421
19,2015-01-29,65.0,60.0,40,,62.5,0.4235
20,2015-01-30,66.0,61.0,40,,63.5,0.389
21,2015-02-02,66.0,60.5,40,,63.25,0.373
22,2015-02-03,65.0,59.5,40,,62.25,0.3855
23,2015-02-04,65.5,59.0,40,,62.25,0.411
24,2015-02-05,64.667,59.0,40,,61.8335,0.411
25,2015-02-06,64.5,58.5,40,,61.5,0.4355
26,2015-02-09,66.0,60.5,40,,63.25,0.4165
27,2015-02-10,65.5,60.0,40,,62.75,0.458
28,2015-02-11,65.5,59.75,40,,62.625,0.4365
29,2015-02-12,64.667,59.333,40,,62.0,0.398
30,2015-02-13,65.0,59.5,40,,62.25,0.408
31,2015-02-16,65.333,59.333,40,,62.333,0.416
32,2015-02-17,65.0,59.333,40,,62.1665,0.441
33,2015-02-18,64.25,58.75,40,,61.5,0.4555
34,2015-02-19,63.667,58.0,40,,60.8335,0.4505
35,2015-02-20,64.5,58.0,40,,61.25,0.4395
36,2015-02-23,63.0,57.333,40,,60.1665,0.421
37,2015-02-24,62.333,57.0,40,,59.6665,0.4215
38,2015-02-25,63.0,57.5,40,,60.25,0.374
39,2015-02-26,61.0,56.0,40,,58.5,0.35
40,2015-02-27,61.333,56.0,40,,58.6665,0.3635
41,2015-03-02,61.0,55.333,40,,58.1665,0.404
42,2015-03-03,60.667,55.667,40,,58.167,0.4235
43,2015-03-04,60.667,55.667,40,,58.167,0.4335
44,2015-03-05,59.667,54.667,40,,57.167,0.405
45,2015-03-06,60.0,55.0,40,,57.5,0.436
46,2015-03-09,59.667,54.333,40,,57.0,0.3575
47,2015-03-10,61.0,56.0,40,,58.5,0.2795
48,2015-03-11,59.667,54.333,40,,57.0,0.2435
49,2015-03-12,59.5,54.5,40,,57.0,0.2785
50,2015-03-13,59.667,54.667,40,,57.167,0.297
51,2015-03-16,59.667,54.667,40,,57.167,0.3085
52,2015-03-17,61.0,55.667,40,,58.3335,0.3265
53,2015-03-18,62.0,57.0,40,,59.5,0.2735
54,2015-03-19,62.333,55.667,40,,59.0,0.274
55,2015-03-20,62.0,56.667,40,,59.3335,0.2625
56,2015-03-23,62.5,57.0,40,,59.75,0.3185
57,2015-03-24,62.5,57.0,40,,59.75,0.3205
58,2015-03-25,62.667,57.0,40,,59.8335,0.306
59,2015-03-26,63.0,56.333,40,,59.6665,0.3005
60,2015-03-27,61.0,56.0,40,,58.5,0.299
61,2015-03-30,61.0,56.0,40,,58.5,0.2905
62,2015-03-31,63.667,56.667,40,,60.167,0.259
63,2015-04-01,61.5,56.5,40,,59.0,0.2465
64,2015-04-02,60.5,55.5,40,,58.0,0.2725
65,2015-04-07,62.5,56.0,40,,59.25,0.272
66,2015-04-08,61.0,56.0,40,,58.5,0.242
67,2015-04-09,60.5,55.5,40,,58.0,0.237
68,2015-04-10,60.0,55.0,40,,57.5,0.2275
69,2015-04-13,59.5,54.5,40,,57.0,0.227
70,2015-04-14,60.0,55.0,40,,57.5,0.2735
71,2015-04-15,58.667,53.667,40,,56.167,0.2355
72,2015-04-16,61.0,56.0,40,,58.5,0.228
73,2015-04-17,60.333,54.333,40,,57.333,0.222
74,2015-04-20,59.5,54.0,40,,56.75,0.226
75,2015-04-21,60.0,55.0,40,,57.5,0.2425
76,2015-04-22,59.667,54.333,40,,57.0,0.296
77,2015-04-23,59.0,53.667,40,,56.3335,0.303
78,2015-04-24,59.667,54.333,40,,57.0,0.2985
79,2015-04-27,59.0,53.667,40,,56.3335,0.3005
80,2015-04-28,59.0,53.667,40,,56.3335,0.296
81,2015-04-29,60.0,54.667,40,,57.3335,0.4215
82,2015-04-30,59.5,54.5,40,,57.0,0.508
84,2015-05-05,60.0,54.333,40,,57.1665,0.6085
85,2015-05-06,61.333,56.0,40,,58.6665,0.76
86,2015-05-07,62.0,56.667,40,,59.3335,0.764
87,2015-05-08,61.333,56.333,40,,58.833,0.721
88,2015-05-11,64.5,58.0,40,,61.25,0.774
89,2015-05-12,70.333,62.667,40,,66.5,0.8505
90,2015-05-13,68.0,61.5,40,,64.75,0.8115
91,2015-05-14,70.667,62.333,40,,66.5,0.8665
92,2015-05-15,69.0,61.5,40,,65.25,0.8085
93,2015-05-18,69.0,63.0,40,,66.0,0.8305
94,2015-05-19,68.5,62.0,40,,65.25,0.7775
95,2015-05-20,70.0,63.5,40,,66.75,0.7915
96,2015-05-21,69.333,63.333,40,,66.333,0.822
97,2015-05-22,70.5,64.0,40,,67.25,0.79
98,2015-05-26,70.667,64.667,40,,67.667,0.746
99,2015-05-27,70.333,64.333,40,,67.333,0.7455
100,2015-05-28,70.5,64.0,40,,67.25,0.729
101,2015-05-29,72.0,65.5,40,,68.75,0.683
102,2015-06-01,73.0,66.5,40,,69.75,0.692
103,2015-06-02,72.0,65.333,40,,68.6665,0.851
104,2015-06-03,70.0,62.5,40,,66.25,0.918
105,2015-06-04,70.0,62.5,40,,66.25,1.02
106,2015-06-05,69.5,62.0,40,,65.75,1.0245
107,2015-06-08,70.0,62.5,40,,66.25,1.0825
108,2015-06-09,69.5,62.0,40,,65.75,1.155
109,2015-06-10,68.0,62.0,40,,65.0,1.186
110,2015-06-11,68.5,63.5,40,,66.0,1.083
111,2015-06-12,68.0,63.0,40,,65.5,1.081
112,2015-06-15,71.0,65.667,40,,68.3335,1.0975
113,2015-06-16,70.0,65.0,40,,67.5,1.103
114,2015-06-17,72.333,65.667,40,,69.0,1.0725
115,2015-06-18,71.0,65.5,40,,68.25,1.0395
116,2015-06-19,70.667,65.667,40,,68.167,1.008
117,2015-06-22,69.0,64.0,40,,66.5,1.1115
118,2015-06-23,66.667,61.667,40,,64.167,1.0965
119,2015-06-24,65.5,60.5,40,,63.0,1.0805
120,2015-06-25,66.5,61.5,40,,64.0,1.111
121,2015-06-26,66.5,60.0,40,,63.25,1.1475
122,2015-06-29,70.333,63.0,40,,66.6665,1.0675
123,2015-06-30,69.5,64.5,40,,67.0,1.0465
124,2015-07-01,68.5,63.5,40,,66.0,1.0855
125,2015-07-02,68.333,63.333,40,,65.833,1.163
126,2015-07-03,70.0,64.0,40,,67.0,1.096
127,2015-07-06,74.5,68.5,40,,71.5,1.0875
128,2015-07-07,77.0,70.667,40,,73.8335,0.961
129,2015-07-08,77.5,71.0,40,,74.25,0.991
130,2015-07-09,76.667,69.667,40,,73.167,1.009
131,2015-07-10,73.5,67.0,40,,70.25,1.1375
132,2015-07-13,71.0,64.5,40,,67.75,1.1185
133,2015-07-14,73.5,64.5,40,,69.0,1.0975
134,2015-07-15,71.0,64.5,40,,67.75,1.0245
135,2015-07-16,69.5,63.0,40,,66.25,1.0195
136,2015-07-17,68.5,62.0,40,,65.25,0.9625
137,2015-07-20,67.5,62.0,40,,64.75,0.9185
138,2015-07-21,67.333,61.667,40,,64.5,0.961
139,2015-07-22,68.0,62.5,40,,65.25,0.9245
140,2015-07-23,69.0,62.667,40,,65.8335,0.919
141,2015-07-24,68.0,62.5,40,,65.25,0.857
142,2015-07-27,70.0,64.5,40,,67.25,0.847
143,2015-07-28,69.333,64.0,40,,66.6665,0.8635
144,2015-07-29,70.0,64.5,40,,67.25,0.8895
145,2015-07-30,68.0,63.0,40,,65.5,0.833
146,2015-07-31,68.5,63.0,40,,65.75,0.8215
147,2015-08-03,69.5,63.5,40,,66.5,0.816
148,2015-08-04,69.0,63.667,40,,66.3335,0.8195
149,2015-08-05,68.333,63.0,40,,65.6665,0.924
150,2015-08-06,70.5,64.0,40,,67.25,0.889
151,2015-08-07,69.5,63.0,40,,66.25,0.832
152,2015-08-10,69.333,63.333,40,,66.333,0.8685
153,2015-08-11,69.667,64.0,40,,66.8335,0.793
154,2015-08-12,71.0,65.5,40,,68.25,0.775
155,2015-08-13,70.5,65.0,40,,67.75,0.809
156,2015-08-14,70.5,64.5,40,,67.5,0.8295
157,2015-08-17,70.5,64.5,40,,67.5,0.806
158,2015-08-18,71.5,65.0,40,,68.25,0.833
159,2015-08-19,73.5,67.5,40,,70.5,0.826
160,2015-08-20,74.0,68.0,40,,71.0,0.778
161,2015-08-21,74.5,67.0,40,,70.75,0.799
162,2015-08-24,77.5,68.5,40,,73.0,0.795
163,2015-08-25,75.0,67.0,40,,71.0,0.945
164,2015-08-26,73.5,66.5,40,,70.0,0.8995
165,2015-08-27,70.5,64.0,40,,67.25,0.933
166,2015-08-28,70.0,63.5,40,,66.75,0.9055
167,2015-09-01,71.5,65.0,40,,68.25,0.997
168,2015-09-02,70.333,64.0,40,,67.1665,0.991
169,2015-09-03,68.5,62.0,40,,65.25,0.931
170,2015-09-04,69.5,63.5,40,,66.5,0.857
171,2015-09-07,70.0,64.5,40,,67.25,0.864
172,2015-09-08,68.5,63.5,40,,66.0,0.868
173,2015-09-09,66.333,61.0,40,,63.6665,0.884
174,2015-09-10,67.0,61.5,40,,64.25,0.8715
175,2015-09-11,66.0,61.0,40,,63.5,0.836
176,2015-09-14,68.0,63.0,40,,65.5,0.8305
177,2015-09-15,68.5,63.0,40,,65.75,0.916
178,2015-09-16,67.0,62.0,40,,64.5,0.9355
179,2015-09-17,65.5,60.0,40,,62.75,0.944
180,2015-09-18,66.5,61.0,40,,63.75,0.84
181,2015-09-21,68.667,62.667,40,,65.667,0.86
182,2015-09-22,71.0,65.333,40,,68.1665,0.77
183,2015-09-23,70.0,63.5,40,,66.75,0.786
184,2015-09-24,73.5,66.0,40,,69.75,0.7655
185,2015-09-25,74.5,64.5,40,,69.5,0.833
186,2015-09-28,74.5,69.0,40,,71.75,0.804
187,2015-09-29,75.667,70.333,40,,73.0,0.789
188,2015-09-30,72.0,66.5,40,,69.25,0.7805
189,2015-10-01,73.0,66.333,40,,69.6665,0.733
190,2015-10-02,73.667,66.667,40,,70.167,0.6855
191,2015-10-05,69.0,62.0,40,,65.5,0.7465
192,2015-10-06,67.0,62.0,40,,64.5,0.781
193,2015-10-07,66.667,61.333,40,,64.0,0.7885
194,2015-10-08,67.333,61.667,40,,64.5,0.763
195,2015-10-09,65.5,58.5,40,,62.0,0.788
196,2015-10-12,65.5,60.5,40,,63.0,0.757
197,2015-10-13,65.333,59.333,40,,62.333,0.7725
198,2015-10-14,65.667,59.667,40,,62.667,0.715
199,2015-10-15,65.0,60.0,40,,62.5,0.7275
200,2015-10-16,66.0,61.0,40,,63.5,0.7205
201,2015-10-19,66.5,60.0,40,,63.25,0.7345
202,2015-10-20,65.667,58.667,40,,62.167,0.798
203,2015-10-21,66.333,60.0,40,,63.1665,0.741
204,2015-10-22,63.0,58.0,40,,60.5,0.672
205,2015-10-23,62.333,56.333,40,,59.333,0.6675
206,2015-10-26,63.0,56.5,40,,59.75,0.6615
207,2015-10-27,63.333,56.667,40,,60.0,0.61
208,2015-10-28,62.333,55.333,40,,58.833,0.6055
209,2015-10-29,62.0,55.5,40,,58.75,0.6945
210,2015-10-30,61.333,55.333,40,,58.333,0.6995
211,2015-11-02,61.333,54.667,40,,58.0,0.7345
212,2015-11-03,59.667,53.333,40,,56.5,0.7405
