,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,177.705,157.705,40,,167.705,1.754
1,2015-01-02,177.5,160.0,40,,168.75,1.717
2,2015-01-05,181.5,166.5,40,,174.0,1.662
3,2015-01-06,183.333,166.667,40,,175.0,1.58
4,2015-01-07,177.667,163.667,40,,170.667,1.6025
5,2015-01-08,181.25,167.0,40,,174.125,1.642
6,2015-01-09,176.667,163.333,40,,170.0,1.586
7,2015-01-12,175.667,161.667,40,,168.667,1.575
8,2015-01-13,175.0,158.5,40,,166.75,1.591
9,2015-01-14,169.333,157.333,40,,163.333,1.5165
10,2015-01-15,167.0,153.5,40,,160.25,1.5175
11,2015-01-16,164.333,151.667,40,,158.0,1.537
12,2015-01-19,160.667,150.667,40,,155.667,1.5285
13,2015-01-20,158.5,148.5,40,,153.5,1.535
14,2015-01-21,156.667,145.0,40,,150.83350000000002,1.4835
15,2015-01-22,154.333,144.0,40,,149.16649999999998,1.522
16,2015-01-26,145.0,134.0,40,,139.5,1.504
17,2015-01-27,145.667,132.667,40,,139.167,1.4785
18,2015-01-28,144.333,133.0,40,,138.66649999999998,1.458
19,2015-01-29,146.0,136.0,40,,141.0,1.421
20,2015-01-30,149.333,138.667,40,,144.0,1.339
21,2015-02-02,152.5,141.5,40,,147.0,1.383
22,2015-02-03,148.0,137.333,40,,142.66649999999998,1.469
23,2015-02-04,146.0,136.0,40,,141.0,1.534
24,2015-02-05,143.667,133.667,40,,138.667,1.55
25,2015-02-06,144.667,134.667,40,,139.667,1.645
26,2015-02-09,146.0,136.0,40,,141.0,1.611
27,2015-02-10,144.5,134.5,40,,139.5,1.655
28,2015-02-11,145.333,135.333,40,,140.333,1.671
29,2015-02-12,144.0,133.0,40,,138.5,1.669
30,2015-02-13,142.667,132.0,40,,137.33350000000002,1.6755
31,2015-02-16,144.0,133.0,40,,138.5,1.6945
32,2015-02-17,141.5,132.5,40,,137.0,1.7565
