,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,112.537,100.287,40.0,8.959,106.412,1.754
1,2015-01-02,114.5,104.5,40.0,9.197,109.5,1.717
2,2015-01-05,116.0,107.5,40.0,9.363,111.75,1.662
3,2015-01-06,121.0,111.0,40.0,9.697,116.0,1.58
4,2015-01-07,118.333,111.0,40.0,9.586,114.6665,1.6025
5,2015-01-08,125.333,115.333,40.0,10.03,120.333,1.642
6,2015-01-09,125.0,115.667,40.0,10.025,120.3335,1.586
7,2015-01-12,126.0,116.667,40.0,10.089,121.3335,1.575
8,2015-01-13,123.5,114.5,40.0,9.9,119.0,1.591
9,2015-01-14,123.667,115.0,40.0,9.921,119.3335,1.5165
10,2015-01-15,122.0,114.0,40.0,9.811,118.0,1.5175
11,2015-01-16,124.5,114.5,40.0,9.925,119.5,1.537
12,2015-01-19,119.5,111.5,40.0,9.595,115.5,1.5285
13,2015-01-20,118.0,110.0,40.0,9.471,114.0,1.535
14,2015-01-21,116.0,107.5,40.0,9.288,111.75,1.4835
15,2015-01-22,115.0,105.0,40.0,9.118,110.0,1.522
16,2015-01-26,107.667,100.0,40.0,8.638,103.8335,1.504
17,2015-01-27,106.5,97.5,40.0,8.448,102.0,1.4785
18,2015-01-28,107.5,98.5,40.0,8.563,103.0,1.458
19,2015-01-29,109.5,101.0,40.0,8.737,105.25,1.421
20,2015-01-30,111.0,103.5,40.0,8.891,107.25,1.339
21,2015-02-02,110.0,102.0,40.0,8.779,106.0,1.383
22,2015-02-03,106.0,98.0,40.0,8.457,102.0,1.469
23,2015-02-04,105.5,98.0,40.0,8.433,101.75,1.534
24,2015-02-05,104.333,95.667,40.0,8.29,100.0,1.55
25,2015-02-06,103.5,95.5,40.0,8.246,99.5,1.645
26,2015-02-09,105.0,97.0,40.0,8.352,101.0,1.611
27,2015-02-10,104.0,96.0,40.0,8.269,100.0,1.655
28,2015-02-11,103.5,95.25,40.0,8.215,99.375,1.671
29,2015-02-12,102.667,94.333,40.0,8.142,98.5,1.669
30,2015-02-13,101.0,93.5,40.0,8.039,97.25,1.6755
31,2015-02-16,101.0,94.333,40.0,8.059,97.6665,1.6945
32,2015-02-17,100.333,94.667,40.0,8.042,97.5,1.7565
33,2015-02-18,98.5,92.5,40.0,7.879,95.5,1.849
34,2015-02-19,98.0,91.667,40.0,7.823,94.8335,1.8235
35,2015-02-20,98.5,92.5,40.0,7.871,95.5,1.7755
36,2015-02-23,97.333,91.0,40.0,7.754,94.1665,1.806
37,2015-02-24,96.0,89.667,40.0,7.644,92.8335,1.761
38,2015-02-25,96.0,89.5,40.0,7.68,92.75,1.7235
39,2015-02-26,94.667,88.0,40.0,7.518,91.3335,1.729
40,2015-02-27,94.333,87.667,40.0,7.488,91.0,1.7875
41,2015-03-02,94.0,86.333,40.0,7.476,90.1665,1.786
42,2015-03-03,94.333,87.0,40.0,7.446,90.6665,1.8405
43,2015-03-04,93.333,86.0,40.0,7.363,89.6665,1.873
44,2015-03-05,90.333,83.333,40.0,7.135,86.833,1.863
45,2015-03-06,89.333,83.333,40.0,7.091,86.333,1.946
46,2015-03-09,89.667,82.667,40.0,7.067,86.167,1.932
47,2015-03-10,90.0,84.0,40.0,7.13,87.0,1.801
48,2015-03-11,90.667,83.0,40.0,7.113,86.8335,1.808
49,2015-03-12,87.5,81.5,40.0,6.925,84.5,1.7385
50,2015-03-13,88.0,82.333,40.0,6.974,85.1665,1.703
51,2015-03-16,86.667,80.333,40.0,6.831,83.5,1.683
52,2015-03-17,88.667,82.0,40.0,6.972,85.3335,1.677
