,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,213.0,206.0,25.0,,209.5,12.315
2,2015-01-05,228.667,223.333,25.0,,226.0,12.275
3,2015-01-06,224.333,219.333,25.0,,221.833,12.245
4,2015-01-07,215.0,210.5,25.0,,212.75,12.355
5,2015-01-08,209.0,205.0,25.0,,207.0,12.32
6,2015-01-09,205.5,202.5,25.0,,204.0,12.165
7,2015-01-12,213.0,210.0,25.0,,211.5,12.28
8,2015-01-13,208.333,205.0,25.0,,206.66649999999998,12.26
9,2015-01-14,203.5,198.5,25.0,,201.0,12.235
10,2015-01-15,213.5,210.0,25.0,,211.75,12.155
11,2015-01-16,208.0,204.0,25.0,,206.0,12.02
12,2015-01-20,205.333,202.667,25.0,,204.0,11.87
13,2015-01-21,208.5,205.0,25.0,,206.75,11.755
14,2015-01-22,209.073,205.859,25.0,,207.466,11.915
15,2015-01-23,209.073,205.859,25.0,,207.466,11.735
16,2015-01-26,201.5,197.5,25.0,,199.5,11.76
17,2015-01-27,203.0,198.667,25.0,,200.83350000000002,11.755
18,2015-01-28,212.0,208.5,25.0,,210.25,11.805
19,2015-01-29,212.5,208.5,25.0,,210.5,11.83
20,2015-01-30,230.333,226.0,25.0,,228.16649999999998,11.95
21,2015-02-02,236.0,231.667,25.0,,233.83350000000002,12.16
22,2015-02-03,223.0,219.0,25.0,,221.0,12.105
23,2015-02-04,230.333,226.0,25.0,,228.16649999999998,12.185
24,2015-02-05,227.333,223.667,25.0,,225.5,12.35
25,2015-02-06,234.667,230.333,25.0,,232.5,12.46
26,2015-02-09,236.0,232.5,25.0,,234.25,12.59
27,2015-02-10,249.0,245.333,25.0,,247.16649999999998,12.68
28,2015-02-11,256.0,252.0,25.0,,254.0,12.8
29,2015-02-12,243.0,239.333,25.0,,241.16649999999998,12.56
30,2015-02-13,240.0,236.667,25.0,,238.33350000000002,12.5875
32,2015-02-18,231.333,227.667,25.0,,229.5,12.75
33,2015-02-19,238.167,235.5,25.0,,236.83350000000002,12.81
34,2015-02-20,242.667,238.667,25.0,,240.667,12.935
35,2015-02-23,244.667,240.667,25.0,,242.667,12.77
36,2015-02-24,234.5,231.5,25.0,,233.0,12.62
37,2015-02-25,248.0,244.667,25.0,,246.33350000000002,12.695
38,2015-02-26,257.0,252.333,25.0,,254.66649999999998,12.63
39,2015-02-27,243.0,240.0,25.0,,241.5,12.425
40,2015-03-02,242.5,239.5,25.0,,241.0,12.4575
41,2015-03-03,238.667,235.333,25.0,,237.0,12.55
42,2015-03-04,252.0,248.5,25.0,,250.25,12.7485
43,2015-03-05,254.333,251.0,25.0,,252.66649999999998,12.83
44,2015-03-06,258.0,254.333,25.0,,256.1665,12.965
45,2015-03-09,280.0,275.667,25.0,,277.83349999999996,13.33
46,2015-03-10,292.0,287.0,25.0,,289.5,13.215
47,2015-03-11,292.5,288.5,25.0,,290.5,13.185
48,2015-03-12,292.667,288.667,25.0,,290.667,13.365
49,2015-03-13,310.333,305.0,25.0,,307.66650000000004,13.415
50,2015-03-16,311.0,307.0,25.0,,309.0,13.41
51,2015-03-17,306.333,301.667,25.0,,304.0,13.115
52,2015-03-18,289.5,284.5,25.0,,287.0,12.995
53,2015-03-19,308.5,303.5,25.0,,306.0,13.28
54,2015-03-20,298.5,293.0,25.0,,295.75,13.17
55,2015-03-23,290.0,285.5,25.0,,287.75,13.105
56,2015-03-24,282.5,278.0,25.0,,280.25,13.1
57,2015-03-25,290.5,286.5,25.0,,288.5,13.0575
58,2015-03-26,290.0,286.333,25.0,,288.16650000000004,13.21
59,2015-03-27,291.5,287.5,25.0,,289.5,13.225
60,2015-03-30,285.0,281.333,25.0,,283.16650000000004,13.11
61,2015-03-31,283.5,279.5,25.0,,281.5,13.035
62,2015-04-01,272.333,266.333,25.0,,269.333,12.835
63,2015-04-02,265.0,261.0,25.0,,263.0,12.83
65,2015-04-06,258.667,255.333,25.0,,257.0,12.73
66,2015-04-07,257.0,254.0,25.0,,255.5,12.75
67,2015-04-08,236.0,233.0,25.0,,234.5,12.56
68,2015-04-09,239.0,235.333,25.0,,237.16649999999998,12.645
69,2015-04-10,251.0,248.333,25.0,,249.66649999999998,12.535
70,2015-04-13,251.0,248.0,25.0,,249.5,12.62
71,2015-04-14,237.0,232.5,25.0,,234.75,12.49
72,2015-04-15,233.667,230.333,25.0,,232.0,12.49
73,2015-04-16,239.333,236.333,25.0,,237.833,12.57
74,2015-04-17,246.333,242.333,25.0,,244.333,12.605
75,2015-04-20,236.0,232.5,25.0,,234.25,12.6425
77,2015-04-22,231.667,227.667,25.0,,229.667,12.585
78,2015-04-23,223.0,219.333,25.0,,221.16649999999998,12.575
79,2015-04-24,224.667,220.667,25.0,,222.667,12.645
80,2015-04-27,227.5,224.0,25.0,,225.75,12.62
81,2015-04-28,229.0,225.5,25.0,,227.25,12.6675
82,2015-04-29,231.0,228.5,25.0,,229.75,12.645
83,2015-04-30,236.0,232.5,25.0,,234.25,12.78
85,2015-05-04,243.5,239.833,25.0,,241.66649999999998,12.885
86,2015-05-05,237.0,234.333,25.0,,235.66649999999998,12.91
87,2015-05-06,235.5,233.0,25.0,,234.25,12.94
88,2015-05-07,237.5,234.0,25.0,,235.75,12.91
89,2015-05-08,225.333,222.333,25.0,,223.833,12.67
90,2015-05-11,234.5,231.5,25.0,,233.0,12.76
91,2015-05-12,234.5,231.5,25.0,,233.0,12.775
92,2015-05-13,237.0,233.0,25.0,,235.0,12.715
93,2015-05-14,230.667,227.667,25.0,,229.167,12.57
94,2015-05-15,232.5,230.0,25.0,,231.25,12.44
95,2015-05-18,225.5,223.0,25.0,,224.25,12.56
96,2015-05-19,229.667,226.667,25.0,,228.167,12.53
97,2015-05-20,226.0,223.333,25.0,,224.66649999999998,12.41
98,2015-05-21,221.333,218.333,25.0,,219.833,12.355
99,2015-05-22,223.5,220.5,25.0,,222.0,12.3325
100,2015-05-26,235.333,231.667,25.0,,233.5,12.245
101,2015-05-27,231.625,228.625,25.0,,230.125,12.3875
102,2015-05-28,235.0,232.0,25.0,,233.5,12.275
103,2015-05-29,238.167,234.833,25.0,,236.5,12.235
104,2015-06-01,240.667,238.0,25.0,,239.33350000000002,12.29
105,2015-06-02,235.667,233.0,25.0,,234.33350000000002,12.365
106,2015-06-03,239.667,236.667,25.0,,238.167,12.44
108,2015-06-05,252.167,248.833,25.0,,250.5,12.535
109,2015-06-08,250.667,248.0,25.0,,249.33350000000002,12.44
110,2015-06-09,246.667,243.0,25.0,,244.83350000000002,12.435
111,2015-06-10,251.0,248.0,25.0,,249.5,12.665
112,2015-06-11,241.5,238.5,25.0,,240.0,12.685
113,2015-06-12,245.833,242.167,25.0,,244.0,12.595
114,2015-06-15,250.5,247.0,25.0,,248.75,12.76
115,2015-06-16,249.5,245.5,25.0,,247.5,12.715
116,2015-06-17,241.0,238.333,25.0,,239.66649999999998,12.65
117,2015-06-18,235.0,232.5,25.0,,233.75,12.56
118,2015-06-19,244.333,241.0,25.0,,242.66649999999998,12.6
119,2015-06-22,254.0,250.5,25.0,,252.25,12.5325
120,2015-06-23,250.5,248.0,25.0,,249.25,12.515
121,2015-06-24,258.0,254.0,25.0,,256.0,12.53
122,2015-06-25,259.5,257.0,25.0,,258.25,12.7025
123,2015-06-26,260.5,256.5,25.0,,258.5,12.565
124,2015-06-29,270.333,267.667,25.0,,269.0,12.6375
125,2015-06-30,262.0,258.5,25.0,,260.25,12.61
126,2015-07-01,260.333,257.0,25.0,,258.66650000000004,12.66
127,2015-07-02,254.5,251.5,25.0,,253.0,12.5
128,2015-07-03,253.91,251.41,25.0,,252.66,12.5175
129,2015-07-06,262.667,259.667,25.0,,261.167,12.61
130,2015-07-07,268.0,264.5,25.0,,266.25,12.59
131,2015-07-08,269.0,266.333,25.0,,267.66650000000004,12.64
133,2015-07-10,257.0,253.667,25.0,,255.33350000000002,12.6
134,2015-07-13,252.5,249.5,25.0,,251.0,12.59
135,2015-07-14,255.0,252.333,25.0,,253.66649999999998,12.57
136,2015-07-15,263.667,260.667,25.0,,262.167,12.51
137,2015-07-16,258.333,256.0,25.0,,257.16650000000004,12.58
138,2015-07-17,267.5,264.5,25.0,,266.0,12.58
139,2015-07-20,276.667,274.0,25.0,,275.33349999999996,12.51
140,2015-07-21,266.5,264.0,25.0,,265.25,12.325
141,2015-07-22,275.5,272.0,25.0,,273.75,12.45
142,2015-07-23,292.333,289.333,25.0,,290.833,13.04
143,2015-07-24,299.333,295.667,25.0,,297.5,13.085
144,2015-07-27,302.0,299.0,25.0,,300.5,13.055
145,2015-07-28,291.0,287.667,25.0,,289.33349999999996,13.075
146,2015-07-29,283.125,279.875,25.0,,281.5,13.145
147,2015-07-30,287.333,285.0,25.0,,286.16650000000004,12.99
148,2015-07-31,294.5,290.5,25.0,,292.5,12.96
149,2015-08-03,302.75,299.25,25.0,,301.0,13.165
150,2015-08-04,305.25,301.75,25.0,,303.5,13.165
151,2015-08-05,307.0,304.0,25.0,,305.5,13.34
152,2015-08-06,333.5,329.0,25.0,,331.25,13.74
153,2015-08-07,333.667,329.667,25.0,,331.667,13.8
154,2015-08-10,319.5,316.5,25.0,,318.0,13.69
155,2015-08-11,310.333,305.667,25.0,,308.0,13.67
156,2015-08-12,306.5,303.0,25.0,,304.75,13.455
157,2015-08-13,311.5,309.0,25.0,,310.25,13.505
158,2015-08-14,307.333,303.333,25.0,,305.333,13.545
159,2015-08-17,309.0,305.5,25.0,,307.25,13.67
160,2015-08-18,314.0,310.5,25.0,,312.25,13.67
161,2015-08-19,325.0,320.5,25.0,,322.75,13.725
162,2015-08-20,329.5,324.0,25.0,,326.75,13.79
163,2015-08-21,348.0,343.0,25.0,,345.5,13.945
164,2015-08-24,364.5,360.0,25.0,,362.25,14.145
165,2015-08-25,356.25,351.25,25.0,,353.75,14.145
166,2015-08-26,343.5,339.0,25.0,,341.25,13.96
167,2015-08-27,326.5,322.0,25.0,,324.25,13.915
168,2015-08-28,336.5,332.5,25.0,,334.5,13.845
169,2015-08-31,352.5,348.0,25.0,,350.25,14.26
170,2015-09-01,369.5,364.5,25.0,,367.0,14.535
171,2015-09-02,381.0,376.5,25.0,,378.75,14.775
172,2015-09-03,373.0,369.0,25.0,,371.0,14.755
173,2015-09-04,384.5,379.5,25.0,,382.0,15.145
174,2015-09-08,375.667,371.333,25.0,,373.5,14.96
175,2015-09-09,373.5,370.0,25.0,,371.75,14.945
176,2015-09-10,393.333,388.333,25.0,,390.833,15.36
177,2015-09-11,402.5,397.5,25.0,,400.0,15.3
178,2015-09-14,387.333,382.333,25.0,,384.833,15.175
179,2015-09-15,384.0,379.0,25.0,,381.5,15.13
180,2015-09-16,376.5,371.5,25.0,,374.0,15.15
181,2015-09-17,381.75,376.25,25.0,,379.0,15.345
182,2015-09-18,397.25,392.75,25.0,,395.0,15.87
183,2015-09-21,429.833,424.167,25.0,,427.0,15.91
184,2015-09-22,465.667,459.333,25.0,,462.5,16.23
185,2015-09-23,486.5,479.5,25.0,,483.0,16.83
186,2015-09-24,483.333,476.0,25.0,,479.66650000000004,16.7495
187,2015-09-25,501.5,493.5,25.0,,497.5,16.7495
188,2015-09-28,542.5,532.5,25.0,,537.5,16.7495
189,2015-09-29,533.0,526.0,25.0,,529.5,16.01
190,2015-09-30,480.5,473.5,25.0,,477.0,15.45
191,2015-10-01,468.5,458.5,25.0,,463.5,15.52
192,2015-10-02,442.0,433.333,25.0,,437.66650000000004,15.21
193,2015-10-05,416.0,410.0,25.0,,413.0,15.21
194,2015-10-06,412.0,406.0,25.0,,409.0,15.225
195,2015-10-07,457.5,447.5,25.0,,452.5,15.55
196,2015-10-08,426.0,418.667,25.0,,422.33349999999996,15.37
197,2015-10-09,420.0,412.0,25.0,,416.0,15.66
198,2015-10-13,453.5,446.0,25.0,,449.75,15.97
199,2015-10-14,454.333,446.333,25.0,,450.333,16.055
200,2015-10-15,431.0,425.0,25.0,,428.0,15.75
201,2015-10-16,445.0,437.667,25.0,,441.33349999999996,15.79
202,2015-10-19,461.5,456.5,25.0,,459.0,15.82
203,2015-10-20,485.667,479.0,25.0,,482.33349999999996,15.78
204,2015-10-21,482.333,476.667,25.0,,479.5,15.77
205,2015-10-22,465.0,458.333,25.0,,461.66650000000004,15.8
206,2015-10-23,456.0,451.0,25.0,,453.5,15.93
207,2015-10-26,453.0,447.333,25.0,,450.16650000000004,15.875
208,2015-10-27,444.667,440.0,25.0,,442.33349999999996,15.685
209,2015-10-28,450.0,444.0,25.0,,447.0,15.805
210,2015-10-29,447.0,441.5,25.0,,444.25,15.885
211,2015-10-30,439.333,435.333,25.0,,437.333,15.88
213,2015-11-03,392.0,386.333,25.0,,389.16650000000004,15.69
214,2015-11-04,395.0,390.0,25.0,,392.5,15.56
215,2015-11-05,403.333,397.667,25.0,,400.5,15.52
