,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,17.25,15.25,40.0,,16.25,0.4955
2,2015-01-05,17.833,15.167,40.0,,16.5,0.5105
3,2015-01-06,17.5,16.0,40.0,,16.75,0.45
4,2015-01-07,17.5,16.0,40.0,,16.75,0.4685
5,2015-01-08,17.667,15.667,40.0,,16.667,0.5105
6,2015-01-09,17.667,15.667,40.0,,16.667,0.4785
7,2015-01-12,17.667,15.667,40.0,,16.667,0.4775
8,2015-01-13,17.667,16.0,40.0,,16.8335,0.4745
9,2015-01-14,17.5,16.0,40.0,,16.75,0.4295
10,2015-01-15,17.5,15.5,40.0,,16.5,0.4125
11,2015-01-16,18.0,15.333,40.0,,16.6665,0.455
12,2015-01-19,18.0,15.333,40.0,,16.6665,0.4385
13,2015-01-20,17.5,15.5,40.0,,16.5,0.4485
14,2015-01-21,17.75,16.25,40.0,,17.0,0.5165
15,2015-01-22,18.5,15.5,40.0,,17.0,0.4475
16,2015-01-23,18.5,15.5,40.0,,17.0,0.36
17,2015-01-26,18.0,15.667,40.0,,16.8335,0.3915
18,2015-01-27,18.0,15.667,40.0,,16.8335,0.3825
19,2015-01-28,17.667,15.0,40.0,,16.3335,0.3535
20,2015-01-29,17.5,15.0,40.0,,16.25,0.355
21,2015-01-30,17.667,15.5,40.0,,16.5835,0.3115
22,2015-02-02,17.5,15.5,40.0,,16.5,0.3065
23,2015-02-03,17.667,15.667,40.0,,16.667,0.3455
24,2015-02-04,17.667,15.667,40.0,,16.667,0.3635
25,2015-02-05,17.667,15.667,40.0,,16.667,0.37
26,2015-02-06,17.333,15.667,40.0,,16.5,0.3725
27,2015-02-09,17.667,15.667,40.0,,16.667,0.353
28,2015-02-10,17.667,15.667,40.0,,16.667,0.368
29,2015-02-11,17.667,15.667,40.0,,16.667,0.3565
30,2015-02-12,17.667,15.667,40.0,,16.667,0.3235
31,2015-02-13,17.667,15.667,40.0,,16.667,0.3415
32,2015-02-16,17.5,15.5,40.0,,16.5,0.345
33,2015-02-17,17.333,15.333,40.0,,16.333,0.368
34,2015-02-18,17.5,16.0,40.0,,16.75,0.3815
35,2015-02-19,17.667,15.667,40.0,,16.667,0.3795
36,2015-02-20,17.667,15.667,40.0,,16.667,0.3705
37,2015-02-23,17.0,15.5,40.0,,16.25,0.3645
38,2015-02-24,17.125,15.375,40.0,,16.25,0.3725
39,2015-02-25,17.0,15.333,40.0,,16.1665,0.3305
40,2015-02-26,16.667,14.667,40.0,,15.667000000000002,0.2995
41,2015-02-27,16.5,14.833,40.0,,15.6665,0.3215
42,2015-03-02,16.667,14.667,40.0,,15.667000000000002,0.3535
43,2015-03-03,16.333,14.333,40.0,,15.332999999999998,0.3635
44,2015-03-04,16.333,14.667,40.0,,15.5,0.379
45,2015-03-05,16.5,14.5,40.0,,15.5,0.356
46,2015-03-06,15.5,14.0,40.0,,14.75,0.398
47,2015-03-09,16.333,14.333,40.0,,15.332999999999998,0.3065
48,2015-03-10,15.5,14.0,40.0,,14.75,0.236
49,2015-03-11,15.667,14.0,40.0,,14.8335,0.202
50,2015-03-12,15.833,13.833,40.0,,14.833,0.246
51,2015-03-13,15.5,13.833,40.0,,14.6665,0.257
52,2015-03-16,15.5,13.833,40.0,,14.6665,0.2765
53,2015-03-17,16.167,14.167,40.0,,15.167000000000002,0.279
54,2015-03-18,16.25,14.25,40.0,,15.25,0.193
55,2015-03-19,16.333,14.333,40.0,,15.332999999999998,0.1865
56,2015-03-20,16.5,14.5,40.0,,15.5,0.1835
57,2015-03-23,16.0,14.333,40.0,,15.1665,0.2175
58,2015-03-24,16.0,14.333,40.0,,15.1665,0.2325
59,2015-03-25,16.5,14.5,40.0,,15.5,0.218
60,2015-03-26,16.5,14.5,40.0,,15.5,0.2165
61,2015-03-27,16.333,14.333,40.0,,15.332999999999998,0.2075
62,2015-03-30,16.5,15.0,40.0,,15.75,0.2125
63,2015-03-31,16.5,14.5,40.0,,15.5,0.183
64,2015-04-01,16.667,14.667,40.0,,15.667000000000002,0.17
65,2015-04-02,16.5,15.0,40.0,,15.75,0.1815
66,2015-04-07,16.0,14.5,40.0,,15.25,0.1855
67,2015-04-08,16.333,14.333,40.0,,15.332999999999998,0.1655
68,2015-04-09,16.5,14.0,40.0,,15.25,0.156
69,2015-04-10,16.333,14.333,40.0,,15.332999999999998,0.1545
70,2015-04-13,15.75,14.25,40.0,,15.0,0.1555
71,2015-04-14,16.5,15.0,40.0,,15.75,0.138
72,2015-04-15,16.0,14.0,40.0,,15.0,0.1075
73,2015-04-16,16.5,14.5,40.0,,15.5,0.0835
