,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-05,6064.15,4123.333,34.0,98.3,5093.7415,9.455
3,2015-01-07,1639.14,1371.886,36.4,71.26,1505.513,10.419
4,2015-01-08,1531.483,1285.016,38.8,70.221,1408.2495,9.985
5,2015-01-09,1567.64,1314.384,38.8,71.033,1441.0120000000002,9.9805
6,2015-01-12,1466.275,1258.673,38.8,68.951,1362.4740000000002,9.34
7,2015-01-13,1432.879,1230.59,38.8,68.102,1331.7345,8.9985
8,2015-01-14,1416.915,1217.132,35.65,67.682,1317.0235,8.804
9,2015-01-15,1340.045,1176.987,35.95,64.325,1258.516,8.9215
10,2015-01-16,1366.48,1200.141,36.76,65.491,1283.3105,9.3115
11,2015-01-19,1342.19,1178.866,36.76,64.774,1260.528,9.319
12,2015-01-20,1372.325,1205.123,40.0,67.496,1288.7240000000002,9.476
13,2015-01-21,1344.037,1180.445,40.0,66.716,1262.241,9.3345
14,2015-01-22,1345.497,1181.701,37.0,64.941,1263.5990000000002,9.129
15,2015-01-26,1377.32,1158.299,40.0,66.777,1267.8094999999998,8.7455
16,2015-01-27,1539.88,1292.258,39.16,70.277,1416.069,9.5265
17,2015-01-28,1724.622,1440.711,39.16,74.214,1582.6665,10.512
18,2015-01-29,1761.984,1470.275,33.0,71.523,1616.1295,10.2905
19,2015-01-30,1850.195,1539.117,40.0,73.195,1694.656,11.068
20,2015-02-02,1847.939,1537.527,37.0,75.251,1692.7330000000002,11.1185
21,2015-02-03,1646.269,1440.132,37.0,71.981,1543.2005,9.616
22,2015-02-04,1614.171,1352.661,35.5,69.691,1483.4160000000002,9.763
23,2015-02-05,1650.882,1382.221,37.0,71.316,1516.5515,9.754
24,2015-02-06,1730.97,1511.241,37.0,73.658,1621.1055000000001,10.137
25,2015-02-09,2064.954,1702.908,35.5,77.951,1883.931,11.058
26,2015-02-10,1806.688,1610.003,35.5,74.593,1708.3455,10.2455
27,2015-02-11,2017.45,1706.123,31.0,75.218,1861.7865000000002,10.6965
28,2015-02-12,1874.996,1594.132,31.0,72.72,1734.564,10.265
29,2015-02-13,1630.053,1395.497,38.4,71.87,1512.775,8.998
30,2015-02-16,1863.145,1549.799,31.6,72.373,1706.472,9.3455
31,2015-02-17,1878.925,1597.498,40.0,77.53,1738.2115,10.0595
32,2015-02-18,1795.777,1530.885,40.0,76.018,1663.3310000000001,9.8275
33,2015-02-19,1771.707,1545.485,40.0,75.904,1658.596,9.838
34,2015-02-20,1753.431,1530.283,34.4,72.411,1641.857,9.7445
36,2015-02-24,1434.562,1258.946,34.4,65.143,1346.754,8.502
37,2015-02-25,1463.772,1284.325,34.4,65.861,1374.0484999999999,8.719
38,2015-02-26,1496.767,1312.799,34.4,66.651,1404.783,9.0425
39,2015-02-27,1568.499,1374.262,36.0,69.223,1471.3805,9.3605
40,2015-03-02,1501.146,1316.554,36.0,67.58,1408.85,9.554
41,2015-03-03,1471.455,1290.898,36.0,66.834,1381.1765,9.3795
42,2015-03-04,1505.922,1320.6,36.0,67.653,1413.261,9.5155
43,2015-03-05,1505.628,1320.388,36.0,67.628,1413.0079999999998,9.465
44,2015-03-06,1472.955,1292.231,36.0,66.808,1382.5929999999998,9.2835
45,2015-03-09,1654.757,1447.658,36.0,70.93,1551.2075,9.9065
46,2015-03-10,1653.959,1447.011,38.4,70.895,1550.4850000000001,10.111
47,2015-03-11,1771.064,1545.492,38.4,74.611,1658.278,10.56
48,2015-03-12,1691.707,1478.966,31.6,69.258,1585.3365,10.414
49,2015-03-13,1792.004,1563.029,36.0,73.641,1677.5165,10.5075
