,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,191.0,178.5,25.0,,184.75,7.96
1,2015-01-02,191.0,181.0,25.0,,186.0,8.02
2,2015-01-05,196.0,192.0,25.0,,194.0,7.81
3,2015-01-06,196.667,193.0,25.0,,194.83350000000002,7.72
4,2015-01-07,191.667,187.333,25.0,,189.5,7.59
5,2015-01-08,186.0,182.667,25.0,,184.33350000000002,7.43
6,2015-01-09,190.0,186.0,25.0,,188.0,7.37
7,2015-01-12,189.667,186.0,25.0,,187.83350000000002,7.32
8,2015-01-13,183.0,179.0,25.0,,181.0,7.22
9,2015-01-14,179.5,176.0,25.0,,177.75,7.11
10,2015-01-15,180.0,176.667,25.0,,178.33350000000002,7.07
11,2015-01-16,186.667,183.0,25.0,,184.83350000000002,7.26
12,2015-01-19,187.5,183.5,25.0,,185.5,7.12
13,2015-01-20,187.5,183.5,25.0,,185.5,7.12
14,2015-01-21,187.0,183.0,25.0,,185.0,7.12
15,2015-01-23,179.0,183.0,,,181.0,6.94
16,2015-01-26,181.833,178.5,25.0,,180.16649999999998,7.0
17,2015-01-27,182.333,179.0,25.0,,180.66649999999998,6.96
18,2015-01-28,182.333,179.333,25.0,,180.833,6.97
19,2015-01-29,188.0,184.667,25.0,,186.33350000000002,7.21
20,2015-01-30,194.667,190.0,25.0,,192.33350000000002,7.15
21,2015-02-02,189.0,185.5,25.0,,187.25,7.16
22,2015-02-03,185.333,182.0,25.0,,183.66649999999998,7.28
23,2015-02-04,192.0,188.5,25.0,,190.25,7.5
24,2015-02-05,188.5,185.5,25.0,,187.0,7.53
25,2015-02-06,197.0,194.0,25.0,,195.5,7.56
26,2015-02-09,202.25,198.25,25.0,,200.25,8.0
27,2015-02-10,206.833,203.167,25.0,,205.0,7.95
28,2015-02-11,203.0,200.0,25.0,,201.5,7.9
29,2015-02-12,191.333,188.0,25.0,,189.66649999999998,7.71
30,2015-02-13,190.667,187.667,25.0,,189.167,7.65
31,2015-02-17,189.0,185.5,25.0,,187.25,7.72
32,2015-02-18,190.0,187.5,25.0,,188.75,7.83
33,2015-02-19,187.667,185.0,25.0,,186.33350000000002,7.77
34,2015-02-20,188.5,185.5,25.0,,187.0,7.86
35,2015-02-23,189.333,186.333,25.0,,187.833,7.96
36,2015-02-24,188.0,185.0,25.0,,186.5,7.88
37,2015-02-25,192.333,189.333,25.0,,190.833,8.05
38,2015-02-26,192.0,188.5,25.0,,190.25,8.23
39,2015-02-27,204.5,200.5,25.0,,202.5,8.45
40,2015-03-02,203.333,199.667,25.0,,201.5,8.34
41,2015-03-03,204.0,201.333,25.0,,202.66649999999998,8.24
42,2015-03-04,212.0,208.5,25.0,,210.25,8.27
43,2015-03-05,217.667,214.0,25.0,,215.83350000000002,8.22
44,2015-03-06,221.5,218.5,25.0,,220.0,8.28
45,2015-03-09,221.667,217.333,25.0,,219.5,8.3
46,2015-03-10,229.5,226.0,25.0,,227.75,8.41
47,2015-03-11,220.5,218.0,25.0,,219.25,8.33
48,2015-03-12,217.0,213.333,25.0,,215.16649999999998,8.3
49,2015-03-13,222.167,219.167,25.0,,220.667,8.53
50,2015-03-16,215.667,212.333,25.0,,214.0,8.55
51,2015-03-17,211.0,207.5,25.0,,209.25,8.42
52,2015-03-18,212.0,208.5,25.0,,210.25,8.33
53,2015-03-19,209.5,206.5,25.0,,208.0,8.15
54,2015-03-20,210.5,207.0,25.0,,208.75,8.12
55,2015-03-23,207.0,204.0,25.0,,205.5,8.08
56,2015-03-24,212.667,209.333,25.0,,211.0,8.16
57,2015-03-25,216.333,213.0,25.0,,214.66649999999998,8.27
58,2015-03-26,221.667,218.0,25.0,,219.83350000000002,8.55
59,2015-03-27,219.667,216.0,25.0,,217.83350000000002,8.43
60,2015-03-30,220.0,216.667,25.0,,218.33350000000002,8.41
61,2015-03-31,220.0,214.333,25.0,,217.16649999999998,8.38
62,2015-04-01,217.5,214.5,25.0,,216.0,8.33
63,2015-04-02,218.5,214.5,25.0,,216.5,8.22
64,2015-04-07,216.667,213.0,25.0,,214.83350000000002,8.04
65,2015-04-08,209.0,206.0,25.0,,207.5,8.19
66,2015-04-09,212.333,208.667,25.0,,210.5,8.23
67,2015-04-10,216.333,212.667,25.0,,214.5,8.24
68,2015-04-13,220.0,216.333,25.0,,218.16649999999998,8.55
69,2015-04-14,224.333,218.333,25.0,,221.333,8.71
70,2015-04-15,236.0,232.0,25.0,,234.0,8.81
71,2015-04-16,234.0,230.0,25.0,,232.0,8.89
72,2015-04-17,232.5,229.0,25.0,,230.75,8.95
73,2015-04-20,235.5,232.0,25.0,,233.75,8.92
74,2015-04-21,231.667,228.333,25.0,,230.0,8.87
75,2015-04-22,233.333,230.333,25.0,,231.833,9.07
77,2015-04-24,231.0,227.5,25.0,,229.25,9.205
78,2015-04-27,223.333,220.0,25.0,,221.66649999999998,9.45
79,2015-04-28,220.5,218.0,25.0,,219.25,9.37
