,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,18.766,13.766,40.0,1.423,16.266,2.11315
2,2015-01-05,19.0,14.0,40.0,1.441,16.5,2.03285
3,2015-01-06,19.0,14.0,40.0,1.44,16.5,1.93755
4,2015-01-07,19.0,14.0,40.0,1.44,16.5,1.96855
5,2015-01-08,19.0,14.0,40.0,1.439,16.5,2.017
6,2015-01-09,19.0,14.0,40.0,1.438,16.5,1.9484
7,2015-01-12,19.0,14.0,40.0,1.436,16.5,1.90785
8,2015-01-13,19.0,14.0,40.0,1.435,16.5,1.90425
9,2015-01-14,19.0,14.0,40.0,1.434,16.5,1.85445
10,2015-01-15,19.0,14.0,40.0,1.434,16.5,1.72665
11,2015-01-16,19.0,14.0,40.0,1.433,16.5,1.82995
13,2015-01-20,19.0,14.0,40.0,1.43,16.5,1.7897
14,2015-01-21,19.0,14.0,40.0,1.429,16.5,1.87435
15,2015-01-22,19.0,14.0,40.0,1.428,16.5,1.8708
16,2015-01-26,19.0,14.0,40.0,1.425,16.5,1.8275
17,2015-01-27,19.0,14.0,40.0,1.425,16.5,1.8265
18,2015-01-28,19.0,14.0,40.0,1.424,16.5,1.71815
19,2015-01-29,19.0,14.0,40.0,1.423,16.5,1.75545
20,2015-01-30,19.0,14.0,40.0,1.422,16.5,1.63735
21,2015-02-02,19.0,14.0,40.0,1.42,16.5,1.6726
22,2015-02-03,19.0,14.0,40.0,1.419,16.5,1.79745
23,2015-02-04,19.0,14.0,40.0,1.419,16.5,1.74615
24,2015-02-05,19.0,14.0,40.0,1.418,16.5,1.81615
25,2015-02-06,19.0,14.0,40.0,1.417,16.5,1.95755
26,2015-02-09,19.0,14.0,40.0,1.415,16.5,1.97665
27,2015-02-10,19.0,14.0,40.0,1.414,16.5,2.00195
28,2015-02-11,19.0,14.0,40.0,1.413,16.5,2.02025
29,2015-02-12,19.0,14.0,40.0,1.413,16.5,1.987
30,2015-02-13,19.0,14.0,40.0,1.412,16.5,2.046
32,2015-02-17,19.0,14.0,40.0,1.409,16.5,2.144
33,2015-02-18,19.0,14.0,40.0,1.408,16.5,2.0844
34,2015-02-19,18.766,13.766,40.0,1.387,16.266,2.1212
35,2015-02-20,18.741,13.741,40.0,1.385,16.241,2.1143
36,2015-02-23,19.5,14.5,40.0,1.447,17.0,2.06005
37,2015-02-24,19.5,14.5,40.0,1.446,17.0,1.97135
38,2015-02-25,19.5,14.5,40.0,1.445,17.0,1.97135
39,2015-02-26,19.5,14.5,40.0,1.444,17.0,2.0304
40,2015-02-27,19.5,14.5,40.0,1.443,17.0,1.99475
41,2015-03-02,19.5,14.5,40.0,1.441,17.0,2.08815
42,2015-03-03,19.5,14.5,40.0,1.44,17.0,2.12155
43,2015-03-04,19.5,14.5,40.0,1.44,17.0,2.11805
44,2015-03-05,19.5,14.5,40.0,1.439,17.0,2.1163
45,2015-03-06,19.5,14.5,40.0,1.438,17.0,2.24585
46,2015-03-09,19.5,14.5,40.0,1.436,17.0,2.1907
47,2015-03-10,19.5,14.5,40.0,1.435,17.0,2.12
48,2015-03-11,19.5,14.5,40.0,1.434,17.0,2.1077
49,2015-03-12,19.5,14.5,40.0,1.433,17.0,2.10945
50,2015-03-13,19.5,14.5,40.0,1.433,17.0,2.1166
51,2015-03-16,19.5,14.5,40.0,1.43,17.0,2.0726
52,2015-03-17,19.5,14.5,40.0,1.43,17.0,2.05155
53,2015-03-18,19.5,14.5,40.0,1.429,17.0,1.91735
54,2015-03-19,19.5,14.5,40.0,1.428,17.0,1.9694
55,2015-03-20,19.5,14.5,40.0,1.499,17.0,1.93115
56,2015-03-24,19.5,14.5,40.0,1.495,17.0,1.87225
57,2015-03-25,19.5,14.5,40.0,1.495,17.0,1.92585
58,2015-03-26,19.5,14.5,40.0,1.494,17.0,1.99555
59,2015-03-27,19.5,14.5,40.0,1.493,17.0,1.95885
60,2015-03-30,19.5,14.5,40.0,1.491,17.0,1.95185
61,2015-03-31,19.5,14.5,40.0,1.49,17.0,1.92575
62,2015-04-01,19.5,14.5,40.0,1.489,17.0,1.85815
63,2015-04-02,19.5,14.5,40.0,1.488,17.0,1.91175
64,2015-04-07,19.5,14.5,40.0,1.485,17.0,1.8856
