,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-05,27.5,17.5,40,,22.5,2.03285
2,2015-01-06,27.5,17.5,40,,22.5,1.93755
3,2015-01-07,27.5,17.5,40,,22.5,1.96855
4,2015-01-08,27.5,17.5,40,,22.5,2.017
5,2015-01-09,27.5,17.5,40,,22.5,1.9484
6,2015-01-12,27.5,17.5,40,,22.5,1.90785
7,2015-01-13,28.0,18.0,40,,23.0,1.90425
8,2015-01-14,29.0,19.0,40,,24.0,1.85445
9,2015-01-15,28.0,18.0,40,,23.0,1.72665
10,2015-01-16,28.0,18.0,40,,23.0,1.82995
11,2015-01-20,28.0,18.0,40,,23.0,1.7897
12,2015-01-21,28.0,18.0,40,,23.0,1.87435
13,2015-01-26,26.5,16.5,40,,21.5,1.8275
14,2015-01-27,27.0,17.0,40,,22.0,1.8265
15,2015-01-28,26.5,16.5,40,,21.5,1.71815
16,2015-01-29,26.5,16.5,40,,21.5,1.75545
17,2015-01-30,27.0,17.0,40,,22.0,1.63735
18,2015-02-02,27.0,17.0,40,,22.0,1.6726
19,2015-02-03,27.0,17.0,40,,22.0,1.79745
20,2015-02-04,24.0,14.0,40,,19.0,1.74615
21,2015-02-05,24.0,14.0,40,,19.0,1.81615
22,2015-02-06,22.5,10.5,40,,16.5,1.95755
23,2015-02-09,24.0,14.0,40,,19.0,1.97665
24,2015-02-10,25.0,17.5,40,,21.25,2.00195
25,2015-02-11,24.5,14.5,40,,19.5,2.02025
26,2015-02-12,24.5,14.5,40,,19.5,1.987
27,2015-02-13,24.5,14.5,40,,19.5,2.046
28,2015-02-17,24.0,14.0,40,,19.0,2.144
29,2015-02-18,24.0,14.0,40,,19.0,2.0844
30,2015-02-19,24.0,14.0,40,,19.0,2.1212
31,2015-02-20,24.0,14.0,40,,19.0,2.1143
32,2015-02-23,24.5,14.5,40,,19.5,2.06005
33,2015-02-24,24.896,14.896,40,,19.896,1.97135
34,2015-02-25,24.0,14.0,40,,19.0,1.97135
35,2015-02-26,24.5,14.5,40,,19.5,2.0304
36,2015-02-27,23.0,13.0,40,,18.0,1.99475
37,2015-03-02,23.0,13.0,40,,18.0,2.08815
38,2015-03-03,23.5,13.5,40,,18.5,2.12155
39,2015-03-04,23.5,13.5,40,,18.5,2.11805
40,2015-03-05,23.5,13.5,40,,18.5,2.1163
41,2015-03-06,23.394,13.394,40,,18.394,2.24585
42,2015-03-09,23.0,13.0,40,,18.0,2.1907
43,2015-03-10,23.5,13.5,40,,18.5,2.12
44,2015-03-11,23.5,13.5,40,,18.5,2.1077
45,2015-03-12,23.5,13.5,40,,18.5,2.10945
46,2015-03-13,24.5,17.0,40,,20.75,2.1166
47,2015-03-16,23.0,13.0,40,,18.0,2.0726
48,2015-03-17,23.0,13.0,40,,18.0,2.05155
49,2015-03-18,23.5,13.5,40,,18.5,1.91735
50,2015-03-19,20.0,10.0,40,,15.0,1.9694
51,2015-03-20,22.5,12.5,40,,17.5,1.93115
52,2015-03-23,22.5,12.5,40,,17.5,1.90855
53,2015-03-24,22.5,12.5,40,,17.5,1.87225
54,2015-03-25,20.0,10.0,40,,15.0,1.92585
55,2015-03-27,20.0,10.0,40,,15.0,1.95885
56,2015-03-31,24.893,14.893,40,,19.893,1.92575
57,2015-04-01,24.892,14.892,40,,19.892,1.85815
58,2015-04-02,24.5,17.0,40,,20.75,1.91175
59,2015-04-06,20.0,10.0,40,,15.0,1.8978
60,2015-04-07,20.0,10.0,40,,15.0,1.8856
61,2015-04-08,22.5,12.5,40,,17.5,1.9047
62,2015-04-09,20.0,10.0,40,,15.0,1.9622
63,2015-04-10,22.5,12.5,40,,17.5,1.9482
64,2015-04-13,22.5,12.5,40,,17.5,1.92895
65,2015-04-14,21.667,11.667,40,,16.667,1.8993
66,2015-04-15,20.0,10.0,40,,15.0,1.88885
67,2015-04-16,22.5,12.5,40,,17.5,1.89405
68,2015-04-17,22.5,12.5,40,,17.5,1.8644
69,2015-04-20,22.5,12.5,40,,17.5,1.88525
70,2015-04-21,20.0,10.0,40,,15.0,1.9096
71,2015-04-22,20.0,10.0,40,,15.0,1.9814
72,2015-04-23,20.0,10.0,40,,15.0,1.95245
73,2015-04-24,20.0,10.0,40,,15.0,1.913
74,2015-04-27,23.0,14.667,40,,18.8335,1.9252
75,2015-04-28,21.667,11.667,40,,16.667,2.0025
76,2015-04-29,22.5,12.5,40,,17.5,2.04495
77,2015-04-30,22.5,12.5,40,,17.5,2.03435
78,2015-05-01,22.5,12.5,40,,17.5,2.1108
79,2015-05-04,22.5,12.5,40,,17.5,2.1449
80,2015-05-05,22.5,12.5,40,,17.5,2.1808
81,2015-05-06,22.5,12.5,40,,17.5,2.2513
82,2015-05-07,22.5,12.5,40,,17.5,2.1773
83,2015-05-08,24.899,14.899,40,,19.899,2.1415
84,2015-05-11,21.667,11.667,40,,16.667,2.2861
85,2015-05-12,20.0,10.0,40,,15.0,2.2462
86,2015-05-13,22.5,12.5,40,,17.5,2.29355
87,2015-05-14,22.5,12.5,40,,17.5,2.2345
88,2015-05-15,22.397,12.397,40,,17.397,2.1468
89,2015-05-18,22.5,12.5,40,,17.5,2.23285
90,2015-05-19,20.0,10.0,40,,15.0,2.28855
91,2015-05-20,22.5,12.5,40,,17.5,2.25585
92,2015-05-21,22.5,12.5,40,,17.5,2.19415
93,2015-05-22,20.0,10.0,40,,15.0,2.2127
94,2015-05-26,22.5,12.5,40,,17.5,2.14155
95,2015-05-27,21.667,11.667,40,,16.667,2.12935
96,2015-05-28,20.0,10.0,40,,15.0,2.13455
97,2015-05-29,21.667,11.667,40,,16.667,2.1223
98,2015-06-01,21.667,11.667,40,,16.667,2.182
99,2015-06-02,22.5,12.5,40,,17.5,2.2651
100,2015-06-03,22.5,12.5,40,,17.5,2.3597
101,2015-06-04,20.0,10.0,40,,15.0,2.3079
102,2015-06-05,24.968,14.968,40,,19.968,2.4085
103,2015-06-09,20.0,10.0,40,,15.0,2.4411
104,2015-06-10,20.0,10.0,40,,15.0,2.48475
105,2015-06-11,20.0,10.0,40,,15.0,2.3799
106,2015-06-12,20.0,10.0,40,,15.0,2.3891
107,2015-06-15,20.0,10.0,40,,15.0,2.3586
108,2015-06-16,20.0,10.0,40,,15.0,2.3084
109,2015-06-17,20.0,10.0,40,,15.0,2.3192
110,2015-06-18,20.0,10.0,40,,15.0,2.3336
111,2015-06-19,22.5,12.5,40,,17.5,2.26035
112,2015-06-22,22.5,12.5,40,,17.5,2.3734
113,2015-06-23,22.5,12.5,40,,17.5,2.4132
114,2015-06-24,22.5,12.5,40,,17.5,2.3717
115,2015-06-25,22.5,12.5,40,,17.5,2.4115
116,2015-06-26,25.056,15.056,40,,20.056,2.4735
117,2015-06-29,22.5,12.5,40,,17.5,2.3269
118,2015-06-30,22.5,12.5,40,,17.5,2.3486
119,2015-07-01,22.579,12.579,40,,17.579,2.4264
120,2015-07-02,22.589,12.589,40,,17.589,2.385
121,2015-07-06,20.0,10.0,40,,15.0,2.2895
122,2015-07-07,22.5,12.5,40,,17.5,2.2537
123,2015-07-08,25.052,15.052,40,,20.052,2.19665
124,2015-07-09,22.5,12.5,40,,17.5,2.3166
125,2015-07-10,22.5,12.5,40,,17.5,2.39995
126,2015-07-13,20.0,10.0,40,,15.0,2.44555
127,2015-07-14,20.0,10.0,40,,15.0,2.3965
128,2015-07-15,20.0,10.0,40,,15.0,2.3548
129,2015-07-16,20.0,10.0,40,,15.0,2.3549
130,2015-07-17,21.667,11.667,40,,16.667,2.346
131,2015-07-20,22.5,12.5,40,,17.5,2.3787
132,2015-07-21,20.0,10.0,40,,15.0,2.3298
133,2015-07-22,25.0,15.0,40,,20.0,2.3262
134,2015-07-24,30.0,20.0,40,,25.0,2.2615
135,2015-07-27,28.0,18.0,40,,23.0,2.2149
136,2015-07-28,33.0,23.0,40,,28.0,2.249
137,2015-07-29,31.21,21.21,40,,26.21,2.2886
138,2015-07-30,31.543,21.543,40,,26.543,2.2562
139,2015-07-31,28.0,18.0,40,,23.0,2.1863
140,2015-08-03,30.5,20.5,40,,25.5,2.1489
141,2015-08-04,32.97,22.97,40,,27.97,2.2222
142,2015-08-05,32.274,22.274,40,,27.274,2.269
143,2015-08-06,30.5,20.5,40,,25.5,2.2259
144,2015-08-07,32.005,22.005,40,,27.005000000000003,2.165
145,2015-08-10,30.5,20.5,40,,25.5,2.2314
146,2015-08-11,31.962,21.962,40,,26.962,2.1418
147,2015-08-13,30.5,20.5,40,,25.5,2.188
148,2015-08-18,30.211,20.211,40,,25.211,2.1916
149,2015-08-19,30.204,20.204,40,,25.204,2.12825
150,2015-08-20,30.231,20.231,40,,25.231,2.0722
151,2015-08-21,33.0,23.0,40,,28.0,2.04435
152,2015-08-24,36.5,26.5,40,,31.5,2.01125
153,2015-08-25,35.0,25.0,40,,30.0,2.07755
154,2015-08-26,35.0,25.0,40,,30.0,2.1796
155,2015-08-27,35.0,25.0,40,,30.0,2.19025
156,2015-08-28,35.0,25.0,40,,30.0,2.1833
157,2015-08-31,33.0,25.5,40,,29.25,2.2135
158,2015-09-01,35.0,25.0,40,,30.0,2.1586
159,2015-09-02,35.0,25.0,40,,30.0,2.187
160,2015-09-03,35.0,25.0,40,,30.0,2.1622
161,2015-09-04,35.0,25.0,40,,30.0,2.13055
162,2015-09-08,37.667,25.0,40,,31.3335,2.18545
163,2015-09-09,31.5,24.0,40,,27.75,2.1944
164,2015-09-10,33.5,23.5,40,,28.5,2.2265
165,2015-09-11,33.5,23.5,40,,28.5,2.1857
166,2015-09-14,35.0,25.0,40,,30.0,2.1822
167,2015-09-15,33.5,23.5,40,,28.5,2.2912
168,2015-09-16,33.5,23.5,40,,28.5,2.2949
169,2015-09-17,34.0,24.0,40,,29.0,2.1912
170,2015-09-18,29.951,22.451,40,,26.201,2.1327
171,2015-09-21,32.0,24.5,40,,28.25,2.1985
172,2015-09-22,32.0,24.5,40,,28.25,2.131
173,2015-09-23,29.824,23.574,40,,26.699,2.15055
174,2015-09-24,29.827,23.577,40,,26.702,2.1275
175,2015-09-25,30.01,21.26,40,,25.635,2.1649
176,2015-09-29,30.009,23.759,40,,26.884,2.05875
177,2015-10-05,34.667,24.667,40,,29.667,2.05705
178,2015-10-06,34.0,24.0,40,,29.0,2.03415
179,2015-10-07,34.0,24.0,40,,29.0,2.06415
