,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-31,57.181,47.181,39.371,,52.181,0.83
1,2015-01-02,57.5,47.5,39.8,,52.5,0.785
2,2015-01-05,61.5,50.0,39.8,,55.75,0.7925
3,2015-01-06,63.0,54.5,39.8,,58.75,0.742
4,2015-01-07,62.333,54.667,39.771,,58.5,0.778
5,2015-01-08,59.5,52.5,39.354,,56.0,0.7975
6,2015-01-09,60.667,54.0,39.354,,57.3335,0.7805
7,2015-01-12,59.5,53.0,39.871,,56.25,0.7565
8,2015-01-13,60.0,53.5,39.871,,56.75,0.739
9,2015-01-14,61.667,54.667,39.979,,58.167,0.655
10,2015-01-15,62.5,55.5,40.0,,59.0,0.673
11,2015-01-16,64.5,57.0,39.997,,60.75,0.6435
12,2015-01-19,64.333,57.667,39.81,,61.0,0.636
13,2015-01-20,63.0,57.0,40.0,,60.0,0.637
14,2015-01-21,64.0,57.0,40.0,,60.5,0.684
15,2015-01-22,62.0,54.333,40.0,,58.1665,0.6105
16,2015-01-26,59.5,54.0,40.0,,56.75,0.572
17,2015-01-27,60.667,54.0,39.98,,57.3335,0.5755
18,2015-01-28,61.667,54.667,39.971,,58.167,0.578
19,2015-01-29,62.333,55.333,40.0,,58.833,0.589
20,2015-01-30,63.667,57.333,40.0,,60.5,0.5535
21,2015-02-02,64.333,58.333,39.976,,61.333,0.551
22,2015-02-03,62.0,54.333,39.976,,58.1665,0.5705
23,2015-02-04,62.5,55.5,40.0,,59.0,0.59
24,2015-02-05,61.667,54.667,39.971,,58.167,0.5855
25,2015-02-06,63.0,55.667,39.971,,59.3335,0.609
26,2015-02-09,63.333,56.0,39.8,,59.6665,0.605
27,2015-02-10,62.0,55.667,40.0,,58.8335,0.6465
28,2015-02-11,62.0,55.0,40.0,,58.5,0.625
29,2015-02-12,61.667,56.0,40.0,,58.8335,0.585
30,2015-02-13,61.5,55.5,39.971,,58.5,0.588
31,2015-02-16,60.5,54.0,39.837,,57.25,0.6015
32,2015-02-17,60.333,54.667,39.98,,57.5,0.6295
33,2015-02-18,60.5,54.5,39.837,,57.5,0.6385
34,2015-02-19,60.667,54.0,39.837,,57.3335,0.6395
35,2015-02-20,61.5,55.5,39.971,,58.5,0.615
36,2015-02-23,59.0,52.667,39.976,,55.8335,0.595
37,2015-02-24,57.333,52.333,39.976,,54.833,0.5875
38,2015-02-25,58.0,51.0,39.837,,54.5,0.54
39,2015-02-26,55.667,50.0,39.837,,52.8335,0.512
40,2015-02-27,55.0,48.333,39.771,,51.6665,0.5235
41,2015-03-02,53.667,48.0,39.976,,50.8335,0.5695
42,2015-03-03,55.0,49.5,39.976,,52.25,0.596
43,2015-03-04,55.0,49.333,39.857,,52.1665,0.6065
44,2015-03-05,53.0,47.0,39.857,,50.0,0.589
45,2015-03-06,55.0,47.0,39.857,,51.0,0.626
46,2015-03-09,55.0,48.5,39.976,,51.75,0.55
47,2015-03-10,55.0,49.5,39.971,,52.25,0.4625
48,2015-03-11,55.0,48.5,39.971,,51.75,0.4055
49,2015-03-12,55.0,49.333,39.995,,52.1665,0.4325
50,2015-03-13,55.0,49.5,40.0,,52.25,0.4435
51,2015-03-16,55.5,49.5,40.0,,52.5,0.451
52,2015-03-17,59.0,53.5,40.0,,56.25,0.472
53,2015-03-18,59.0,53.333,40.0,,56.1665,0.423
54,2015-03-19,58.5,53.0,39.999,,55.75,0.454
55,2015-03-20,61.5,55.5,39.976,,58.5,0.432
56,2015-03-23,62.333,55.333,39.999,,58.833,0.4955
57,2015-03-24,62.0,56.0,39.999,,59.0,0.5095
58,2015-03-25,62.667,57.0,39.98,,59.8335,0.4995
59,2015-03-26,63.0,57.0,39.98,,60.0,0.4985
60,2015-03-27,63.0,57.0,40.0,,60.0,0.5005
