,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
0,2014-12-30,169.523,152.023,40.0,,160.773,1.877
1,2015-01-02,168.5,151.0,39.966,,159.75,1.756
2,2015-01-05,173.0,155.5,39.992,,164.25,1.8035
3,2015-01-06,176.0,161.0,39.992,,168.5,1.825
4,2015-01-07,177.0,160.333,39.966,,168.66649999999998,1.927
5,2015-01-08,169.333,154.333,39.995,,161.833,1.8485
6,2015-01-09,170.5,158.0,39.995,,164.25,1.8815
7,2015-01-12,171.333,158.0,39.966,,164.66649999999998,1.7975
8,2015-01-13,172.333,159.0,39.966,,165.66649999999998,1.7865
9,2015-01-14,175.5,165.5,39.994,,170.5,1.7375
10,2015-01-15,175.0,162.5,39.994,,168.75,1.7375
11,2015-01-16,173.0,161.333,39.972,,167.16649999999998,1.7335
12,2015-01-19,170.0,157.667,39.966,,163.83350000000002,1.7385
13,2015-01-20,160.0,142.5,39.793,,151.25,1.743
14,2015-01-21,156.5,144.0,39.793,,150.25,1.753
15,2015-01-22,158.333,141.667,39.793,,150.0,1.6265
16,2015-01-26,138.333,123.333,39.833,,130.833,1.5185
17,2015-01-27,141.333,128.0,39.833,,134.66649999999998,1.578
18,2015-01-28,132.0,118.5,39.966,,125.25,1.6465
19,2015-01-29,133.0,119.667,39.976,,126.3335,1.6415
20,2015-01-30,137.5,125.0,39.966,,131.25,1.667
21,2015-02-02,136.0,122.667,39.966,,129.33350000000002,1.662
22,2015-02-03,126.333,114.667,39.966,,120.5,1.633
23,2015-02-04,126.0,112.667,39.967,,119.3335,1.572
24,2015-02-05,121.0,108.5,39.833,,114.75,1.584
25,2015-02-06,117.5,105.0,39.833,,111.25,1.6045
26,2015-02-09,127.0,113.667,39.967,,120.3335,1.681
27,2015-02-10,125.5,115.5,39.967,,120.5,1.69
28,2015-02-11,133.0,119.0,39.972,,126.0,1.678
29,2015-02-12,129.0,119.0,39.972,,124.0,1.671
30,2015-02-13,126.5,115.0,39.967,,120.75,1.639
31,2015-02-16,127.667,117.667,39.958,,122.667,1.656
32,2015-02-17,129.667,119.667,40.0,,124.667,1.6695
33,2015-02-18,125.0,115.0,39.966,,120.0,1.668
34,2015-02-19,123.0,113.0,39.966,,118.0,1.6295
35,2015-02-20,125.0,113.333,39.972,,119.1665,1.5925
36,2015-02-23,126.0,108.5,39.976,,117.25,1.517
37,2015-02-24,111.5,99.0,39.976,,105.25,1.491
38,2015-02-25,112.667,100.333,39.767,,106.5,1.471
39,2015-02-26,108.0,97.0,39.767,,102.5,1.3615
40,2015-02-27,108.0,97.0,39.805,,102.5,1.3375
41,2015-03-02,111.667,98.333,39.972,,105.0,1.351
42,2015-03-03,109.667,100.333,39.972,,105.0,1.3955
43,2015-03-04,110.667,101.0,39.972,,105.8335,1.418
44,2015-03-05,106.0,96.0,39.972,,101.0,1.348
45,2015-03-06,103.0,93.0,39.972,,98.0,1.3165
46,2015-03-09,105.5,95.5,39.958,,100.5,1.3045
47,2015-03-10,111.5,101.5,39.805,,106.5,1.234
48,2015-03-11,110.0,100.0,39.805,,105.0,1.1215
49,2015-03-12,109.5,99.5,39.792,,104.5,1.132
50,2015-03-13,109.5,99.5,39.8,,104.5,1.157
51,2015-03-16,110.0,99.0,39.827,,104.5,1.159
52,2015-03-17,114.0,101.5,39.827,,107.75,1.242
53,2015-03-18,118.5,106.0,39.827,,112.25,1.358
54,2015-03-19,119.5,107.0,39.966,,113.25,1.2585
55,2015-03-20,119.0,109.0,39.966,,114.0,1.201
56,2015-03-23,123.0,112.0,39.833,,117.5,1.299
57,2015-03-24,123.0,113.0,39.833,,118.0,1.3275
58,2015-03-25,123.333,113.333,39.948,,118.333,1.3265
59,2015-03-26,126.0,114.333,39.948,,120.1665,1.332
60,2015-03-27,121.5,111.5,39.948,,116.5,1.339
61,2015-03-30,125.0,113.333,39.965,,119.1665,1.31
62,2015-03-31,125.0,115.0,39.75,,120.0,1.248
63,2015-04-01,127.0,117.0,39.758,,122.0,1.231
64,2015-04-02,127.0,117.0,39.758,,122.0,1.261
65,2015-04-07,126.667,115.0,39.758,,120.8335,1.2
66,2015-04-08,125.0,115.0,39.698,,120.0,1.2095
67,2015-04-09,124.667,114.667,39.948,,119.667,1.247
68,2015-04-10,123.5,113.5,39.758,,118.5,1.2195
69,2015-04-13,122.333,112.333,39.972,,117.333,1.2465
70,2015-04-14,125.5,114.5,39.972,,120.0,1.285
71,2015-04-15,125.5,114.5,39.965,,120.0,1.2445
72,2015-04-16,132.5,120.0,39.758,,126.25,1.371
73,2015-04-17,139.0,127.333,39.799,,133.16649999999998,1.4525
74,2015-04-20,139.5,127.0,39.833,,133.25,1.447
75,2015-04-21,140.0,126.667,39.833,,133.33350000000002,1.4835
76,2015-04-22,139.333,127.667,39.966,,133.5,1.4015
77,2015-04-23,141.5,129.0,39.966,,135.25,1.4075
78,2015-04-24,139.5,127.0,39.958,,133.25,1.444
79,2015-04-27,132.667,121.0,40.0,,126.8335,1.3845
80,2015-04-28,131.0,119.333,40.0,,125.1665,1.379
81,2015-04-29,131.5,119.0,39.97,,125.25,1.4815
82,2015-04-30,134.333,120.333,39.966,,127.333,1.518
84,2015-05-05,136.0,124.333,39.708,,130.16649999999998,1.811
85,2015-05-06,140.5,128.0,39.708,,134.25,1.921
86,2015-05-07,138.5,126.0,39.799,,132.25,1.758
87,2015-05-08,136.0,124.333,39.833,,130.16649999999998,1.6645
88,2015-05-11,136.5,121.5,39.857,,129.0,1.7495
89,2015-05-12,138.667,127.0,39.857,,132.83350000000002,1.8625
90,2015-05-13,138.5,126.0,39.833,,132.25,1.8655
91,2015-05-14,137.667,126.0,39.827,,131.83350000000002,1.8525
92,2015-05-15,140.0,127.0,39.958,,133.5,1.7865
93,2015-05-18,141.0,128.5,39.75,,134.75,1.905
94,2015-05-19,140.0,128.0,39.75,,134.0,1.83
95,2015-05-20,139.333,129.333,39.966,,134.333,1.843
96,2015-05-21,137.667,127.667,39.958,,132.667,1.8675
97,2015-05-22,139.0,129.0,39.766,,134.0,1.842
98,2015-05-26,141.333,132.0,39.766,,136.66649999999998,1.9395
99,2015-05-27,141.5,131.5,39.758,,136.5,1.839
100,2015-05-28,142.667,133.333,39.8,,138.0,1.8705
101,2015-05-29,145.5,133.0,39.823,,139.25,1.851
102,2015-06-01,150.0,138.5,39.765,,144.25,1.919
103,2015-06-02,148.0,135.5,39.765,,141.75,2.082
104,2015-06-03,145.0,136.0,39.833,,140.5,2.1165
105,2015-06-04,150.0,137.667,39.766,,143.83350000000002,2.1155
106,2015-06-05,152.0,139.5,39.966,,145.75,2.2325
107,2015-06-08,160.0,146.667,39.852,,153.33350000000002,2.2485
108,2015-06-09,163.667,150.333,39.852,,157.0,2.288
109,2015-06-10,159.0,146.5,39.766,,152.75,2.323
110,2015-06-11,160.0,147.5,39.793,,153.75,2.1365
111,2015-06-12,162.5,151.5,39.766,,157.0,2.2525
112,2015-06-15,171.667,158.333,39.994,,165.0,2.3375
113,2015-06-16,167.0,157.0,39.994,,162.0,2.2935
114,2015-06-17,175.0,161.667,39.805,,168.33350000000002,2.2815
115,2015-06-18,172.5,162.5,39.8,,167.5,2.261
116,2015-06-19,173.333,160.333,39.805,,166.833,2.291
117,2015-06-22,165.333,152.333,39.994,,158.833,2.132
118,2015-06-23,158.667,146.333,39.994,,152.5,2.1225
119,2015-06-24,158.0,147.0,39.856,,152.5,2.1285
120,2015-06-25,157.0,147.0,39.833,,152.0,2.1235
121,2015-06-26,169.0,156.5,39.976,,162.75,2.15
122,2015-06-29,178.333,163.333,39.958,,170.833,2.3505
123,2015-06-30,178.0,164.667,39.958,,171.33350000000002,2.299
124,2015-07-01,174.0,159.0,39.976,,166.5,2.2415
125,2015-07-02,172.5,160.0,39.75,,166.25,2.3235
