,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,38.5,32.5,40,3.079,35.5,0.4955
2,2015-01-05,40.5,34.0,40,3.224,37.25,0.5105
3,2015-01-06,40.5,33.0,40,3.18,36.75,0.45
4,2015-01-07,40.5,34.0,40,3.22,37.25,0.4685
5,2015-01-08,40.5,34.0,40,3.219,37.25,0.5105
6,2015-01-09,39.0,34.0,40,3.153,36.5,0.4785
7,2015-01-12,40.0,34.0,40,3.191,37.0,0.4775
8,2015-01-13,40.5,34.0,40,3.211,37.25,0.4745
9,2015-01-14,39.0,34.0,40,3.145,36.5,0.4295
10,2015-01-15,40.0,33.5,40,3.165,36.75,0.4125
11,2015-01-16,40.0,33.5,40,3.163,36.75,0.455
12,2015-01-19,39.0,33.333,40,3.109,36.1665,0.4385
13,2015-01-20,39.5,33.0,40,3.114,36.25,0.4485
14,2015-01-21,39.0,32.5,40,3.049,35.75,0.5165
15,2015-01-22,38.5,31.0,40,2.984,34.75,0.4475
16,2015-01-26,37.0,30.5,40,2.894,33.75,0.3915
17,2015-01-27,36.667,30.0,40,2.85,33.3335,0.3825
18,2015-01-28,35.5,31.0,40,2.912,33.25,0.3535
19,2015-01-29,37.0,31.333,40,2.924,34.1665,0.355
20,2015-01-30,38.0,31.5,40,2.972,34.75,0.3115
21,2015-02-02,37.333,31.667,40,2.946,34.5,0.3065
22,2015-02-03,36.0,31.5,40,2.882,33.75,0.3455
23,2015-02-04,34.667,31.0,40,2.803,32.8335,0.3635
24,2015-02-05,36.0,31.5,40,2.878,33.75,0.37
25,2015-02-06,36.5,30.0,40,2.835,33.25,0.3725
26,2015-02-09,36.667,31.0,40,2.879,33.8335,0.353
27,2015-02-10,37.667,31.0,40,2.92,34.3335,0.368
28,2015-02-11,37.0,30.5,40,2.869,33.75,0.3565
29,2015-02-12,38.5,31.0,40,2.952,34.75,0.3235
30,2015-02-13,36.0,31.5,40,2.866,33.75,0.3415
31,2015-02-16,37.0,29.5,40,2.82,33.25,0.345
32,2015-02-17,37.333,30.667,40,2.881,34.0,0.368
33,2015-02-18,35.5,29.0,40,2.733,32.25,0.3815
34,2015-02-19,35.5,29.0,40,2.732,32.25,0.3795
35,2015-02-20,37.0,29.5,40,2.814,33.25,0.3705
36,2015-02-23,34.667,28.0,40,2.65,31.3335,0.3645
37,2015-02-24,34.333,27.667,40,2.621,31.0,0.3725
38,2015-02-25,33.0,29.0,40,2.619,31.0,0.3305
39,2015-02-26,32.667,26.667,40,2.507,29.667,0.2995
40,2015-02-27,34.0,27.5,40,2.596,30.75,0.3215
41,2015-03-02,34.667,27.0,40,2.598,30.8335,0.3535
42,2015-03-03,35.0,27.5,40,2.632,31.25,0.3635
43,2015-03-04,35.5,28.0,40,2.672,31.75,0.379
44,2015-03-05,32.333,26.333,40,2.47,29.333,0.356
45,2015-03-06,32.333,26.333,40,2.468,29.333,0.398
46,2015-03-09,33.5,27.0,40,2.54,30.25,0.3065
47,2015-03-10,33.667,27.667,40,2.574,30.667,0.236
48,2015-03-11,33.0,28.0,40,2.558,30.5,0.202
49,2015-03-12,33.0,27.0,40,2.516,30.0,0.246
50,2015-03-13,35.0,27.5,40,2.618,31.25,0.257
51,2015-03-16,34.0,26.5,40,2.531,30.25,0.2765
52,2015-03-17,34.0,27.5,40,2.571,30.75,0.279
53,2015-03-18,34.0,27.5,40,2.569,30.75,0.193
54,2015-03-19,34.0,27.333,40,2.561,30.6665,0.1865
55,2015-03-20,35.5,29.0,40,2.824,32.25,0.1835
56,2015-03-23,34.667,28.667,40,2.769,31.667,0.2175
57,2015-03-24,34.0,29.0,40,2.753,31.5,0.2325
58,2015-03-25,34.667,28.667,40,2.766,31.667,0.218
59,2015-03-26,34.667,28.667,40,2.765,31.667,0.2165
60,2015-03-27,35.5,29.0,40,2.813,32.25,0.2075
61,2015-03-30,34.0,30.0,40,2.788,32.0,0.2125
62,2015-03-31,34.5,26.5,40,2.657,30.5,0.183
63,2015-04-01,34.0,27.0,40,2.656,30.5,0.17
64,2015-04-02,33.0,27.5,40,2.633,30.25,0.1815
65,2015-04-07,34.5,26.5,40,2.648,30.5,0.1855
66,2015-04-08,33.0,26.5,40,2.582,29.75,0.1655
67,2015-04-09,34.5,26.5,40,2.645,30.5,0.156
68,2015-04-10,33.5,26.0,40,2.58,29.75,0.1545
69,2015-04-13,33.0,27.333,40,2.611,30.1665,0.1555
70,2015-04-14,33.0,27.0,40,2.596,30.0,0.138
71,2015-04-15,33.5,27.5,40,2.637,30.5,0.1075
72,2015-04-16,34.0,29.0,40,2.721,31.5,0.0835
73,2015-04-17,37.5,30.0,40,2.911,33.75,0.077
74,2015-04-20,35.667,28.667,40,2.772,32.167,0.075
75,2015-04-21,35.667,29.667,40,2.813,32.667,0.101
76,2015-04-22,35.0,28.5,40,2.733,31.75,0.1585
77,2015-04-23,34.5,29.0,40,2.732,31.75,0.16
78,2015-04-24,34.0,29.5,40,2.731,31.75,0.156
79,2015-04-27,34.5,28.0,40,2.684,31.25,0.162
80,2015-04-28,34.0,28.5,40,2.683,31.25,0.1615
81,2015-04-29,34.0,27.5,40,2.639,30.75,0.2825
82,2015-04-30,34.0,28.5,40,2.679,31.25,0.3615
84,2015-05-05,35.0,28.5,40,2.714,31.75,0.5165
85,2015-05-06,35.0,28.5,40,2.713,31.75,0.5845
86,2015-05-07,36.667,30.333,40,2.859,33.5,0.5935
87,2015-05-08,35.5,29.0,40,2.752,32.25,0.543
88,2015-05-11,36.5,29.0,40,2.79,32.75,0.597
89,2015-05-12,37.0,30.5,40,2.872,33.75,0.679
90,2015-05-13,36.333,31.667,40,2.891,34.0,0.7185
91,2015-05-14,36.333,31.667,40,2.89,34.0,0.698
92,2015-05-15,37.0,30.5,40,2.868,33.75,0.6375
93,2015-05-18,36.0,32.0,40,2.884,34.0,0.6465
94,2015-05-19,36.0,30.5,40,2.82,33.25,0.6105
95,2015-05-20,36.0,30.5,40,2.818,33.25,0.6245
96,2015-05-21,37.0,30.5,40,2.858,33.75,0.6325
97,2015-05-22,37.5,31.0,40,2.899,34.25,0.6015
98,2015-05-26,38.0,32.5,40,2.976,35.25,0.5505
99,2015-05-27,38.5,33.0,40,3.016,35.75,0.544
100,2015-05-28,36.5,32.5,40,2.91,34.5,0.533
101,2015-05-29,39.0,32.0,40,2.992,35.5,0.4835
102,2015-06-01,39.0,32.5,40,3.008,35.75,0.5295
103,2015-06-02,38.333,32.667,40,2.985,35.5,0.696
104,2015-06-03,38.5,32.0,40,2.962,35.25,0.8745
105,2015-06-04,39.0,33.333,40,3.037,36.1665,0.83
106,2015-06-05,39.0,33.5,40,3.042,36.25,0.8455
107,2015-06-08,39.0,32.5,40,2.996,35.75,0.8865
108,2015-06-09,39.5,34.0,40,3.077,36.75,0.9505
109,2015-06-10,38.5,34.0,40,3.034,36.25,0.987
110,2015-06-11,38.5,33.0,40,2.991,35.75,0.8975
111,2015-06-12,39.0,33.333,40,3.024,36.1665,0.849
112,2015-06-15,40.5,34.0,40,3.108,37.25,0.8235
113,2015-06-16,40.5,34.0,40,3.106,37.25,0.8025
114,2015-06-17,40.0,35.0,40,3.125,37.5,0.8105
115,2015-06-18,40.0,33.667,40,3.069,36.8335,0.802
116,2015-06-19,40.5,35.0,40,3.142,37.75,0.759
117,2015-06-22,39.0,32.5,40,3.121,35.75,0.881
118,2015-06-23,37.5,32.0,40,3.033,34.75,0.8635
119,2015-06-24,38.5,32.0,40,3.075,35.25,0.841
120,2015-06-25,39.0,32.5,40,3.116,35.75,0.86
121,2015-06-26,39.0,32.5,40,3.114,35.75,0.919
122,2015-06-29,43.5,36.0,40,3.452,39.75,0.799
123,2015-06-30,43.667,35.667,40,3.443,39.667,0.7675
124,2015-07-01,42.0,34.5,40,3.32,38.25,0.821
125,2015-07-02,42.0,34.5,40,3.318,38.25,0.8445
126,2015-07-03,41.5,35.5,40,3.338,38.5,0.7915
127,2015-07-06,43.0,35.5,40,3.397,39.25,0.7685
