,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
1,2015-01-02,136.0,125.0,38.444,10.602,130.5,0.5955
2,2015-01-05,138.667,126.0,38.167,10.682,132.33350000000002,0.602
4,2015-01-07,136.667,126.667,37.667,10.54,131.667,0.5525
5,2015-01-08,130.0,120.0,38.444,10.149,125.0,0.5875
6,2015-01-09,132.5,120.5,38.444,10.259,126.5,0.567
7,2015-01-12,131.5,119.5,38.875,10.235,125.5,0.5375
8,2015-01-13,130.0,118.0,38.875,10.114,124.0,0.5235
9,2015-01-14,132.667,122.0,39.167,10.366,127.3335,0.459
10,2015-01-15,131.0,121.0,38.857,10.256,126.0,0.4615
11,2015-01-16,128.0,116.5,39.333,10.036,122.25,0.4435
12,2015-01-19,129.0,117.5,39.429,10.114,123.25,0.45
13,2015-01-20,123.5,114.0,38.143,9.565,118.75,0.4655
14,2015-01-21,121.0,110.667,39.333,9.562,115.8335,0.5265
15,2015-01-22,119.5,110.0,39.333,9.421,114.75,0.4495
16,2015-01-26,111.667,100.333,39.0,8.672,106.0,0.404
17,2015-01-27,115.0,106.0,38.5,8.833,110.5,0.402
18,2015-01-28,118.333,110.333,39.167,9.336,114.333,0.391
19,2015-01-29,121.5,113.0,38.667,9.483,117.25,0.398
20,2015-01-30,126.0,115.5,39.286,9.747,120.75,0.3405
21,2015-02-02,124.5,116.0,38.857,9.723,120.25,0.352
22,2015-02-03,120.0,112.667,38.857,9.417,116.3335,0.373
23,2015-02-04,125.0,116.5,38.375,9.679,120.75,0.391
24,2015-02-05,123.5,114.5,39.167,9.414,119.0,0.396
25,2015-02-06,123.0,114.0,39.167,9.615,118.5,0.4205
26,2015-02-09,126.333,117.0,38.375,9.724,121.6665,0.408
27,2015-02-10,125.667,115.667,38.143,9.608,120.667,0.4345
28,2015-02-11,126.333,118.0,38.143,9.717,122.1665,0.425
29,2015-02-12,125.0,118.5,38.143,9.681,121.75,0.391
30,2015-02-13,125.5,117.0,38.857,9.745,121.25,0.3995
31,2015-02-16,127.0,118.0,39.0,9.847,122.5,0.4015
32,2015-02-17,126.0,117.0,39.167,9.791,121.5,0.4145
33,2015-02-18,124.333,114.333,39.167,9.558,119.333,0.4295
34,2015-02-19,124.0,114.0,38.75,9.528,119.0,0.5165
35,2015-02-20,124.0,114.0,39.0,9.56,119.0,0.5055
36,2015-02-23,122.667,113.333,38.571,9.406,118.0,0.4955
37,2015-02-24,120.5,111.5,37.714,9.128,116.0,0.4995
38,2015-02-25,119.5,110.5,37.714,9.049,115.0,0.4575
39,2015-02-26,117.333,108.667,38.0,8.934,113.0,0.419
40,2015-02-27,117.0,109.0,38.333,8.998,113.0,0.4435
41,2015-03-02,116.333,108.333,38.714,8.963,112.333,0.4865
42,2015-03-03,113.333,104.0,38.714,8.679,108.6665,0.5065
43,2015-03-04,114.0,105.0,38.714,8.738,109.5,0.5145
44,2015-03-05,108.5,99.5,38.714,8.293,104.0,0.4795
45,2015-03-06,109.667,100.333,38.556,8.365,105.0,0.5005
46,2015-03-09,111.0,101.667,38.375,8.43,106.3335,0.41
47,2015-03-10,113.0,103.0,38.667,8.591,108.0,0.349
48,2015-03-11,109.0,100.333,38.667,8.333,104.6665,0.32
49,2015-03-12,106.333,97.667,39.429,8.223,102.0,0.3405
50,2015-03-13,107.0,99.0,39.333,8.283,103.0,0.3535
51,2015-03-16,107.333,98.667,38.857,8.209,103.0,0.367
52,2015-03-17,112.0,103.0,38.833,8.547,107.5,0.379
53,2015-03-18,112.333,104.333,38.833,8.603,108.333,0.315
54,2015-03-19,110.5,103.5,38.143,8.406,107.0,0.317
55,2015-03-20,110.0,102.5,38.571,8.805,106.25,0.3075
56,2015-03-23,111.0,102.5,39.125,8.908,106.75,0.355
57,2015-03-24,110.333,102.0,39.111,8.855,106.1665,0.368
58,2015-03-25,111.5,104.0,37.833,8.8,107.75,0.3665
59,2015-03-26,111.333,103.667,37.833,8.777,107.5,0.356
60,2015-03-27,115.0,107.0,38.0,9.068,111.0,0.347
61,2015-03-30,116.5,108.5,39.0,9.314,112.5,0.348
62,2015-03-31,118.0,110.0,39.5,9.502,114.0,0.3115
63,2015-04-01,119.5,109.5,39.0,9.462,114.5,0.2945
64,2015-04-02,120.5,110.5,39.0,9.536,115.5,0.3175
65,2015-04-07,118.0,109.0,39.0,9.355,113.5,0.313
66,2015-04-08,116.0,107.0,39.0,9.194,111.5,0.2865
67,2015-04-09,117.667,105.0,39.0,9.176,111.3335,0.276
68,2015-04-10,110.0,101.0,39.0,8.713,105.5,0.271
69,2015-04-13,107.667,99.667,39.111,8.57,103.667,0.266
70,2015-04-14,110.0,102.0,39.111,8.75,106.0,0.239
71,2015-04-15,109.0,100.0,39.5,8.68,104.5,0.204
72,2015-04-16,110.5,104.0,39.333,8.871,107.25,0.191
73,2015-04-17,115.5,105.5,39.429,9.136,110.5,0.191
74,2015-04-20,115.333,106.333,39.0,9.087,110.833,0.1875
75,2015-04-21,112.0,104.5,39.0,8.88,108.25,0.2095
76,2015-04-22,113.0,104.5,39.0,8.932,108.75,0.2655
77,2015-04-23,111.667,104.333,39.0,8.852,108.0,0.271
78,2015-04-24,112.333,104.333,39.0,8.873,108.333,0.263
79,2015-04-27,110.0,101.0,39.5,8.706,105.5,0.262
80,2015-04-28,112.0,104.0,39.5,8.899,108.0,0.268
81,2015-04-29,111.333,104.0,39.571,8.877,107.6665,0.3815
82,2015-04-30,111.0,104.0,39.571,8.86,107.5,0.46
84,2015-05-05,115.5,105.5,39.286,9.031,110.5,0.616
85,2015-05-06,116.5,106.5,39.286,9.104,111.5,0.702
86,2015-05-07,120.0,110.0,39.571,9.413,115.0,0.7095
87,2015-05-08,122.0,110.333,39.625,9.507,116.1665,0.6625
88,2015-05-11,119.333,110.0,39.125,9.303,114.6665,0.7365
89,2015-05-12,123.333,115.667,39.125,9.67,119.5,0.8145
90,2015-05-13,125.5,116.5,40.0,9.915,121.0,0.84
92,2015-05-15,125.0,115.667,39.222,9.734,120.3335,0.7625
93,2015-05-18,127.0,117.667,39.571,9.926,122.3335,0.785
94,2015-05-19,125.0,116.0,39.571,9.78,120.5,0.735
95,2015-05-20,126.667,118.0,39.0,9.828,122.3335,0.767
96,2015-05-21,126.333,117.667,39.125,9.817,122.0,0.7695
97,2015-05-22,127.333,118.667,40.0,10.025,123.0,0.735
98,2015-05-26,130.333,121.0,40.0,10.21,125.6665,0.689
99,2015-05-27,128.333,119.333,40.0,10.064,123.833,0.682
100,2015-05-28,129.5,120.5,38.286,9.881,125.0,0.675
101,2015-05-29,133.0,120.5,38.0,9.963,126.75,0.6295
102,2015-06-01,135.0,125.0,39.429,10.417,130.0,0.6635
103,2015-06-02,132.333,123.0,39.429,10.234,127.6665,0.824
104,2015-06-03,133.0,123.667,39.5,10.289,128.33350000000002,0.995
105,2015-06-04,135.5,126.5,39.222,10.441,131.0,0.9395
106,2015-06-05,141.667,132.333,39.571,10.946,137.0,0.9735
107,2015-06-08,145.5,135.5,39.222,11.131,140.5,1.022
108,2015-06-09,146.0,137.0,39.222,11.2,141.5,1.1025
109,2015-06-10,142.333,133.0,39.333,10.927,137.66649999999998,1.1365
110,2015-06-11,140.667,131.333,39.5,10.825,136.0,1.0585
111,2015-06-12,144.5,135.5,40.0,11.207,140.0,1.038
112,2015-06-15,152.0,141.0,38.5,11.409,146.5,1.065
113,2015-06-16,152.5,141.5,38.5,11.44,147.0,1.0635
114,2015-06-17,153.0,143.667,39.429,11.698,148.33350000000002,1.0625
115,2015-06-18,151.667,143.0,39.0,11.541,147.33350000000002,1.0325
117,2015-06-22,147.333,137.333,39.333,11.737,142.333,1.085
118,2015-06-23,143.0,134.0,39.333,11.434,138.5,1.0575
119,2015-06-24,145.667,137.0,39.222,11.628,141.33350000000002,1.0405
120,2015-06-25,142.5,133.5,39.222,11.364,138.0,1.059
121,2015-06-26,142.5,133.5,39.222,11.358,138.0,1.112
122,2015-06-29,158.0,143.0,38.286,12.129,150.5,1.0205
123,2015-06-30,155.333,143.0,38.286,12.023,149.16649999999998,1.0035
124,2015-07-01,149.333,138.667,39.125,11.776,144.0,1.047
125,2015-07-02,151.5,140.5,38.875,11.878,146.0,1.106
126,2015-07-03,153.5,142.5,37.5,11.776,148.0,1.0535
127,2015-07-06,158.667,146.333,39.333,12.436,152.5,1.043
128,2015-07-07,164.5,151.0,39.333,12.829,157.75,0.9275
129,2015-07-08,165.0,151.5,36.333,12.294,158.25,0.935
130,2015-07-09,160.0,146.5,39.429,12.493,153.25,0.958
131,2015-07-10,148.0,134.5,39.429,11.567,141.25,1.107
132,2015-07-13,139.5,126.0,38.286,10.704,132.75,1.0535
133,2015-07-14,139.5,126.0,38.286,10.699,132.75,1.048
134,2015-07-15,137.333,125.0,38.714,10.643,131.16649999999998,0.9615
135,2015-07-16,130.0,117.667,38.714,10.074,123.8335,0.9705
136,2015-07-17,123.333,112.0,38.857,9.614,117.6665,0.902
137,2015-07-20,116.0,105.333,39.5,9.147,110.6665,0.86
138,2015-07-21,128.667,118.667,39.5,10.16,123.667,0.892
139,2015-07-22,134.0,123.333,38.286,10.347,128.66649999999998,0.8725
140,2015-07-23,134.667,124.0,38.286,10.393,129.33350000000002,0.868
141,2015-07-24,135.0,124.0,39.571,10.609,129.5,0.8135
142,2015-07-27,139.5,127.0,38.833,10.759,133.25,0.8095
143,2015-07-28,136.0,126.0,38.833,10.582,131.0,0.8195
144,2015-07-29,135.333,126.0,39.333,10.633,130.66649999999998,0.841
145,2015-07-30,135.0,124.0,39.4,10.549,129.5,0.786
146,2015-07-31,134.0,123.0,40.0,10.566,128.5,0.795
147,2015-08-03,136.0,125.0,39.2,10.572,130.5,0.781
148,2015-08-04,136.5,125.5,39.2,10.605,131.0,0.7965
149,2015-08-05,129.0,118.0,39.0,9.993,123.5,0.9065
150,2015-08-06,132.0,121.0,39.4,10.281,126.5,0.8575
151,2015-08-07,132.5,123.5,40.0,10.49,128.0,0.811
152,2015-08-10,131.0,120.0,39.0,10.121,125.5,0.8445
153,2015-08-11,136.0,125.0,39.0,10.497,130.5,0.7765
154,2015-08-12,138.0,127.0,39.0,10.644,132.5,0.7545
155,2015-08-13,137.0,126.0,39.333,10.617,131.5,0.7845
156,2015-08-14,137.333,126.0,38.286,10.454,131.66649999999998,0.8085
157,2015-08-17,135.5,124.5,39.429,10.497,130.0,0.783
158,2015-08-18,136.0,126.0,39.429,10.568,131.0,0.8065
159,2015-08-19,142.333,131.667,39.429,11.019,137.0,0.7925
160,2015-08-20,145.0,134.0,39.571,11.227,139.5,0.7535
